Provider|Event ID|Channel|Message
Microsoft-Windows-Connected-Search|1|Microsoft-Windows-Connected-Search/Debug|Starting query with query term {QueryTerm}{QueryTerm} for type {Type}{Type}.
Microsoft-Windows-Connected-Search|2|Microsoft-Windows-Connected-Search/Debug|Completed query with query term {QueryTerm}{QueryTerm} for type {Type}{Type}.  Result {Result}{Result}
Microsoft-Windows-Connected-Search|3|Microsoft-Windows-Connected-Search/Operational|Impression Id {ImpressionId}{ImpressionId} : Ref Id {RefId}{RefId} : Query {Query}{Query}
Microsoft-Windows-Connected-Search|4|Microsoft-Windows-Connected-Search/Analytic|Using Cached RSS instead of querying service.
Microsoft-Windows-Connected-Search|100|Microsoft-Windows-Connected-Search/Debug|Fetching url {Url}{Url} with headers {Headers}{Headers} and user-agent string {User-Agent}{User-Agent}
Microsoft-Windows-Connected-Search|101|Microsoft-Windows-Connected-Search/Debug|Finished fetching url {Url}{Url} with result {Result}{Result}
Microsoft-Windows-Connected-Search|102|Microsoft-Windows-Connected-Search/Debug|Opening HTTP connection to host {HostName}{HostName} on port {Port}{Port}
Microsoft-Windows-Connected-Search|103|Microsoft-Windows-Connected-Search/Debug|HTTP request failed with status code {StatusCode}{StatusCode}
Microsoft-Windows-Connected-Search|104|Microsoft-Windows-Connected-Search/Analytic|X-Search-GetAuthStatus Http header added: {HTTPHeaderValue}{HTTPHeaderValue}
Microsoft-Windows-Connected-Search|105|Microsoft-Windows-Connected-Search/Analytic|X-Search-AuthStatus Http header returned: {HTTPHeaderValue}{HTTPHeaderValue}
Microsoft-Windows-Connected-Search|106|Microsoft-Windows-Connected-Search/Analytic|X-Search-AuthStatus Http header not found
Microsoft-Windows-Connected-Search|107|Microsoft-Windows-Connected-Search/Debug|Error returned when reading HTTP Request response {AsyncError}{AsyncError}
Microsoft-Windows-Connected-Search|108|Microsoft-Windows-Connected-Search/Analytic|Read {Bytes}{Bytes} bytes from HTTP response with error {Result}{Result}
Microsoft-Windows-Connected-Search|109|Microsoft-Windows-Connected-Search/Analytic|Wrote {Bytes}{Bytes} bytes from HTTP response with error {Result}{Result}
Microsoft-Windows-Connected-Search|110|Microsoft-Windows-Connected-Search/Analytic|HTTP Status {InternetStatus}{InternetStatus}.
Microsoft-Windows-Connected-Search|111|Microsoft-Windows-Connected-Search/Analytic|X-Search-Location Http header added: {HTTPHeaderName}{HTTPHeaderName}: {HTTPheaderValue}{HTTPheaderValue}
Microsoft-Windows-Connected-Search|112|Microsoft-Windows-Connected-Search/Analytic|Wrote {Bytes}{Bytes} pending bytes from HTTP response with error {Result}{Result}
Microsoft-Windows-Connected-Search|113|Microsoft-Windows-Connected-Search/Debug|Failed to open request to URL: {Url}{Url} with error {Result}{Result}
Microsoft-Windows-Connected-Search|114|Microsoft-Windows-Connected-Search/Debug|Failed to send request to URL: {Url}{Url} with error {Result}{Result}
Microsoft-Windows-Connected-Search|115|Microsoft-Windows-Connected-Search/Analytic|X-PreferDomain Http header returned: {HTTPHeaderValue}{HTTPHeaderValue}
Microsoft-Windows-Connected-Search|116|Microsoft-Windows-Connected-Search/Analytic|X-PreferDomain Http header not found
Microsoft-Windows-Connected-Search|117|Microsoft-Windows-Connected-Search/Analytic|X-Charm-Privacy Http header added: {HTTPHeaderValue}{HTTPHeaderValue}
Microsoft-Windows-Connected-Search|118|Microsoft-Windows-Connected-Search/Analytic|X-SQM Http header added: {HTTPHeaderName}{HTTPHeaderName}: {HTTPheaderValue}{HTTPheaderValue}
Microsoft-Windows-Connected-Search|119|Microsoft-Windows-Connected-Search/Analytic|Referer Http header added: {HTTPHeaderName}{HTTPHeaderName}: {HTTPheaderValue}{HTTPheaderValue}
Microsoft-Windows-Connected-Search|200|Microsoft-Windows-Connected-Search/Debug|Starting to parse XML response of type: {Type}{Type}
Microsoft-Windows-Connected-Search|201|Microsoft-Windows-Connected-Search/Debug|Finished parsing XML response of type: {Type}{Type} with result {Result}{Result}
Microsoft-Windows-Connected-Search|202|Microsoft-Windows-Connected-Search/Debug|Result set Impression Id {ImpressionId}{ImpressionId}
Microsoft-Windows-Connected-Search|203|Microsoft-Windows-Connected-Search/Analytic|Impression Id: {ImpressionId}{ImpressionId}. item node encountered with object id: {ParserObjectId}{ParserObjectId} and sub-element id: {ParserSubElementId}{ParserSubElementId}
Microsoft-Windows-Connected-Search|204|Microsoft-Windows-Connected-Search/Analytic|Impression Id: {ImpressionId}{ImpressionId}. {AttributeName}{AttributeName} attribute in namespace {Namespace}{Namespace} with value {Value}{Value} encountered with object id: {ParserObjectId}{ParserObjectId}
