Provider|Event ID|Channel|Message
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|1|Microsoft-Windows-Hyper-V-Guest-Drivers/Admin|Failed to initialize the backup components metadata in preparation for backup, status {Status}.
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|2|Microsoft-Windows-Hyper-V-Guest-Drivers/Admin|Failed to set context for shadow copy operations, status {Status}.
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|3|Microsoft-Windows-Hyper-V-Guest-Drivers/Admin|Failed to define overall configuration for a backup operation, status {Status}.
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|4|Microsoft-Windows-Hyper-V-Guest-Drivers/Admin|Failed to detect presence or absence of directly mapped disks like ISCSI and Fibre Channel disks in the system, status {Status}.
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|5|Microsoft-Windows-Hyper-V-Guest-Drivers/Admin|Could not find a matching original volume for shadow volume {Volume}.
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|6|Microsoft-Windows-Hyper-V-Guest-Drivers/Admin|Some of the shadow Luns are not surfaced in the guest operating system.
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|7|Microsoft-Windows-Hyper-V-Guest-Drivers/Admin|Not all of the shadow volumes arrived in the guest operating system.
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|8|Microsoft-Windows-Hyper-V-Guest-Drivers/Admin|Successfully started a file copy operation to destination {FilePath}.
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|9|Microsoft-Windows-Hyper-V-Guest-Drivers/Admin|Successfully completed a file copy operation to destination {FilePath}.
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|10|Microsoft-Windows-Hyper-V-Guest-Drivers/Admin|Successfully created the destination directory {FilePath}.
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|11|Microsoft-Windows-Hyper-V-Guest-Drivers/Admin|Cancelled a file copy operation to destination {FilePath}.
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|12|Microsoft-Windows-Hyper-V-Guest-Drivers/Admin|An error occurred during a file copy operation to file {FilePath}.
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|13|Microsoft-Windows-Hyper-V-Guest-Drivers/Admin|An error ({Error}) occurred while starting a file copy operation to destination {File}. {ErrorCodeString}
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|14|Microsoft-Windows-Hyper-V-Guest-Drivers/Admin|An error ({Error}) occurred while writing data to the destination file {File}. {ErrorCodeString}
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|15|Microsoft-Windows-Hyper-V-Guest-Drivers/Admin|An error ({Error}) occurred while creating the destination directory {File}. {ErrorCodeString}
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|16|Microsoft-Windows-Hyper-V-Guest-Drivers/Admin|An error ({Error}) occurred while setting file size of the file {File}. {ErrorCodeString}
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|17|Microsoft-Windows-Hyper-V-Guest-Drivers/Admin|An error ({Error}) occurred while completing a file copy operation to file {File}. {ErrorCodeString}
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|18|Microsoft-Windows-Hyper-V-Guest-Drivers/Admin|An error ({Error}) occurred while cancelling a file copy operation to file {File}. {ErrorCodeString}
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|19|Microsoft-Windows-Hyper-V-Guest-Drivers/Admin|An error ({Error}) occurred while handling a message. {ErrorCodeString}
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|20|Microsoft-Windows-Hyper-V-Guest-Drivers/Admin|An error occurred in Guest File Copy.
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|21|Microsoft-Windows-Hyper-V-Guest-Drivers/Admin|An error ({Error}) occurred while checking access for path {File}. {ErrorCodeString}
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|22|Microsoft-Windows-Hyper-V-Guest-Drivers/Admin|Hot backup is not supported on this version of the guest operating system, status {Status}.
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|23|Microsoft-Windows-Hyper-V-Guest-Drivers/Admin|The selected writer {Name} is in a failed state, status {Writer status}, {Status}.
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|24|Microsoft-Windows-Hyper-V-Guest-Drivers/Admin|The cluster disk with disk number {DiskNumber} is not currently owned by this VM and hence cannot be snapshotted by this VM.
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|3584|Microsoft-Windows-Hyper-V-Guest-Drivers/Diagnose|[VMID {VmId}] {TraceData}
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|3585|Microsoft-Windows-Hyper-V-Guest-Drivers/Diagnose|[VMID {VmId}] {TraceData}
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|3586|Microsoft-Windows-Hyper-V-Guest-Drivers/Diagnose|[VMID {VmId}] {TraceData}
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc|3587|Microsoft-Windows-Hyper-V-Guest-Drivers/Diagnose|[VMID {VmId}] {TraceData}
