Provider|Event ID|Channel|Message
Microsoft-Windows-User-Loader|1|Microsoft-Windows-User-Loader/Analytic|Deprecated module {FileName}.
Microsoft-Windows-User-Loader|2|Microsoft-Windows-User-Loader/Analytic|Process {ProcessFileNamePath} encountered a fatal user callback exception.
Microsoft-Windows-User-Loader|3|Microsoft-Windows-User-Loader/Analytic|Error status code {FailureReason} returned when {ProcessImagePath} attempted to load dependency {ImportDllName}.
Microsoft-Windows-User-Loader|4|Microsoft-Windows-User-Loader/Analytic|The process launches a 16 bit process.
Microsoft-Windows-User-Loader|5|Microsoft-Windows-User-Loader/Analytic|Windows component on demand {ProcessId}.
Microsoft-Windows-User-Loader|6|Microsoft-Windows-User-Loader/Analytic|The Loader encountered a fatal error while loading a thread from process image name {FileName}.
Microsoft-Windows-User-Loader|7|Microsoft-Windows-User-Loader/Analytic|A fatal error occured during initalization of {FileName}.
Microsoft-Windows-User-Loader|8|Microsoft-Windows-User-Loader/Analytic|Error status code {FailureReason} returned when {ExportModule} attempted to load dependency {ImportDllName}.
Microsoft-Windows-User-Loader|9|Microsoft-Windows-User-Loader/Analytic|The Loader encountered a fatal error running process image name {FileName}.
Microsoft-Windows-User-Loader|10|Application|Error status code {FailureReason} returned when {ProcessImagePath} attempted to load dependency {ImportDllName}.
