Provider|Level|Event ID|Version|Channel|Task|Opcode|Keyword|Message
Microsoft-Windows-Immersive-Shell-API|Information|2000|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationActivation|Start||
Microsoft-Windows-Immersive-Shell-API|Information|2001|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationActivation|Stop||
Microsoft-Windows-Immersive-Shell-API|Information|2002|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationSuspension|Start||
Microsoft-Windows-Immersive-Shell-API|Information|2003|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationSuspension|Stop||
Microsoft-Windows-Immersive-Shell-API|Information|2004|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationExit|Start||
Microsoft-Windows-Immersive-Shell-API|Information|2005|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationExit|Stop||
Microsoft-Windows-Immersive-Shell-API|Information|2006|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationRegistration|Start||
Microsoft-Windows-Immersive-Shell-API|Information|2007|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationRegistration|Stop||
Microsoft-Windows-Immersive-Shell-API|Information|2008|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationInitialization|Start||
Microsoft-Windows-Immersive-Shell-API|Information|2009|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationInitialization|Stop||
Microsoft-Windows-Immersive-Shell-API|Information|2010|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationViewProviderLoad|Start||
Microsoft-Windows-Immersive-Shell-API|Information|2011|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationViewProviderLoad|Stop||
Microsoft-Windows-Immersive-Shell-API|Information|2012|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationViewProviderInitialization|Start||
Microsoft-Windows-Immersive-Shell-API|Information|2013|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationViewProviderInitialization|Stop||
Microsoft-Windows-Immersive-Shell-API|Information|2014|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationActivationHandlers|Start||
Microsoft-Windows-Immersive-Shell-API|Information|2015|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationActivationHandlers|Stop||
Microsoft-Windows-Immersive-Shell-API|Information|2016|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationSuspendHandlers|Start||
Microsoft-Windows-Immersive-Shell-API|Information|2017|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationSuspendHandlers|Stop||
Microsoft-Windows-Immersive-Shell-API|Information|2018|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationResumeHandlers|Start||
Microsoft-Windows-Immersive-Shell-API|Information|2019|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationResumeHandlers|Stop||
Microsoft-Windows-Immersive-Shell-API|Information|2020|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationCreateNewView|Start||
Microsoft-Windows-Immersive-Shell-API|Information|2021|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationCreateNewView|Stop||
Microsoft-Windows-Immersive-Shell-API|Information|2022|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationEnteredBackground|Start||
Microsoft-Windows-Immersive-Shell-API|Information|2023|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationEnteredBackground|Stop||
Microsoft-Windows-Immersive-Shell-API|Information|2024|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationEnteredBackgroundDispatch|Start||
Microsoft-Windows-Immersive-Shell-API|Information|2025|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationEnteredBackgroundDispatch|Stop||
Microsoft-Windows-Immersive-Shell-API|Information|2026|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationLeavingBackground|Start||
Microsoft-Windows-Immersive-Shell-API|Information|2027|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationLeavingBackground|Stop||
Microsoft-Windows-Immersive-Shell-API|Information|2028|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationLeavingBackgroundDispatch|Start||
Microsoft-Windows-Immersive-Shell-API|Information|2029|0|Microsoft-Windows-CoreApplication/Diagnostic|CoreApplicationLeavingBackgroundDispatch|Stop||
Microsoft-Windows-Immersive-Shell-API|Information|2041|0|Microsoft-Windows-CoreApplication/Tracing|CoreApplicationPsmDoStateChange|||CoreApplication - Quiesce - PSM called PsmDoStateChange
