Provider|Event ID|Channel|Message
Microsoft-Windows-NetworkProfile|4001|Microsoft-Windows-NetworkProfile/Operational|Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid}
Microsoft-Windows-NetworkProfile|4002|Microsoft-Windows-NetworkProfile/Operational|Transitioning to State: {CurrentOrNextState} Interface Guid: {InterfaceGuid}
Microsoft-Windows-NetworkProfile|4003|Microsoft-Windows-NetworkProfile/Operational|Transitioning to State: {CurrentOrNextState} Interface Guid: {InterfaceGuid}
Microsoft-Windows-NetworkProfile|4004|Microsoft-Windows-NetworkProfile/Operational|Network State Change Fired	New Internet Connection Profile: {NewInternetConnectionProfile}	Connection Cost Changed: {ConnectionCostChanged}	Domain Connectivity Level Changed: {DomainConnectivityLevelChanged}	Network Connectivity Level Changed: {NetworkConnectivityLevelChanged}	Host Name Changed: {HostNameChanged}	Wwan Registration State Changed: {WwanRegistrationStateChanged}	Tethering Operational State Changed: {TetheringOperationalStateChanged}	Tethering Client Count Changed: {TetheringClientCountChanged}
Microsoft-Windows-NetworkProfile|10000|Microsoft-Windows-NetworkProfile/Operational|Network Connected	Name: {Name}	Desc: {Description}	Type: {Type}	State: {State}	Category: {Category}
Microsoft-Windows-NetworkProfile|10001|Microsoft-Windows-NetworkProfile/Operational|Network Disconnected	Name: {Name}	Desc: {Description}	Type: {Type}	State: {State}	Category: {Category}
Microsoft-Windows-NetworkProfile|10002|Microsoft-Windows-NetworkProfile/Operational|Network Category Changed	Name: {Name}	Desc: {Description}	Type: {Type}	State: {State}	Category: {Category}
Microsoft-Windows-NetworkProfile|10003|Microsoft-Windows-NetworkProfile/Diagnostic|Posting Network Connected Event Type: {NetworkProfileEventState}	ProfileID: {Guid}
Microsoft-Windows-NetworkProfile|10004|Microsoft-Windows-NetworkProfile/Diagnostic|Posted Network Connected Event Type: {NetworkProfileEventState}	ProfileID: {Guid}
Microsoft-Windows-NetworkProfile|10005|Microsoft-Windows-NetworkProfile/Diagnostic|Posting Network Profile Event Type: {NetworkProfileEventState}	ProfileID: {Guid}
Microsoft-Windows-NetworkProfile|10006|Microsoft-Windows-NetworkProfile/Diagnostic|Posted Network Profile Event Type: {NetworkProfileEventState}	ProfileID: {Guid}
Microsoft-Windows-NetworkProfile|10007|Microsoft-Windows-NetworkProfile/Diagnostic|Posting Network Disconnected Event Type: {NetworkProfileEventState}	ProfileID: {Guid}
Microsoft-Windows-NetworkProfile|10008|Microsoft-Windows-NetworkProfile/Diagnostic|Posted Network Disconnected Event Type: {NetworkProfileEventState}	ProfileID: {Guid}
Microsoft-Windows-NetworkProfile|20001|Microsoft-Windows-NetworkProfile/Operational|NLM service initialization failed (error={ErrorCode})
Microsoft-Windows-NetworkProfile|20002|Microsoft-Windows-NetworkProfile/Operational|
Microsoft-Windows-NetworkProfile|20003|Microsoft-Windows-NetworkProfile/Diagnostic|
Microsoft-Windows-NetworkProfile|20004|Microsoft-Windows-NetworkProfile/Diagnostic|
