Provider|Event ID|Channel|Message
Microsoft-Windows-SMBWitnessClient|1|Microsoft-Windows-SMBWitnessClient/Admin|Witness Client initialization failed with error ({ErrorCode})
Microsoft-Windows-SMBWitnessClient|2|Microsoft-Windows-SMBWitnessClient/Informational|Witness Client received registration request for \\{NetName}\{ShareName} with IP address {WitnessServerIP}
Microsoft-Windows-SMBWitnessClient|3|Microsoft-Windows-SMBWitnessClient/Admin|Witness Client failed to obtain the list of Witness Servers from IP address {WitnessServerIP} with error ({Error}).  This event may be suppressed for this resource for the next 12 hours if the condition persists.
Microsoft-Windows-SMBWitnessClient|4|Microsoft-Windows-SMBWitnessClient/Informational|Witness Client is waiting to receive list of Witness Servers from IP address {WitnessServerIP}
Microsoft-Windows-SMBWitnessClient|5|Microsoft-Windows-SMBWitnessClient/Informational|Witness Client selected {WitnessServerIP} as the Witness Server for NetName \\{NetName}
Microsoft-Windows-SMBWitnessClient|6|Microsoft-Windows-SMBWitnessClient/Admin|Witness Client failed to find a Witness Server for NetName \\{NetName} with error ({ErrorCode}). Retrying in ({Sleep}) seconds. This event may be suppressed for this resource for the next 12 hours if the condition persists.
Microsoft-Windows-SMBWitnessClient|7|Microsoft-Windows-SMBWitnessClient/Informational|Witness Client successfully registered with Witness Server {WitnessServerIP} for notification on NetName \\{NetName} with IP address {FileServerIP}
Microsoft-Windows-SMBWitnessClient|8|Microsoft-Windows-SMBWitnessClient/Admin|Witness Client failed to register with Witness Server {WitnessServerIP} for notification on NetName \\{NetName} with error ({Error})
Microsoft-Windows-SMBWitnessClient|9|Microsoft-Windows-SMBWitnessClient/Admin|Witness Client received error ({ErrorCode}) from Witness Server {WitnessServerIP} for NetName \\{NetName}
Microsoft-Windows-SMBWitnessClient|10|Microsoft-Windows-SMBWitnessClient/Admin|Witness Client received resource notification {NotificationType} for NetName \\{NetName} from Witness Server {WitnessServerIP}
Microsoft-Windows-SMBWitnessClient|11|Microsoft-Windows-SMBWitnessClient/Admin|Witness Client failed resource notification for NetName \\{NetName} with error ({Error})
Microsoft-Windows-SMBWitnessClient|12|Microsoft-Windows-SMBWitnessClient/Admin|Witness Client received a request to move to a different file server node for NetName \\{NetName} from Witness Server {WitnessServerIP}
Microsoft-Windows-SMBWitnessClient|13|Microsoft-Windows-SMBWitnessClient/Admin|Witness Client failed the move request for NetName \\{NetName} with error ({Error})
Microsoft-Windows-SMBWitnessClient|14|Microsoft-Windows-SMBWitnessClient/Informational|Witness Client received unregister request for \\{NetName}\{ShareName}
Microsoft-Windows-SMBWitnessClient|15|Microsoft-Windows-SMBWitnessClient/Informational|Witness Client successfully unregistered from Witness Server {WitnessServerIP} for NetName \\{NetName}
Microsoft-Windows-SMBWitnessClient|16|Microsoft-Windows-SMBWitnessClient/Admin|Witness Client failed to unregister from Witness Server {WitnessServerIP} for NetName \\{NetName} with error ({Error})
Microsoft-Windows-SMBWitnessClient|17|Microsoft-Windows-SMBWitnessClient/Informational|Witness Client is already registered with Witness Server {WitnessServer} for notification on NetName \\{NetName} and IP address {IPAddress}
Microsoft-Windows-SMBWitnessClient|18|Microsoft-Windows-SMBWitnessClient/Informational|Witness Client is already registered with Witness Server {WitnessServer} for notification on \\{NetName}\{ShareName} and IP address {IPAddress}
Microsoft-Windows-SMBWitnessClient|19|Microsoft-Windows-SMBWitnessClient/Admin|Witness Client received an IP notification for NetName \\{NetName} from Witness Server {WitnessServerIP}
Microsoft-Windows-SMBWitnessClient|20|Microsoft-Windows-SMBWitnessClient/Admin|Witness Client received an IP notification for \\{NetName}\{ShareName} from Witness Server {WitnessServerIP}
Microsoft-Windows-SMBWitnessClient|21|Microsoft-Windows-SMBWitnessClient/Admin|Witness Client failed the IP notification for NetName \\{NetName} with error ({Error})
Microsoft-Windows-SMBWitnessClient|22|Microsoft-Windows-SMBWitnessClient/Admin|Witness Client failed the IP notification for \\{NetName}\{ShareName} with error ({Error})
Microsoft-Windows-SMBWitnessClient|23|Microsoft-Windows-SMBWitnessClient/Admin|Witness Client received a share move request for \\{NetName}\{ShareName} from Witness Server {WitnessServer}
Microsoft-Windows-SMBWitnessClient|24|Microsoft-Windows-SMBWitnessClient/Admin|Witness Client failed the share move request for \\{NetName}\{ShareName} with error ({Error})
Microsoft-Windows-SMBWitnessClient|25|Microsoft-Windows-SMBWitnessClient/Admin|Witness Client failed to unregister for NetName \\{NetName} because it is currently not registered
Microsoft-Windows-SMBWitnessClient|26|Microsoft-Windows-SMBWitnessClient/Admin|Witness Client failed to unregister for \\{NetName}\{ShareName} because it is currently not registered
Microsoft-Windows-SMBWitnessClient|27|Microsoft-Windows-SMBWitnessClient/Informational|Witness Client selected {WitnessServerIP} as the Witness Server for \\{NetName}\{ShareName}
Microsoft-Windows-SMBWitnessClient|28|Microsoft-Windows-SMBWitnessClient/Admin|Witness Client failed to find a Witness Server for \\{NetName}\{ShareName} with error ({ErrorCode}). Retrying in ({Sleep}) seconds. This event may be suppressed for this resource for the next 12 hours if the condition persists.
Microsoft-Windows-SMBWitnessClient|29|Microsoft-Windows-SMBWitnessClient/Informational|Witness Client successfully registered with Witness Server {WitnessServerIP} for notification on \\{NetName}\{ShareName} with IP address {FileServerIP}
Microsoft-Windows-SMBWitnessClient|30|Microsoft-Windows-SMBWitnessClient/Admin|Witness Client failed to register with Witness Server {WitnessServerIP} for notification on \\{NetName}\{ShareName} with error ({Error})
Microsoft-Windows-SMBWitnessClient|31|Microsoft-Windows-SMBWitnessClient/Admin|Witness Client received error ({ErrorCode}) from Witness Server {WitnessServerIP} for \\{NetName}\{ShareName}
