Provider|Event ID|Channel|Message
Microsoft-Windows-NWiFi|10000|Microsoft-Windows-NWiFi/Diagnostic|OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus}
Microsoft-Windows-NWiFi|10001|Microsoft-Windows-NWiFi/Diagnostic|IOCTL function={Function} Status={Status} Length={Length} bytes
Microsoft-Windows-NWiFi|10002|Microsoft-Windows-NWiFi/Diagnostic|Reject Scan Request: {Status}
Microsoft-Windows-NWiFi|10003|Microsoft-Windows-NWiFi/Diagnostic|IOCTL_DOT11_WEP_DEFAULT_KEY_VALUE: There is no association
Microsoft-Windows-NWiFi|10004|Microsoft-Windows-NWiFi/Diagnostic|Unsupported Mcast cipher algorithm {AlgorithmId}
Microsoft-Windows-NWiFi|10005|Microsoft-Windows-NWiFi/Diagnostic|Desired SSID List {SSIDCount} entries
Microsoft-Windows-NWiFi|10006|Microsoft-Windows-NWiFi/Diagnostic|SetDesiredSSIDList failed, status = {Status}
Microsoft-Windows-NWiFi|10007|Microsoft-Windows-NWiFi/Diagnostic|Set DesiredBSSType: {BSSType}
Microsoft-Windows-NWiFi|10008|Microsoft-Windows-NWiFi/Diagnostic|Desired BSSID List {BSSIDCount} entries
Microsoft-Windows-NWiFi|10009|Microsoft-Windows-NWiFi/Diagnostic|Enabled AuthList {AuthCount} entries
Microsoft-Windows-NWiFi|10010|Microsoft-Windows-NWiFi/Diagnostic|Set ExcludeUnencrypted ({Value}): {Status}
Microsoft-Windows-NWiFi|10011|Microsoft-Windows-NWiFi/Diagnostic|Set HiddenNetworkEnabled ({Value}): {Status}
Microsoft-Windows-NWiFi|10012|Microsoft-Windows-NWiFi/Diagnostic|Drop cached M1: there is a pending 802.1x exchange
Microsoft-Windows-NWiFi|10013|Microsoft-Windows-NWiFi/Diagnostic|Replay detected (our counter {ExpectedCounter}, received {ReceivedCounter}), dropping the packet
Microsoft-Windows-NWiFi|10014|Microsoft-Windows-NWiFi/Diagnostic|Version number {ExpectedVer} not supported, Expecting {ReceivedVer}
Microsoft-Windows-NWiFi|10015|Microsoft-Windows-NWiFi/Diagnostic|Receive 1X packet G1: FrameSeq# {FrameSequence}: {SrcMAC} ==> {DestMAC}
Microsoft-Windows-NWiFi|10016|Microsoft-Windows-NWiFi/Diagnostic|Receive 1X packet M1 (4 way handshake rekey - secure bit set): FrameSeq# {FrameSequence}: {SrcMAC} ==> {DestMAC}
Microsoft-Windows-NWiFi|10017|Microsoft-Windows-NWiFi/Diagnostic|Receive 1X packet M1: FrameSeq# {FrameSequence}: {SrcMAC} ==> {DestMAC}
Microsoft-Windows-NWiFi|10018|Microsoft-Windows-NWiFi/Diagnostic|Receive 1X packet M3: FrameSeq# {FrameSequence}: {SrcMAC} ==> {DestMAC}
Microsoft-Windows-NWiFi|10019|Microsoft-Windows-NWiFi/Diagnostic|Send 1X packet G2: {SrcMAC} ==> {DestMAC}
Microsoft-Windows-NWiFi|10020|Microsoft-Windows-NWiFi/Diagnostic|Dot11ReceiveM1: aborted since the connection has changed
Microsoft-Windows-NWiFi|10021|Microsoft-Windows-NWiFi/Diagnostic|Send 1X packet M2: {SrcMAC} ==> {DestMAC}
Microsoft-Windows-NWiFi|10022|Microsoft-Windows-NWiFi/Diagnostic|Dot11ReceiveM1 failed with status {Status}
Microsoft-Windows-NWiFi|10023|Microsoft-Windows-NWiFi/Diagnostic|Dot11ReceiveM3 failed with status {Status}
Microsoft-Windows-NWiFi|10024|Microsoft-Windows-NWiFi/Diagnostic|Dot11ReceiveM3: aborted since the connection has changed
Microsoft-Windows-NWiFi|10025|Microsoft-Windows-NWiFi/Diagnostic|Send 1X packet M4: {SrcMAC} ==> {DestMAC}
Microsoft-Windows-NWiFi|10026|Microsoft-Windows-NWiFi/Diagnostic|Reject request of setting PMK since the caller is not current security endpoint
