Provider|Level|Event ID|Version|Channel|Task|Opcode|Keyword|Message
Microsoft-Windows-USB-MAUSBHOST|Information|1|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|MAUSB Driver Rundown|Start|Default Rundown|
Microsoft-Windows-USB-MAUSBHOST|Information|2|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|MAUSB Driver Rundown|Stop|Default Rundown|
Microsoft-Windows-USB-MAUSBHOST|Information|3|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|MAUSB Controller Rundown|Information|Default Rundown|MAUSB Controller Information
Microsoft-Windows-USB-MAUSBHOST|Information|4|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|MAUSB Device Rundown|Information|Default Rundown|MAUSB Device Information
Microsoft-Windows-USB-MAUSBHOST|Information|5|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|MAUSB Endpoint Rundown|Information|Default Rundown|MAUSB Endpoint Information
Microsoft-Windows-USB-MAUSBHOST|Information|6|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|MAUSB Controller Create|Information|Default|MAUSB Controller Create
Microsoft-Windows-USB-MAUSBHOST|Information|7|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|MAUSB Controller Delete|Information|Default|MAUSB Controller Delete
Microsoft-Windows-USB-MAUSBHOST|Information|8|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|MAUSB Device Create|Information|Default|MAUSB Device Create
Microsoft-Windows-USB-MAUSBHOST|Information|9|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|MAUSB Device Update|Information|Default|MAUSB Device Update
Microsoft-Windows-USB-MAUSBHOST|Information|10|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|MAUSB Device Delete|Information|Default|MAUSB Device Delete
Microsoft-Windows-USB-MAUSBHOST|Information|11|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|MAUSB Endpoint Create|Information|Default|MAUSB Endpoint Create
Microsoft-Windows-USB-MAUSBHOST|Information|12|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|MAUSB Endpoint Update|Information|Default|MAUSB Endpoint Update
Microsoft-Windows-USB-MAUSBHOST|Information|13|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|MAUSB Endpoint Delete|Information|Default|MAUSB Endpoint Delete
Microsoft-Windows-USB-MAUSBHOST|Information|15|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|MAUSB Controller D0 Entry|Start|Default Power|MAUSB Controller EvtDeviceD0Entry Start
Microsoft-Windows-USB-MAUSBHOST|Information|16|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|MAUSB Controller D0 Entry|Stop|Default Power|MAUSB Controller EvtDeviceD0Entry Complete
Microsoft-Windows-USB-MAUSBHOST|Information|17|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|MAUSB Controller D0 Exit|Start|Default Power|MAUSB Controller EvtDeviceD0Exit Start
Microsoft-Windows-USB-MAUSBHOST|Information|18|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|MAUSB Controller D0 Exit|Stop|Default Power|MAUSB Controller EvtDeviceD0Exit Complete
Microsoft-Windows-USB-MAUSBHOST|Information|19|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|MAUSB Controller Internal Reset|Start|Default|MAUSB Controller Internal Reset Start
Microsoft-Windows-USB-MAUSBHOST|Information|20|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|MAUSB Controller Internal Reset|Stop|Default|MAUSB Controller Internal Reset Complete
Microsoft-Windows-USB-MAUSBHOST|Information|21|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|MAUSB Controller Query Capability|Information|Default IRP|Query USB capability for controller
Microsoft-Windows-USB-MAUSBHOST|Information|50|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|PAL Management Channel|Information|Default|Send Management Request
Microsoft-Windows-USB-MAUSBHOST|Information|51|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|PAL Management Channel|Information|Default|Send Management Response
Microsoft-Windows-USB-MAUSBHOST|Information|52|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|PAL Management Channel|Information|Default|Receive Management Request
Microsoft-Windows-USB-MAUSBHOST|Information|53|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|PAL Management Channel|Information|Default|Receive Management Response
Microsoft-Windows-USB-MAUSBHOST|Error|54|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|PAL Management Channel|Information|Default HWVerifyHost|MA USB Descriptor Validation Failure
Microsoft-Windows-USB-MAUSBHOST|Error|55|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|PAL Management Channel|Information|Default HWVerifyHost|Management Response Invalid Subtype
Microsoft-Windows-USB-MAUSBHOST|Error|56|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|PAL Management Channel|Information|Default HWVerifyHost|Management Response Status Error
Microsoft-Windows-USB-MAUSBHOST|Error|57|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|PAL Management Channel|Information|Default HWVerifyHost|Management Response Retries Timed Out
Microsoft-Windows-USB-MAUSBHOST|Error|58|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|PAL Management Channel|Information|Default HWVerifyHost|Management Response Header Status Error
Microsoft-Windows-USB-MAUSBHOST|Error|59|0|This is the Analytic channel to which internal Analytic events from the MAUSB driver are sent.|PAL Management Channel|Information|Default HWVerifyHost|Management Response Packet Incorrect Size
