Provider|Event ID|Channel|Message
Microsoft-Windows-USB-USBHUB|1|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Added
Microsoft-Windows-USB-USBHUB|2|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Removed
Microsoft-Windows-USB-USBHUB|3|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Information
Microsoft-Windows-USB-USBHUB|10|Microsoft-Windows-USB-USBHUB/Diagnostic|Start Enumeration of Port
Microsoft-Windows-USB-USBHUB|11|Microsoft-Windows-USB-USBHUB/Diagnostic|Enumeration Port Debounce Failed
Microsoft-Windows-USB-USBHUB|12|Microsoft-Windows-USB-USBHUB/Diagnostic|Create PDO Failed
Microsoft-Windows-USB-USBHUB|13|Microsoft-Windows-USB-USBHUB/Diagnostic|IoCreateDevice Failed
Microsoft-Windows-USB-USBHUB|14|Microsoft-Windows-USB-USBHUB/Diagnostic|Create PnP ID Failed
Microsoft-Windows-USB-USBHUB|15|Microsoft-Windows-USB-USBHUB/Diagnostic|Enumeration Port Reset Failure
Microsoft-Windows-USB-USBHUB|16|Microsoft-Windows-USB-USBHUB/Diagnostic|Port Enabled but not Connected After First Reset
Microsoft-Windows-USB-USBHUB|17|Microsoft-Windows-USB-USBHUB/Diagnostic|First Enumeration Port Reset Timed Out
Microsoft-Windows-USB-USBHUB|18|Microsoft-Windows-USB-USBHUB/Diagnostic|Create Device Failed
Microsoft-Windows-USB-USBHUB|19|Microsoft-Windows-USB-USBHUB/Diagnostic|Initialize Device Failed
Microsoft-Windows-USB-USBHUB|20|Microsoft-Windows-USB-USBHUB/Diagnostic|Get Descriptors Request Failed
Microsoft-Windows-USB-USBHUB|21|Microsoft-Windows-USB-USBHUB/Diagnostic|Valdiation of USB Configuration Descriptor Failed
Microsoft-Windows-USB-USBHUB|22|Microsoft-Windows-USB-USBHUB/Diagnostic|Validation of USB Device Descriptor Failed
Microsoft-Windows-USB-USBHUB|23|Microsoft-Windows-USB-USBHUB/Diagnostic|Request for Microsoft OS Descriptor Failed
Microsoft-Windows-USB-USBHUB|24|Microsoft-Windows-USB-USBHUB/Diagnostic|Request for Serial Number String Descriptor Failed
Microsoft-Windows-USB-USBHUB|25|Microsoft-Windows-USB-USBHUB/Diagnostic|Build PnP ID failed
Microsoft-Windows-USB-USBHUB|26||Duplicate Serial Number Detected
Microsoft-Windows-USB-USBHUB|27|Microsoft-Windows-USB-USBHUB/Diagnostic|Enumeration Timed Out Waiting for Previous Instance of USB Device to be Removed
Microsoft-Windows-USB-USBHUB|28|Microsoft-Windows-USB-USBHUB/Diagnostic|Enumeration Failed Due to Registry Failure
Microsoft-Windows-USB-USBHUB|29|Microsoft-Windows-USB-USBHUB/Diagnostic|Retrying Enumeration of Port
Microsoft-Windows-USB-USBHUB|30|Microsoft-Windows-USB-USBHUB/Diagnostic|Hub Disconnected During Enumeration of Port
