Provider|Event ID|Channel|Message
Microsoft-Windows-USB-USBHUB3|1|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|
Microsoft-Windows-USB-USBHUB3|2|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|
Microsoft-Windows-USB-USBHUB3|3|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|USB 3.0 Hub Information
Microsoft-Windows-USB-USBHUB3|4|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|USB 2.0/1.1 Hub Information
Microsoft-Windows-USB-USBHUB3|5|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|USB Root Hub Information
Microsoft-Windows-USB-USBHUB3|6|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|USB Device Information
Microsoft-Windows-USB-USBHUB3|6|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|USB Device Information
Microsoft-Windows-USB-USBHUB3|7|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|USB 2.0/1.1 Port
Microsoft-Windows-USB-USBHUB3|7|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|USB 2.0/1.1 Port
Microsoft-Windows-USB-USBHUB3|8|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|USB 3.0 Port
Microsoft-Windows-USB-USBHUB3|8|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|USB 3.0 Port
Microsoft-Windows-USB-USBHUB3|9|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|ACPI _UPC Package for Port
Microsoft-Windows-USB-USBHUB3|10|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|ACPI _PLD Package for Port
Microsoft-Windows-USB-USBHUB3|20|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Start of EvtDevicePrepareHardware for USB Hub
Microsoft-Windows-USB-USBHUB3|21|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Complete EvtDevicePrepareHardware for USB Hub
Microsoft-Windows-USB-USBHUB3|22|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|USB 3.0 Hub Information
Microsoft-Windows-USB-USBHUB3|23|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|USB 2.0/1.1 Hub Information
Microsoft-Windows-USB-USBHUB3|24|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|USB Root Hub Information
Microsoft-Windows-USB-USBHUB3|25|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|USB 2.0/1.1 Port
Microsoft-Windows-USB-USBHUB3|25|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|USB 2.0/1.1 Port
Microsoft-Windows-USB-USBHUB3|26|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|USB 3.0 Port
Microsoft-Windows-USB-USBHUB3|26|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|USB 3.0 Port
Microsoft-Windows-USB-USBHUB3|27|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|ACPI _UPC Package for Port
Microsoft-Windows-USB-USBHUB3|28|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|ACPI _PLD Package for Port
Microsoft-Windows-USB-USBHUB3|29|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|
Microsoft-Windows-USB-USBHUB3|30|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Complete EvtDeviceAdd for USB Hub
Microsoft-Windows-USB-USBHUB3|31|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Start of EvtDeviceReleaseHardware for USB Hub
Microsoft-Windows-USB-USBHUB3|32|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Complete EvtDeviceReleaseHardware for USB Hub
Microsoft-Windows-USB-USBHUB3|33|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Start of EvtDeviceD0Entry for USB Hub
Microsoft-Windows-USB-USBHUB3|34|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Complete EvtDeviceD0Entry for USB Hub
Microsoft-Windows-USB-USBHUB3|35|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Start of EvtDeviceD0Exit for USB Hub
Microsoft-Windows-USB-USBHUB3|36|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Complete EvtDeviceD0Exit for USB Hub
Microsoft-Windows-USB-USBHUB3|37|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Start of EvtDeviceReleaseHardware for USB Hub
Microsoft-Windows-USB-USBHUB3|38|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Complete EvtDeviceReleaseHardware for USB Hub
Microsoft-Windows-USB-USBHUB3|39|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Start of EvtDeviceCleanup for USB Hub
Microsoft-Windows-USB-USBHUB3|40|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Complete EvtDeviceCleanup for USB Hub
Microsoft-Windows-USB-USBHUB3|41|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Start of EvtDevicePrepareHardware for USB Device
Microsoft-Windows-USB-USBHUB3|42|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Complete EvtDevicePrepareHardware for USB Device
Microsoft-Windows-USB-USBHUB3|43|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|New USB Device Information
Microsoft-Windows-USB-USBHUB3|43|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|New USB Device Information
Microsoft-Windows-USB-USBHUB3|44|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|USB Hub Nested Too Deeply
Microsoft-Windows-USB-USBHUB3|45|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Unknown USB Hub Type
Microsoft-Windows-USB-USBHUB3|47|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|
Microsoft-Windows-USB-USBHUB3|48|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Complete EvtDeviceAdd for USB Device
Microsoft-Windows-USB-USBHUB3|49|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Start of EvtDeviceReleaseHardware for USB Device
Microsoft-Windows-USB-USBHUB3|50|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Complete EvtDeviceReleaseHardware for USB Device
Microsoft-Windows-USB-USBHUB3|51|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Start of EvtDeviceD0Entry for USB Device
Microsoft-Windows-USB-USBHUB3|52|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Complete EvtDeviceD0Entry for USB Device
Microsoft-Windows-USB-USBHUB3|53|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Start of EvtDeviceD0Exit for USB Device
Microsoft-Windows-USB-USBHUB3|54|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Complete EvtDeviceD0Exit for USB Device
Microsoft-Windows-USB-USBHUB3|55|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Start of EvtDeviceReleaseHardware for USB Device
Microsoft-Windows-USB-USBHUB3|56|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Complete EvtDeviceReleaseHardware for USB Device
Microsoft-Windows-USB-USBHUB3|57|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Start of EvtDeviceCleanup for USB Device
Microsoft-Windows-USB-USBHUB3|58|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Complete EvtDeviceCleanup for USB Device
Microsoft-Windows-USB-USBHUB3|60|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Start of USB Device Enumeration
Microsoft-Windows-USB-USBHUB3|61|This is the Analytic channel to which internal Analytic events from the USBHUB3 driver are sent.|Completion of USB Device Enumeration
