Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-WWAN-SVC-EVENTS,Error,1001,0,WWAN Diagnostic Channel,,,,WWAN Service event: WWAN error
Microsoft-Windows-WWAN-SVC-EVENTS,Warning,1002,0,WWAN Diagnostic Channel,,,,WWAN Service event: WWAN warning
Microsoft-Windows-WWAN-SVC-EVENTS,Error,1003,0,WWAN Diagnostic Channel,,,,{FunctionCall} Failed with Error Code {ErrorCode} in {Method}
Microsoft-Windows-WWAN-SVC-EVENTS,Information,2001,0,WWAN Diagnostic Channel,,,,
Microsoft-Windows-WWAN-SVC-EVENTS,Information,2002,0,WWAN Diagnostic Channel,,,,
Microsoft-Windows-WWAN-SVC-EVENTS,Information,2003,0,WWAN Diagnostic Channel,,,LwtDiagnostic,WWAN Service event: WWAN Interface arrived
Microsoft-Windows-WWAN-SVC-EVENTS,Information,2004,0,WWAN Diagnostic Channel,,,,WWAN Service event: WWAN Interface removed
Microsoft-Windows-WWAN-SVC-EVENTS,Error,2005,0,WWAN Diagnostic Channel,,,LwtDiagnostic,WWAN Service event: WWAN Interface discarded
Microsoft-Windows-WWAN-SVC-EVENTS,Information,2006,0,WWAN Diagnostic Channel,,,,WWAN Service event: WWAN Interface information
Microsoft-Windows-WWAN-SVC-EVENTS,Verbose,2007,0,WWAN Diagnostic Channel,,,,WWAN Service event: WWAN API Request
Microsoft-Windows-WWAN-SVC-EVENTS,Verbose,2008,0,WWAN Diagnostic Channel,,,,WWAN RPC API {WwanApiName} Call on Interface {{InterfaceGuid}}
Microsoft-Windows-WWAN-SVC-EVENTS,Information,3001,0,WWAN Diagnostic Channel,,,LwtDiagnostic,WWAN Service event: Register happened. Either automatically or by some request
Microsoft-Windows-WWAN-SVC-EVENTS,Error,3002,0,WWAN Diagnostic Channel,,,LwtDiagnostic,WWAN Service event: Register request failed
Microsoft-Windows-WWAN-SVC-EVENTS,Information,3003,0,WWAN Diagnostic Channel,,,,WWAN Service event: Deregister happened
Microsoft-Windows-WWAN-SVC-EVENTS,Information,3004,0,WWAN Diagnostic Channel,,,,WWAN Service event: Packet attach happened. Either automatically or by some request
Microsoft-Windows-WWAN-SVC-EVENTS,Information,3006,0,WWAN Diagnostic Channel,,,,WWAN Service event: Packet Detach happened. Either automatically or by some request
Microsoft-Windows-WWAN-SVC-EVENTS,Information,3008,0,WWAN Diagnostic Channel,,,,WWAN Service event: Context Activate happened. Either automatically or by some request
Microsoft-Windows-WWAN-SVC-EVENTS,Information,3010,0,WWAN Diagnostic Channel,,,,WWAN Service event: Context Deactivate happened. Either automatically or by some request
Microsoft-Windows-WWAN-SVC-EVENTS,Information,3012,0,WWAN Diagnostic Channel,,,LwtDiagnostic,WWAN Service event: Connect happened. Either automatically or by some request
Microsoft-Windows-WWAN-SVC-EVENTS,Error,3013,0,WWAN Diagnostic Channel,,,LwtDiagnostic,WWAN Service event: Connect request failed
Microsoft-Windows-WWAN-SVC-EVENTS,Information,3014,0,WWAN Diagnostic Channel,,,,WWAN Service event: Disconnect happened. Either automatically or by some request
Microsoft-Windows-WWAN-SVC-EVENTS,Error,3015,0,WWAN Diagnostic Channel,,,,WWAN Service event: Disconnect request failed
Microsoft-Windows-WWAN-SVC-EVENTS,Information,4001,0,WWAN Diagnostic Channel,,,,WWAN Service event: Signal Notification recieved
Microsoft-Windows-WWAN-SVC-EVENTS,Information,4002,0,WWAN Diagnostic Channel,,,,WWAN Service event: Radio state change Notification recieved
Microsoft-Windows-WWAN-SVC-EVENTS,Information,4003,0,WWAN Diagnostic Channel,,,,WWAN Service event: Profile Update Notification recieved
Microsoft-Windows-WWAN-SVC-EVENTS,Information,4004,0,WWAN Operational Channel,,,,Interface {InterfaceGuid} is ready to be used for mobile broadband operations
Microsoft-Windows-WWAN-SVC-EVENTS,Information,4005,0,WWAN Operational Channel,,,,Interface {InterfaceGuid} mobile broadband is registered as {RegisteredType}
Microsoft-Windows-WWAN-SVC-EVENTS,,5001,0,WWAN Diagnostic Channel,,,,WWAN Service event: Pin Information Notification recieved
Microsoft-Windows-WWAN-SVC-EVENTS,Information,5002,0,WWAN Diagnostic Channel,,,,WWAN Service event: Pin List Notification recieved
Microsoft-Windows-WWAN-SVC-EVENTS,Information,5003,0,WWAN Diagnostic Channel,,,,WWAN Service event: Pin Action Completion Notification recieved
Microsoft-Windows-WWAN-SVC-EVENTS,Information,6001,0,WWAN Operational Channel,Connection Cost,,,WWAN Service event: {CostSource} Cost is changed to {CostValue} for profile {ProfileName} on interface {InterfaceGuid}
Microsoft-Windows-WWAN-SVC-EVENTS,Information,6002,0,WWAN Operational Channel,Connection Cost,,,WWAN Service event: {CostSource} Cost is cleared for profile {ProfileName} on interface {InterfaceGuid}
Microsoft-Windows-WWAN-SVC-EVENTS,Information,6003,0,WWAN Operational Channel,Connection Cost,,,Group Policy Cost is changed to {CostValue}
Microsoft-Windows-WWAN-SVC-EVENTS,Information,6004,0,WWAN Operational Channel,Connection Cost,,,Group Policy Cost is cleared
Microsoft-Windows-WWAN-SVC-EVENTS,Information,6100,0,WWAN Diagnostic Channel,Measure Wwan Resume Reconnect task,Start,,Wwan Resume Reconnect Started
Microsoft-Windows-WWAN-SVC-EVENTS,Information,6101,0,WWAN Diagnostic Channel,Measure Wwan Resume Reconnect task,Stop,,Wwan Resume Reconnect Cancelled
Microsoft-Windows-WWAN-SVC-EVENTS,Information,6102,0,WWAN Diagnostic Channel,,Start,,
Microsoft-Windows-WWAN-SVC-EVENTS,Information,6103,0,WWAN Diagnostic Channel,,Stop,,
Microsoft-Windows-WWAN-SVC-EVENTS,Information,6104,0,WWAN Diagnostic Channel,,Stop,,
Microsoft-Windows-WWAN-SVC-EVENTS,Critical,7000,0,WWAN Operational Channel,Account Management,,,Account Management: Error initializing network account updater.Error is {error}: {hresult}
Microsoft-Windows-WWAN-SVC-EVENTS,Error,7001,0,WWAN Diagnostic Channel,Account Management,,,Account Management: Error retrieving mobile broadband property "{propname}" from network interface {mbnInterface}.Error is {error}: {hresult}
Microsoft-Windows-WWAN-SVC-EVENTS,Warning,7002,0,WWAN Operational Channel,Account Management,,,Account Management: Skipping network interface {mbnInterface} with unsupported cellular class {cellularClass}.
