Provider|Event ID|Channel|Message
Microsoft-Windows-DriverFrameworks-UserMode-Performance|1||
Microsoft-Windows-DriverFrameworks-UserMode-Performance|2||
Microsoft-Windows-DriverFrameworks-UserMode-Performance|3||
Microsoft-Windows-DriverFrameworks-UserMode-Performance|4||
Microsoft-Windows-DriverFrameworks-UserMode-Performance|5||
Microsoft-Windows-DriverFrameworks-UserMode-Performance|6||
Microsoft-Windows-DriverFrameworks-UserMode-Performance|7||
Microsoft-Windows-DriverFrameworks-UserMode-Performance|8||
Microsoft-Windows-DriverFrameworks-UserMode-Performance|9||
Microsoft-Windows-DriverFrameworks-UserMode-Performance|10||
Microsoft-Windows-DriverFrameworks-UserMode-Performance|11||
Microsoft-Windows-DriverFrameworks-UserMode-Performance|12||
