Provider|Level|Event ID|Version|Channel|Task|Opcode|Keyword|Message
Microsoft-Windows-HotspotAuth|Information|1001|0|Microsoft-Windows-HotspotAuth/Analytic|Hotspot Authentication|Start|ut:Authentication|Hotspot authentication started for interface {InterfaceGuid}
Microsoft-Windows-HotspotAuth|Information|1002|0|Microsoft-Windows-HotspotAuth/Operational|Hotspot Authentication|Stop|ut:Authentication|Hotspot authentication successfully completed for interface {InterfaceGuid}
Microsoft-Windows-HotspotAuth|Information|1003|0|Microsoft-Windows-HotspotAuth/Operational|Hotspot Authentication|Stop|ut:Authentication|Hotspot authentication failed for interface {InterfaceGuid} with status ({Result}) and response code ({ResponseCode})
Microsoft-Windows-HotspotAuth|Information|1004|0|Microsoft-Windows-HotspotAuth/Operational|Hotspot Authentication|Stop|ut:Authentication|Hotspot authentication has cancelled for interface {InterfaceGuid}
Microsoft-Windows-HotspotAuth|Information|1005|0|Microsoft-Windows-HotspotAuth/Analytic|Hotspot Authentication|Stop|ut:Authentication|Hotspot authentication has completed for interface {InterfaceGuid} with status ({AuthenticationScenarioType})
Microsoft-Windows-HotspotAuth|Information|1006|0|Microsoft-Windows-HotspotAuth/Analytic|Hotspot Authentication|Stop|ut:Authentication|Hotspot authentication scenario has cancelled for interface {InterfaceGuid}
Microsoft-Windows-HotspotAuth|Information|2001|0|Microsoft-Windows-HotspotAuth/Analytic|WISPr Detection|Start|ut:WISPrDetection|Discovering WISPr has started for interface {InterfaceGuid}
Microsoft-Windows-HotspotAuth|Information|2002|0|Microsoft-Windows-HotspotAuth/Analytic|WISPr Detection|Stop|ut:WISPrDetection|The hotspot on interface {InterfaceGuid} supports WISPr
Microsoft-Windows-HotspotAuth|Information|2003|0|Microsoft-Windows-HotspotAuth/Operational|WISPr Detection|Stop|ut:WISPrDetection|WISPr detection failed for interface {InterfaceGuid} with error ({Result})
Microsoft-Windows-HotspotAuth|Information|2004|0|Microsoft-Windows-HotspotAuth/Analytic|WISPr Detection|Stop|ut:WISPrDetection|WISPr detection completed for interface {InterfaceGuid} with status ({WisprScenarioType})
Microsoft-Windows-HotspotAuth|Information|2005|0|Microsoft-Windows-HotspotAuth/Analytic|WISPr Detection|Stop|ut:WISPrDetection|WISPr detection scenario has cancelled for interface {InterfaceGuid}
Microsoft-Windows-HotspotAuth|Information|2006|0|Microsoft-Windows-HotspotAuth/Operational|WISPr Detection|Stop|ut:WISPrDetection|The hotspot on interface {InterfaceGuid} does not support WISPr
Microsoft-Windows-HotspotAuth|Information|2007|0|Microsoft-Windows-HotspotAuth/Operational|WISPr Detection|Stop|ut:WISPrDetection|No WISPr discovery performed for the hotspot on interface {InterfaceGuid}
Microsoft-Windows-HotspotAuth|Information|3001|0|Microsoft-Windows-HotspotAuth/Operational|Hotspot Detection|Stop|ut:HotspotDetection|No hotspot detected on interface {InterfaceGuid}
Microsoft-Windows-HotspotAuth|Information|3002|0|Microsoft-Windows-HotspotAuth/Analytic|Hotspot Detection|Stop|ut:HotspotDetection|Interface {InterfaceGuid} disconnected
