Provider|Event ID|Channel|Message
Microsoft-Windows-Diagnostics-Performance|100|Operational|Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime}
Microsoft-Windows-Diagnostics-Performance|100|Operational|Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime}
Microsoft-Windows-Diagnostics-Performance|101|Operational|This application took longer than usual to start up, resulting in a performance degradation in the system startup process:      File Name		:	{Name}     Friendly Name		:	{FriendlyName}     Version		:	{Version}     Total Time		:	{TotalTime}ms     Degradation Time	:	{DegradationTime}ms     Incident Time (UTC)	:	{StartTime}
Microsoft-Windows-Diagnostics-Performance|102|Operational|This driver took longer to initialize, resulting in a performance degradation in the system start up process:      File Name		:	{Name}     Friendly Name		:	{FriendlyName}     Version		:	{Version}     Total Time		:	{TotalTime}ms     Degradation Time	:	{DegradationTime}ms     Incident Time (UTC)	:	{StartTime}
Microsoft-Windows-Diagnostics-Performance|103|Operational|This startup service took longer than expected to startup, resulting in a performance degradation in the system start up process:      File Name		:	{Name}     Friendly Name		:	{FriendlyName}     Version		:	{Version}     Total Time		:	{TotalTime}ms     Degradation Time	:	{DegradationTime}ms     Incident Time (UTC)	:	{StartTime}
Microsoft-Windows-Diagnostics-Performance|104|Operational|Core system took longer to initialize, resulting in a performance degradation in the system start up process:      Name		:	{Name}     Total Time		:	{TotalTime}ms     Degradation Time	:	{DegradationTime}ms     Incident Time (UTC)	:	{StartTime}
Microsoft-Windows-Diagnostics-Performance|105|Operational|Foreground optimizations (prefetching) took longer to complete, resulting in a performance degradation in the system start up process:      Name		:	{Name}     Total Time		:	{TotalTime}ms     Degradation Time	:	{DegradationTime}ms     Incident Time (UTC)	:	{StartTime}
Microsoft-Windows-Diagnostics-Performance|106|Operational|Background optimizations (prefetching) took longer to complete, resulting in a performance degradation in the system start up process:      Name		:	{Name}     Total Time		:	{TotalTime}ms     Degradation Time	:	{DegradationTime}ms     Incident Time (UTC)	:	{StartTime}
Microsoft-Windows-Diagnostics-Performance|107|Operational|Application of machine policy caused a slow down in the system start up process:      Name		:	{Name}     Total Time		:	{TotalTime}ms     Degradation Time	:	{DegradationTime}ms     Incident Time (UTC)	:	{StartTime}
Microsoft-Windows-Diagnostics-Performance|108|Operational|Application of user policy caused a slow down in the system start up process:      Name		:	{Name}     Total Time		:	{TotalTime}ms     Degradation Time	:	{DegradationTime}ms     Incident Time (UTC)	:	{StartTime}
Microsoft-Windows-Diagnostics-Performance|109|Operational|This device took longer to initialize, resulting in a performance degradation in the system start up process:      File Name		:	{Name}     Friendly Name		:	{FriendlyName}     Version		:	{Version}     Total Time		:	{TotalTime}ms     Degradation Time	:	{DegradationTime}ms     Incident Time (UTC)	:	{StartTime}
Microsoft-Windows-Diagnostics-Performance|110|Operational|Session manager initialization caused a slow down in the startup process:      Name		:	{Name}     Total Time		:	{TotalTime}ms     Degradation Time	:	{DegradationTime}ms     Incident Time (UTC)	:	{StartTime}
Microsoft-Windows-Diagnostics-Performance|200|Operational|Windows has shutdown:      Shutdown Duration	:	{ShutdownTime}ms     IsDegradation		:	{ShutdownTsVersion}6     Incident Time (UTC)	:	{ShutdownStartTime}
Microsoft-Windows-Diagnostics-Performance|201|Operational|This application caused a delay in the system shutdown process:      File Name		:	{Name}     Friendly Name		:	{FriendlyName}     Version		:	{Version}     Total Time		:	{TotalTime}ms     Degradation Time	:	{DegradationTime}ms     Incident Time (UTC)	:	{StartTime}
