Provider|Event ID|Channel|Message
Microsoft-Windows-Wcmsvc|1001|Operational|
Microsoft-Windows-Wcmsvc|1002|Operational|
Microsoft-Windows-Wcmsvc|1003|Operational|CDE reported a state change  State: {Status}  Name: {Name}
Microsoft-Windows-Wcmsvc|1004|Operational|
Microsoft-Windows-Wcmsvc|1005|Operational|A Power change was processed.  Reason: {Reason}
Microsoft-Windows-Wcmsvc|1006|Operational|A Terminal Services session change was processed.  Reason: {Reason}
Microsoft-Windows-Wcmsvc|1007|Diagnostic|CDE reported a state change  State: {Status}  Name: Nlasvc.
Microsoft-Windows-Wcmsvc|1008|Diagnostic|NLA interface property change Interface: {Interface GUID}Internet v4: {Internet Connectivity v4}Internet v6: {Internet Connectivity v6}Probe Complete v4: {Internet Probe Complete v4}Probe Complete v6: {Internet Probe Complete v6}Domain Authenticated: {Domain Connectivity}Domain Probe Complete: {Domain Probe Complete}
Microsoft-Windows-Wcmsvc|1009|Operational|CDE reported an L2 adapter arrival  Interface: {InterfaceGuid}  Type: {MediaType}
Microsoft-Windows-Wcmsvc|1010|Operational|CDE reported an L2 adapter removal  Interface: {InterfaceGuid}  Type: {MediaType}
Microsoft-Windows-Wcmsvc|1011|Diagnostic|CDE reported a successful connection  Interface: {InterfaceGuid}  Type: {MediaType}
Microsoft-Windows-Wcmsvc|1012|Operational|CDE reported a connection failure  Interface: {InterfaceGuid}  Type: {MediaType} Status: {Status}
Microsoft-Windows-Wcmsvc|1013|Diagnostic|CDE reported a disconnection  Interface: {InterfaceGuid}  Type: {MediaType}
Microsoft-Windows-Wcmsvc|1014|Diagnostic|WcmSetParameter CalledInterface: {Interface GUID}Profile Name: {Profile Name}Wcm Opcode: {Wcm Opcode}Data Length: {Data length}Caller Process ID: {Caller Process ID}Return Value: {Return Value}
Microsoft-Windows-Wcmsvc|1015|Operational|Interface Token AppliedInterface: {Interface GUID}Media Type: {Mediatype}Manual enabled: {Manual Connect}Manual Filter: {Manual Filter control}Num Manual: {Num Manual profiles}Manual Profiles: {Manual Profile Names}Auto enabled: {Auto Connect}Auto filter: {Auto Filter control}Num Auto: {Num Auto profiles}Auto Profiles: {Interface GUID}0
Microsoft-Windows-Wcmsvc|1016|Operational|Interface Token FailedInterface: {Interface GUID}Media Type: {Mediatype}Manual enabled: {Manual Connect}Manual Filter: {Manual Filter control}Num Manual: {Num Manual profiles}Manual Profiles: {Manual Profile Names}Auto enabled: {Auto Connect}Auto filter: {Auto Filter control}Num Auto: {Num Auto profiles}AutoProfiles: {Interface GUID}0Status: {Interface GUID}1
Microsoft-Windows-Wcmsvc|1017|Operational|Soft disconnect over thresholds for interface: {Interface GUID}AvgIn: {Avg In} AvgOut: {Avg Out} SpikeIn: {Spike In} SpikeOut: {Spike Out}Thresholds: AvgIn: {Threshold Avg In} AvgOut: {Threshold Avg Out} SpikeIn: {Threshold Spike In} SpikeOut:{Threshold Spike Out}All values are in bytes/second
Microsoft-Windows-Wcmsvc|1018|Operational|Soft disconnect under thresholds for interface: {Interface GUID}AvgIn: {Avg In} AvgOut: {Avg Out} SpikeIn: {Spike In} SpikeOut: {Spike Out}Thresholds: AvgIn: {Threshold Avg In} AvgOut: {Threshold Avg Out} SpikeIn: {Threshold Spike In} SpikeOut:{Threshold Spike Out}All values are in bytes/second
