Provider|Level|Event ID|Version|Channel|Task|Opcode|Keyword|Message
Windows-ApplicationModel-Store-SDK|Error|1|0|Microsoft-Windows-Store/Operational|StorefrontClient||StorefrontClient|{Message}Error Code: {Error Code}Function: {Function}Source: {File Name} ({Line Number})
Windows-ApplicationModel-Store-SDK|Warning|2|0|Microsoft-Windows-Store/Operational|StorefrontClient||StorefrontClient|{Message}Exception Details: {Exception Details}Function: {Function}Source: {File Name} ({Line Number})
Windows-ApplicationModel-Store-SDK|Warning|3|0|Microsoft-Windows-Store/Operational|StorefrontClient||StorefrontClient|{Message}Function: {Member Name}Source: {File Name} ({Line Number})
Windows-ApplicationModel-Store-SDK|Information|4|0|Microsoft-Windows-Store/Operational|StorefrontClient||StorefrontClient|{Message}Function: {Member Name}Source: {File Name} ({Line Number})
Windows-ApplicationModel-Store-SDK|Verbose|5|0|Microsoft-Windows-Store/Operational|StorefrontClient||StorefrontClient|{Message}Function: {Member Name}Source: {File Name} ({Line Number})
Windows-ApplicationModel-Store-SDK|Information|2000|0|Microsoft-Windows-Store/Operational|Store SDK Module Loaded||Messages|Process Name: {Process Name}Module Name: {Module Name}Build: {Build Name}
Windows-ApplicationModel-Store-SDK|Verbose|2001|0|Microsoft-Windows-Store/Operational|In-App Purchase|Verbose|Messages|{Message}Error: {Error Code}Function: {Function}Source: {Source} ({Line Number})
Windows-ApplicationModel-Store-SDK|Information|2002|0|Microsoft-Windows-Store/Operational|In-App Purchase|Info|Messages|{Message}Error: {Error Code}Function: {Function}Source: {Source} ({Line Number})
Windows-ApplicationModel-Store-SDK|Warning|2003|0|Microsoft-Windows-Store/Operational|In-App Purchase|Warning|Messages|{Message}Error: {Error Code}Function: {Function}Source: {Source} ({Line Number})
Windows-ApplicationModel-Store-SDK|Error|2004|0|Microsoft-Windows-Store/Operational|In-App Purchase|Error|Messages|{Message}Error: {Error Code}Function: {Function}Source: {Source} ({Line Number})
Windows-ApplicationModel-Store-SDK|Verbose|3001|0|Microsoft-Windows-Store/Operational|Store Purchase App|Verbose|StorePurchaseApp|{Message}Error: {Error Code}Function: {Function}Source: {Source} ({Line Number})
Windows-ApplicationModel-Store-SDK|Information|3002|0|Microsoft-Windows-Store/Operational|Store Purchase App|Info|StorePurchaseApp|{Message}Error: {Error Code}Function: {Function}Source: {Source} ({Line Number})
Windows-ApplicationModel-Store-SDK|Warning|3003|0|Microsoft-Windows-Store/Operational|Store Purchase App|Warning|StorePurchaseApp|{Message}Error: {Error Code}Function: {Function}Source: {Source} ({Line Number})
Windows-ApplicationModel-Store-SDK|Error|3004|0|Microsoft-Windows-Store/Operational|Store Purchase App|Error|StorePurchaseApp|{Message}Error: {Error Code}Function: {Function}Source: {Source} ({Line Number})
