Provider|Event ID|Channel|Message
Microsoft-Windows-AppModel-Exec|100||DepMgr: Removed suspension group from the graph, PsmKey={PsmKey}
Microsoft-Windows-AppModel-Exec|101||Not set app {PsmKey} into halted state because it should wait for other apps in the package halted first
Microsoft-Windows-AppModel-Exec|102||Not set app {PsmKey} into halted state because other app in the package have not finished quiescing
Microsoft-Windows-AppModel-Exec|103||Not terminate app {PsmKey}, because target app {AppPsmKey} state = {State}
Microsoft-Windows-AppModel-Exec|104||Updated current dependency graph (Removal : {Removal}) with Source {SrcPsmKey} and Target {TargetPsmKey} for type {Type} in return {Error}
Microsoft-Windows-AppModel-Exec|105||Default time for {ValueName} overridden to {Time} ms
Microsoft-Windows-AppModel-Exec|106||
Microsoft-Windows-AppModel-Exec|107||Window {HwndPointer} is hung in foreground
Microsoft-Windows-AppModel-Exec|108||Window {HwndPointer} is no longer hung in foreground
Microsoft-Windows-AppModel-Exec|109||Waiting for WER reporting to finish on app {PsmKey}
Microsoft-Windows-AppModel-Exec|110||Hang reporting finished on app {PsmKey}.  App termination status: {Bool}
Microsoft-Windows-AppModel-Exec|111||Hung reporting finished on window {Hwnd} with result {ErrorCode}
Microsoft-Windows-AppModel-Exec|112||_SubmitActivationHangWerReport(start): Aumid={AUMID}, PIDs={PID} count={Count}
Microsoft-Windows-AppModel-Exec|113||_SubmitActivationHangWerReport(stop): Aumid={AUMID}, result={ErrorCode}
Microsoft-Windows-AppModel-Exec|114||_UnregisterForStateChanges: fPackageLevel={PackageLevel}, HRESULT is {ErrorCode}. Cookie is {Cookie}
Microsoft-Windows-AppModel-Exec|115||Application {AUMID} has successfully launched. HRESULT {ErrorCode}
Microsoft-Windows-AppModel-Exec|116||Canceled launch grace timer, PsmKey={PsmKey}
Microsoft-Windows-AppModel-Exec|117||_InitializeLaunchGraceContext: Aumid={AUMID}, fExtendedLaunch={Bool1}, fEventExists={Bool2}
Microsoft-Windows-AppModel-Exec|118||App {AUMID} successfully launched and its launch grace period expired: removing suspend exemption
Microsoft-Windows-AppModel-Exec|119||Forcefully terminating app, Aumid={AUMID} flags={Flags}, reason={Reason}
Microsoft-Windows-AppModel-Exec|120||CheckTerminationBeforeSwitch: Should terminate: {MaxTterminate}, Aumid={AUMID}, HRESULT={ErrorCode}, reason={Reason}, fIsMisbehaving={Misbehaving}
Microsoft-Windows-AppModel-Exec|121||Termination requested for {AUMID} - flags {Flags}
Microsoft-Windows-AppModel-Exec|122||Failing TerminateApp due to pending task completions: {PlmFlags}
Microsoft-Windows-AppModel-Exec|123||Terminating {AUMID} immediately
Microsoft-Windows-AppModel-Exec|124||Uninstalling background work items for {AUMID}
Microsoft-Windows-AppModel-Exec|125||Termination of {ValueName} scheduled for {Time} ms in future
Microsoft-Windows-AppModel-Exec|126||Sent window message to the default immersive browser with HRESULT {ErrorCode}
Microsoft-Windows-AppModel-Exec|127||Attempting to terminate app {AUMID} prior to new app launch due to pending termination
Microsoft-Windows-AppModel-Exec|128||EvaluateAndTerminatePid: PID: {PID}. HRESULT: {ErrorCode}. Package State: {PackageState}
Microsoft-Windows-AppModel-Exec|129||Exempting application {AUMID} from suspend while it is being launched
Microsoft-Windows-AppModel-Exec|130||Exemption manager {SuspendExemptionReason} is requesting a higher minimum priority {Priority} for {PsmKey}
Microsoft-Windows-AppModel-Exec|131||Debug mode is enabled for {PsmKey}, so it will run at {Priority} priority
Microsoft-Windows-AppModel-Exec|132||Handling logoff, {PsmKey} will run at {Priority} priority
Microsoft-Windows-AppModel-Exec|133||Throttling has been disabled, so {PsmKey} will run at {Priority} priority
Microsoft-Windows-AppModel-Exec|134||Suspend denied due to new key debounce, PsmKey={PsmKey}
Microsoft-Windows-AppModel-Exec|135||Suspend denied due to debug mode, PsmKey={PsmKey}
Microsoft-Windows-AppModel-Exec|136||Not suspending application {PsmKey} due to exemption {Exemption}
Microsoft-Windows-AppModel-Exec|137||_EvaluateAndSuspendApplication: PsmKey={PsmKey}, fIsSuspendAllowed={Bool}, HRESULT={ErrorCode}
Microsoft-Windows-AppModel-Exec|138||_ReevaluatePolicy: Ignoring debug mode app, PsmKey={PsmKey}
Microsoft-Windows-AppModel-Exec|139||
Microsoft-Windows-AppModel-Exec|140||ManagePreExistingApps: PsmKey={PsmKey}, Aumid={AUMID}, hr={ErrorCode}
Microsoft-Windows-AppModel-Exec|141||
Microsoft-Windows-AppModel-Exec|142||RequestSuspendTimeout called for application {PsmKey} and timeout {TimeOut}
Microsoft-Windows-AppModel-Exec|143||Debug mode enabled, PkgFamilyName={PackageFamilyName}
Microsoft-Windows-AppModel-Exec|144||Debug mode disabled, PkgFamilyName={PackageFamilyName}
Microsoft-Windows-AppModel-Exec|145||Set Package {PackageFullName}, Timeout to {Time}
Microsoft-Windows-AppModel-Exec|146||ResumeDebugModePackage(start): package={PackageFullName}
Microsoft-Windows-AppModel-Exec|147||ResumeDebugModePackage(stop): package={PackageFullName}, HRESULT={ErrorCode}
Microsoft-Windows-AppModel-Exec|148||SuspendDebugModePackage(start): package={PackageFullName}
Microsoft-Windows-AppModel-Exec|149||SuspendDebugModePackage(stop): package={PackageFullName}, HRESULT={ErrorCode}
Microsoft-Windows-AppModel-Exec|150||MultiAppSuspendAndTerminateSync(start): cPsmKeys={PsmKey}, suspendTrigger={Trigger}, terminateReason={Reason}
Microsoft-Windows-AppModel-Exec|151||MultiAppSuspendAndTerminateSync(stop): cPsmKeys={PsmKey}, suspendTrigger={Trigger}, terminateReason={Reason}, HRESULT={ErrorCode}
Microsoft-Windows-AppModel-Exec|152||MultiPackageSuspendAndTerminateSync(start): cPsmKeys={PsmKey}, suspendTrigger={Trigger}, terminateReason={Reason}
