Provider|Event ID|Channel|Message
Microsoft-Windows-BitLocker-Driver|24577|System|Encryption of volume {Volume} started.
Microsoft-Windows-BitLocker-Driver|24578|System|Encryption of volume {Volume} stopped.
Microsoft-Windows-BitLocker-Driver|24579|System|Encryption of volume {Volume} completed.
Microsoft-Windows-BitLocker-Driver|24580|System|Decryption of volume {Volume} started.
Microsoft-Windows-BitLocker-Driver|24581|System|Decryption of volume {Volume} stopped.
Microsoft-Windows-BitLocker-Driver|24582|System|Decryption of volume {Volume} completed.
Microsoft-Windows-BitLocker-Driver|24583|System|Conversion worker thread for volume {Volume} was started.
Microsoft-Windows-BitLocker-Driver|24584|System|Conversion worker thread for volume {Volume} was temporarily stopped.
Microsoft-Windows-BitLocker-Driver|24585|System|Auto-unlock enabled for volume {Volume}.
Microsoft-Windows-BitLocker-Driver|24586|System|An error was encountered converting volume {Volume}.
Microsoft-Windows-BitLocker-Driver|24587|System|Auto-unlock disabled for volume {Volume}.
Microsoft-Windows-BitLocker-Driver|24588|System|The conversion operation on volume {Volume} encountered a bad sector error. Please validate the data on this volume.
Microsoft-Windows-BitLocker-Driver|24589|System|Failed to enable auto-unlock for volume {Volume}.
Microsoft-Windows-BitLocker-Driver|24590|System|Failed to disable auto-unlock for volume {Volume}.
Microsoft-Windows-BitLocker-Driver|24591|System|Auto-unlocking failed for volume {Volume}.
Microsoft-Windows-BitLocker-Driver|24592|System|An attempt to automatically restart conversion on volume {Volume} failed.
Microsoft-Windows-BitLocker-Driver|24593|System|Metadata write: Volume {Volume} returning errors while trying to modify metadata. If failures continue, decrypt volume.
Microsoft-Windows-BitLocker-Driver|24594|System|Metadata rebuild: An attempt to write a copy of metadata on volume {Volume} failed and may appear as disk corruption. If failures continue, decrypt volume.
Microsoft-Windows-BitLocker-Driver|24595|System|Volume {Volume} contains bad clusters. These clusters will be skipped during conversion.
Microsoft-Windows-BitLocker-Driver|24596|System|No key file was found for Volume {Volume} during restart.
Microsoft-Windows-BitLocker-Driver|24597|System|A corrupt key file was encountered for Volume {Volume} during restart.
Microsoft-Windows-BitLocker-Driver|24598|System|No volume master key was retrieved in a key file during restart.
Microsoft-Windows-BitLocker-Driver|24599|System|The TPM was not enabled during restart.
Microsoft-Windows-BitLocker-Driver|24600|System|The SRK was found to be invalid during restart.
Microsoft-Windows-BitLocker-Driver|24601|System|The PCRs did not match during restart.
Microsoft-Windows-BitLocker-Driver|24602|System|No volume master key was retrieved from a key file during restart.
Microsoft-Windows-BitLocker-Driver|24603|System|A boot application hash did not match expected value during restart.
Microsoft-Windows-BitLocker-Driver|24604|System|The boot configuration options did not match expected values during restart.
Microsoft-Windows-BitLocker-Driver|24605|System|No volume master key was retrieved from a PIN during restart.
Microsoft-Windows-BitLocker-Driver|24606|System|No volume master key was retrieved from a recovery password during restart.
Microsoft-Windows-BitLocker-Driver|24607|System|A valid key was found during the last restart.
Microsoft-Windows-BitLocker-Driver|24608|System|An unexpected error was encountered attempting to retrieve the volume master key during restart.
Microsoft-Windows-BitLocker-Driver|24609|System|A key was not available from required sources during restart.
Microsoft-Windows-BitLocker-Driver|24610|System|Metadata commit: Not all copies of metadata on volume {Volume} could be written. If failures continue, decrypt volume.
Microsoft-Windows-BitLocker-Driver|24611|System|Metadata commit: No copies of metadata on volume {Volume} could be written. If failures continue, decrypt volume.
Microsoft-Windows-BitLocker-Driver|24612|System|Metadata commit: Metadata update could not be flushed.
