Provider|Event ID|Channel|Message
Microsoft-Windows-MCCS-SyncController|1||Error: {P1_HResult} Location: {P2_String} Line Number: {P3_UInt32}
Microsoft-Windows-MCCS-SyncController|2||Error Propagated: {P1_HResult} Location: {P2_String} Line Number: {P3_UInt32}
Microsoft-Windows-MCCS-SyncController|102||SyncController:[Consistency] [{Prop_Dword_1}] Registry key for this partner is being deleted because it's invalid.
Microsoft-Windows-MCCS-SyncController|103||SyncController:[Consistency] Default Store is invalid, but will not be deleted. There were '{Prop_Dword_1}' stores found.
Microsoft-Windows-MCCS-SyncController|104||SyncController:[Consistency] [{Prop_Dword_0}:{Prop_Dword_1}:{Prop_Dword_2}] Store being deleted because it's invalid. There were '{Prop_Dword_3}' stores found.
Microsoft-Windows-MCCS-SyncController|105||SyncController:[Consistency] [{Prop_Dword_0}] Registry key for this partner is invalid, the reason is '{Prop_Dword_1}'.
Microsoft-Windows-MCCS-SyncController|106||SyncController:[Consistency] [{Prop_Dword_0}:{Prop_Dword_1}:{Prop_Dword_2}] Store is invalid, the reason is '{Prop_Dword_3}'.
Microsoft-Windows-MCCS-SyncController|191||Sync WNF event: {P2_UnicodeString}
Microsoft-Windows-MCCS-SyncController|193||Sync WNF event: {P1_Guid} - {P2_UnicodeString}
Microsoft-Windows-MCCS-SyncController|194||Sync WNF event: {P1_Guid} - {P2_UnicodeString}
Microsoft-Windows-MCCS-SyncController|195||Sync WNF event {P2_UnicodeString} not found.
Microsoft-Windows-MCCS-SyncController|196||Notified golden account existence: {P1_Boolean}.
Microsoft-Windows-MCCS-SyncController|201||Receive WNF event; current mode: {SyncMode}, current value: {Prop_Dword_2}
Microsoft-Windows-MCCS-SyncController|401||
Microsoft-Windows-MCCS-SyncController|402||
Microsoft-Windows-MCCS-SyncController|403||
Microsoft-Windows-MCCS-SyncController|404||
Microsoft-Windows-MCCS-SyncController|405||
Microsoft-Windows-MCCS-SyncController|406||
Microsoft-Windows-MCCS-SyncController|407||
Microsoft-Windows-MCCS-SyncController|408||
Microsoft-Windows-MCCS-SyncController|409||
Microsoft-Windows-MCCS-SyncController|410||
Microsoft-Windows-MCCS-SyncController|411||
Microsoft-Windows-MCCS-SyncController|412||
Microsoft-Windows-MCCS-SyncController|500||AccountSyncController: Starting scheduled SyncExecutor for account {Prop_Dword_1}, engine {EngineGuid}.
