Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-PerfOS,,3221226472,0,,,,,
Microsoft-Windows-PerfOS,Error,1000,1,Application,,,,Unable to open one of the Windows operating system performance counter objects. The first four bytes (DWORD) of the Data section contains the status code.
Microsoft-Windows-PerfOS,,3221226473,0,,,,,
Microsoft-Windows-PerfOS,Error,1001,1,Application,,,,
Microsoft-Windows-PerfOS,,2147485648,0,,,,,
Microsoft-Windows-PerfOS,Warning,2000,1,Application,,,,Unable to collect Processor performance data. The first four bytes (DWORD) of the Data section contains the status code.
Microsoft-Windows-PerfOS,,2147485649,0,,,,,
Microsoft-Windows-PerfOS,Warning,2001,1,Application,,,,Unable to collect Interrupt performance data. The first four bytes (DWORD) of the Data section contains the status code.
Microsoft-Windows-PerfOS,Warning,2002,0,Application,,,,Unable to collect File Cache performance data. The first four bytes (DWORD) of the Data section contains the status code.
Microsoft-Windows-PerfOS,,2147485650,0,,,,,
Microsoft-Windows-PerfOS,,2147485651,0,,,,,
Microsoft-Windows-PerfOS,Warning,2003,2,Application,,,,Unable to collect Process performance data. The first four bytes (DWORD) of the Data section contains the status code.
Microsoft-Windows-PerfOS,,2147485652,0,,,,,
Microsoft-Windows-PerfOS,Warning,2004,1,Application,,,,Unable to collect Thread performance data. The first four bytes (DWORD) of the Data section contains the status code.
Microsoft-Windows-PerfOS,,2147485653,0,,,,,
Microsoft-Windows-PerfOS,Warning,2005,1,Application,,,,Unable to collect Event performance data. The first four bytes (DWORD) of the Data section contains the status code.
Microsoft-Windows-PerfOS,,2147485654,0,,,,,
Microsoft-Windows-PerfOS,Warning,2006,1,Application,,,,Unable to collect Semaphore performance data. The first four bytes (DWORD) of the Data section contains the status code.
Microsoft-Windows-PerfOS,,2147485655,0,,,,,
Microsoft-Windows-PerfOS,,2147485656,0,,,,,
Microsoft-Windows-PerfOS,Warning,2008,1,Application,,,,Unable to collect Section performance data. The first four bytes (DWORD) of the Data section contains the status code.
Microsoft-Windows-PerfOS,,3221227481,0,,,,,
Microsoft-Windows-PerfOS,Error,2009,1,Application,,,,Unable to get system configuration information. The first four bytes (DWORD) of the Data section contains the status code.
Microsoft-Windows-PerfOS,,2147485658,0,,,,,
Microsoft-Windows-PerfOS,Warning,2010,1,Application,,,,Unable to collect System performance data. The first four bytes (DWORD) of the Data section contains the status code.
Microsoft-Windows-PerfOS,,2147485659,0,,,,,
Microsoft-Windows-PerfOS,Warning,2011,1,Application,,,,Unable to collect System Pagefile performance data. The first four bytes (DWORD) of the Data section contains the status code.
Microsoft-Windows-PerfOS,,2147485660,0,,,,,
Microsoft-Windows-PerfOS,Warning,2012,1,Application,,,,Unable to collect System Process performance data. The first four bytes (DWORD) of the Data section contains the status code.
Microsoft-Windows-PerfOS,,2147485661,0,,,,,
Microsoft-Windows-PerfOS,Warning,2013,1,Application,,,,Unable to collect System Exception performance data. The first four bytes (DWORD) of the Data section contains the status code.
Microsoft-Windows-PerfOS,,2147485662,0,,,,,
Microsoft-Windows-PerfOS,Warning,2014,1,Application,,,,Unable to collect Registry Quota performance data. The first four bytes (DWORD) of the Data section contains the status code.
Microsoft-Windows-PerfOS,,2147485663,0,,,,,
Microsoft-Windows-PerfOS,Warning,2015,1,Application,,,,Unable to collect System time information. The first four bytes (DWORD) of the Data section contains the status code.
Microsoft-Windows-PerfOS,,2147485664,0,,,,,
Microsoft-Windows-PerfOS,Warning,2016,1,Application,,,,Unable to collect System Processor Idle performance data. The first four bytes (DWORD) of the Data section contains the status code.
Microsoft-Windows-PerfOS,,2147485665,0,,,,,
Microsoft-Windows-PerfOS,Warning,2017,1,Application,,,,Unable to collect NUMA physical memory utilization data. The first four bytes (DWORD) of the Data section contains the status code.
Microsoft-Windows-PerfOS,Warning,8199,1,Application,,,,Unable to collect Mutex performance data. The first four bytes (DWORD) of the Data section contains the status code.
