Provider|Event ID|Channel|Message
Microsoft-Windows-Security-Mitigations|1|Kernel Mode|Process '{ProcessPath}' (PID {CallingProcessId}) would have been blocked from generating dynamic code.
Microsoft-Windows-Security-Mitigations|2|Kernel Mode|Process '{ProcessPath}' (PID {CallingProcessId}) was blocked from generating dynamic code.
Microsoft-Windows-Security-Mitigations|3|Kernel Mode|Process '{ProcessPath}' (PID {CallingProcessId}) would have been blocked from creating a child process '{ProcessPathLength}4' with command line '{ProcessPathLength}6'.
Microsoft-Windows-Security-Mitigations|4|Kernel Mode|Process '{ProcessPath}' (PID {CallingProcessId}) was blocked from creating a child process '{ProcessPathLength}4' with command line '{ProcessPathLength}6'.
Microsoft-Windows-Security-Mitigations|5|Kernel Mode|Process '{ProcessPath}' (PID {ProcessId}) would have been blocked from loading the low-integrity binary '{ProcessPathLength}4'.
Microsoft-Windows-Security-Mitigations|6|Kernel Mode|Process '{ProcessPath}' (PID {ProcessId}) was blocked from loading the low-integrity binary '{ProcessPathLength}4'.
Microsoft-Windows-Security-Mitigations|7|Kernel Mode|Process '{ProcessPath}' (PID {CallingProcessId}) would have been blocking from loading a binary from a remote share.
Microsoft-Windows-Security-Mitigations|8|Kernel Mode|Process '{ProcessPath}' (PID {CallingProcessId}) was blocked from loading a binary from a remote share.
Microsoft-Windows-Security-Mitigations|9|Kernel Mode|Process '{ProcessPath}' (PID {CallingProcessId}) would have been blocked from making system calls to Win32k.sys.
Microsoft-Windows-Security-Mitigations|10|Kernel Mode|Process '{ProcessPath}' (PID {CallingProcessId}) was blocked from making system calls to Win32k.sys.
Microsoft-Windows-Security-Mitigations|11|Kernel Mode|Process '{ProcessPath}' (PID {ProcessId}) would have been blocked from loading the non-Microsoft-signed binary '{ProcessPathLength}6'.
Microsoft-Windows-Security-Mitigations|12|Kernel Mode|Process '{ProcessPath}' (PID {ProcessId}) was blocked from loading the non-Microsoft-signed binary '{ProcessPathLength}6'.
Microsoft-Windows-Security-Mitigations|13|User Mode|Process '{ProcessPath}' (PID {ProcessId}) would have been blocked from accessing the Export Address Table for module '{MemModuleFullPath}'.
Microsoft-Windows-Security-Mitigations|14|User Mode|Process '{ProcessPath}' (PID {ProcessId}) was blocked from accessing the Export Address Table for module '{MemModuleFullPath}'.
Microsoft-Windows-Security-Mitigations|15|User Mode|Process '{ProcessPath}' (PID {ProcessId}) would have been blocked from accessing the Export Address Table for module '{MemModuleFullPath}'.
Microsoft-Windows-Security-Mitigations|16|User Mode|Process '{ProcessPath}' (PID {ProcessId}) was blocked from accessing the Export Address Table for module '{MemModuleFullPath}'.
Microsoft-Windows-Security-Mitigations|17|User Mode|Process '{ProcessPath}' (PID {ProcessId}) would have been blocked from accessing the Import Address Table for API '{Subcode}0'.
Microsoft-Windows-Security-Mitigations|18|User Mode|Process '{ProcessPath}' (PID {ProcessId}) was blocked from accessing the Import Address Table for API '{Subcode}0'.
Microsoft-Windows-Security-Mitigations|19|User Mode|Process '{ProcessPath}' (PID {ProcessId}) would have been blocked from calling the API '{HookedAPI}' due to return-oriented programming (ROP) exploit indications.
Microsoft-Windows-Security-Mitigations|20|User Mode|Process '{ProcessPath}' (PID {ProcessId}) was blocked from calling the API '{HookedAPI}' due to return-oriented programming (ROP) exploit indications.
Microsoft-Windows-Security-Mitigations|21|User Mode|Process '{ProcessPath}' (PID {ProcessId}) would have been blocked from calling the API '{HookedAPI}' due to return-oriented programming (ROP) exploit indications.
Microsoft-Windows-Security-Mitigations|22|User Mode|Process '{ProcessPath}' (PID {ProcessId}) was blocked from calling the API '{HookedAPI}' due to return-oriented programming (ROP) exploit indications.
Microsoft-Windows-Security-Mitigations|23|User Mode|Process '{ProcessPath}' (PID {ProcessId}) would have been blocked from calling the API '{HookedAPI}' due to return-oriented programming (ROP) exploit indications.
Microsoft-Windows-Security-Mitigations|24|User Mode|Process '{ProcessPath}' (PID {ProcessId}) was blocked from calling the API '{HookedAPI}' due to return-oriented programming (ROP) exploit indications.
Microsoft-Windows-Security-Mitigations|25|Kernel Mode|Process '{ProcessPath}' (PID {ProcessId}) has encountered a shadow stack return address mismatch. The process will be allowed to continue execution.Return instruction executed from module '{ProcessPathLength}2'.Attempting to return to module '{ProcessPathLength}4'.
Microsoft-Windows-Security-Mitigations|25|Kernel Mode|Process '{ProcessPath}' (PID {ProcessId}) has encountered a shadow stack return address mismatch. The process will be allowed to continue execution.Process shadow stack strict mode: {ProcessPathLength}5Return instruction executed from module '{ProcessPathLength}2'.Attempting to return to module '{ProcessPathLength}4'.
Microsoft-Windows-Security-Mitigations|26|Kernel Mode|Process '{ProcessPath}' (PID {ProcessId}) has encountered a shadow stack return address mismatch. The process will be terminated.Return instruction executed from module '{ProcessPathLength}2'.Attempting to return to module '{ProcessPathLength}4'.
Microsoft-Windows-Security-Mitigations|26|Kernel Mode|Process '{ProcessPath}' (PID {ProcessId}) has encountered a shadow stack return address mismatch. The process will be terminated.Process shadow stack strict mode: {ProcessPathLength}5Return instruction executed from module '{ProcessPathLength}2'.Attempting to return to module '{ProcessPathLength}4'.
Microsoft-Windows-Security-Mitigations|27|Kernel Mode|Process '{ProcessPath}' (PID {ProcessId}) would have been blocked from setting context due to instruction pointer validation failure when user-mode shadow stack is enabled.
Microsoft-Windows-Security-Mitigations|27|Kernel Mode|Process '{ProcessPath}' (PID {ProcessId}) would have been blocked from setting context due to instruction pointer validation failure when user-mode shadow stack is enabled.Process set context validation strict mode: {ProcessPathLength}3Set context type: {ProcessPathLength}4Set context target module '{ProcessPathLength}2'.
Microsoft-Windows-Security-Mitigations|28|Kernel Mode|Process '{ProcessPath}' (PID {ProcessId}) was blocked from setting context due to instruction pointer validation failure when user-mode shadow stack is enabled.
Microsoft-Windows-Security-Mitigations|28|Kernel Mode|Process '{ProcessPath}' (PID {ProcessId}) was blocked from setting context due to instruction pointer validation failure when user-mode shadow stack is enabled.Process set context validation strict mode: {ProcessPathLength}3Set context type: {ProcessPathLength}4Set context target module '{ProcessPathLength}2'.
Microsoft-Windows-Security-Mitigations|29|Kernel Mode|Process '{ProcessPath}' (PID {ProcessId}) would have been blocked from loading an image binary due to the binary not being compatible with shadow stacks and/or missing exception handling continuation data.Process requires binaries to also contain exception handling continuation data: {ProcessPathLength}5Binary path: {ProcessPathLength}2Binary compatible with shadow stacks: {ProcessPathLength}3Binary contains exception handling continuation data: {ProcessPathLength}4
