Provider|Event ID|Channel|Message
EsifLfEtwProvider|0||{stringPtr}
EsifLfEtwProvider|100||INFO: ISR Start,  Interrupt = {Interrupt}, MessageID = {MessageID}
EsifLfEtwProvider|101||INFO: ISR End,  Status = {Status}
EsifLfEtwProvider|102||DEBUG: {String}
EsifLfEtwProvider|103||ERROR: {String}
EsifLfEtwProvider|104||WARN: {String}
EsifLfEtwProvider|105||INFO: {String}
EsifLfEtwProvider|106||INFO: {String}, Status = {Status}
EsifLfEtwProvider|107||INFO: DPC Start, Interrupt = {Interrupt}, Associated Object = {AssociatedObject}
EsifLfEtwProvider|108||
