Provider|Event ID|Channel|Message
Microsoft-Windows-DataIntegrityScan|1|Microsoft-Windows-DataIntegrityScan/Admin|
Microsoft-Windows-DataIntegrityScan|4|Microsoft-Windows-DataIntegrityScan/Admin|
Microsoft-Windows-DataIntegrityScan|11|Microsoft-Windows-DataIntegrityScan/Admin|Disk scan started on \\?\PhysicalDrive{DiskNumber} (\\?\Disk{DiskGuid})
Microsoft-Windows-DataIntegrityScan|12|Microsoft-Windows-DataIntegrityScan/Admin|Disk scan completed on \\?\PhysicalDrive{DiskNumber} (\\?\Disk{DiskGuid})
Microsoft-Windows-DataIntegrityScan|21|Microsoft-Windows-DataIntegrityScan/Admin|Volume scan started on {FriendlyVolumeName} ({VolumeName}) in \\?\PhysicalDrive{VolumeGuid} (\\?\Disk{DiskNumber})
Microsoft-Windows-DataIntegrityScan|22|Microsoft-Windows-DataIntegrityScan/Admin|Volume scan completed on {FriendlyVolumeName} ({VolumeName})Bytes repaired: {VolumeNameLength}1Bytes not repaired: {VolumeNameLength}2HResult: {HResult}
Microsoft-Windows-DataIntegrityScan|23|Microsoft-Windows-DataIntegrityScan/Admin|Volume scan was partially completed on {FriendlyVolumeName} ({VolumeName})Bytes repaired: {VolumeNameLength}1Bytes not repaired: {VolumeNameLength}2HResult: {HResult}
Microsoft-Windows-DataIntegrityScan|24|Microsoft-Windows-DataIntegrityScan/Admin|Files were skipped during the volume scan.Files skipped: {Count}Volume name: {FriendlyVolumeName} ({VolumeName})First skipped file name: {FileName}HResult: {HResult}
Microsoft-Windows-DataIntegrityScan|25|Microsoft-Windows-DataIntegrityScan/Admin|Volume scan completed on {FriendlyVolumeName} ({VolumeName})Bytes repaired: {VolumeNameLength}1Bytes not repaired: {VolumeNameLength}2HResult: {HResult}
Microsoft-Windows-DataIntegrityScan|26|Microsoft-Windows-DataIntegrityScan/Admin|Volume scan was partially completed on {FriendlyVolumeName} ({VolumeName})Bytes repaired: {VolumeNameLength}1Bytes not repaired: {VolumeNameLength}2HResult: {HResult}
Microsoft-Windows-DataIntegrityScan|27|Microsoft-Windows-DataIntegrityScan/Admin|Volume scan completion at {VolumeName}5% on {FriendlyVolumeName} ({VolumeName})Bytes repaired: {VolumeNameLength}0Bytes not repaired: {VolumeNameLength}1
Microsoft-Windows-DataIntegrityScan|54|Microsoft-Windows-DataIntegrityScan/Admin|File data inconsistency was detected and was repaired successfully.File name: {FileName}Range offset: {FileOffset}Range length (in bytes): {Length}Bytes repaired: {BytesRepaired}Status: {Status}
Microsoft-Windows-DataIntegrityScan|55|Microsoft-Windows-DataIntegrityScan/Admin|File data scrub operation failed.File name: {FileName}Range offset: {FileOffset}Range length (in bytes): {Length}Bytes repaired: {BytesRepaired}Bytes not repaired: {BytesFailed}Status: {Status}
Microsoft-Windows-DataIntegrityScan|56|Microsoft-Windows-DataIntegrityScan/Admin|Volume metadata inconsistency was detected and was repaired successfully.Volume name: {FileName}Metadata reference: {InternalFileReference}Range offset: {FileOffset}Range length (in bytes): {Length}Bytes repaired: {BytesRepaired}Status: {Status}
