Provider|Event ID|Channel|Message
Microsoft-Windows-Hyper-V-Compute|100||{TraceData}
Microsoft-Windows-Hyper-V-Compute|101||{TraceData}
Microsoft-Windows-Hyper-V-Compute|102||{TraceData}
Microsoft-Windows-Hyper-V-Compute|103||{TraceData}
Microsoft-Windows-Hyper-V-Compute|500||Started DM operation add memory. Balancer requested to add {Parameter0} pages. (Virtual machine ID {VmId})
Microsoft-Windows-Hyper-V-Compute|501||DM operation add memory completed {Parameter0} pages were added, time {Time} s. (Virtual machine ID {VmId})
Microsoft-Windows-Hyper-V-Compute|502||Started DM operation remove memory. Balancer requested to remove {Parameter0} pages. (Virtual machine ID {VmId})
Microsoft-Windows-Hyper-V-Compute|503||DM operation remove memory completed {Parameter0} pages were removed, time {Time} s. (Virtual machine ID {VmId})
Microsoft-Windows-Hyper-V-Compute|504||Started DM operation add memory (SLP). Balancer requested to add {Parameter0} pages. (Virtual machine ID {VmId})
Microsoft-Windows-Hyper-V-Compute|505||DM operation add memory (SLP) completed {Parameter0} pages were added, time {Time} s. (Virtual machine ID {VmId})
Microsoft-Windows-Hyper-V-Compute|506||Virtual machine ID {VmId} : memory pressure {Parameter0}.
Microsoft-Windows-Hyper-V-Compute|507||Virtual machine ID {VmId} : committed memory {Parameter0}.
Microsoft-Windows-Hyper-V-Compute|508||Virtual machine ID {VmId} : available memory {Parameter0}.
Microsoft-Windows-Hyper-V-Compute|509||Virtual machine ID {VmId} : actual total physical memory {Parameter0}.
Microsoft-Windows-Hyper-V-Compute|510||Virtual machine ID {VmId} : guest visible physical memory {Parameter0}.
Microsoft-Windows-Hyper-V-Compute|511||NUMA node {VmId}: system average pressure: {Parameter0}.
Microsoft-Windows-Hyper-V-Compute|512||NUMA node {VmId}: system available memory: {Parameter0} MB.
Microsoft-Windows-Hyper-V-Compute|1000||The Host Compute Service is starting.
Microsoft-Windows-Hyper-V-Compute|1001||The Host Compute Service started successfully.
Microsoft-Windows-Hyper-V-Compute|1002||The Host Compute Service is shutting down.
Microsoft-Windows-Hyper-V-Compute|1003||The Host Compute Service shut down successfully.
Microsoft-Windows-Hyper-V-Compute|2000||[{SystemId}] Create compute system, result {Result}
Microsoft-Windows-Hyper-V-Compute|2001||[{SystemId}] Start compute system, result {Result}
Microsoft-Windows-Hyper-V-Compute|2002||[{SystemId}] Shut down compute system, result {Result}
Microsoft-Windows-Hyper-V-Compute|2003||[{SystemId}] Terminate compute system, result {Result}
Microsoft-Windows-Hyper-V-Compute|2004||[{SystemId}] Pause compute system, options '{Parameter0}', result {Result}
Microsoft-Windows-Hyper-V-Compute|2005||[{SystemId}] Resume compute system, options '{Parameter0}', result {Result}
Microsoft-Windows-Hyper-V-Compute|2006||[{SystemId}] Get compute system properties, query '{Parameter0}', result {Result}
Microsoft-Windows-Hyper-V-Compute|2007||[{SystemId}] Modify compute system, settings '{Parameter0}', result {Result}
Microsoft-Windows-Hyper-V-Compute|2008||[{SystemId}] Query compute system notification, result {Result}, notification {Parameter0} / {Parameter1}
Microsoft-Windows-Hyper-V-Compute|2009||[{SystemId}] Queue system notification: {Parameter0} / {Parameter1}
Microsoft-Windows-Hyper-V-Compute|2010||[{SystemId}] Create Container, type '{Parameter0}', settings '{Parameter1}'
Microsoft-Windows-Hyper-V-Compute|2011||[{SystemId}] Create Container VM, VM ID {Parameter0}, result {Result}
Microsoft-Windows-Hyper-V-Compute|2012||[{SystemId}] Create Container template VM, image path '{Parameter2}', VP count {Parameter0}, memory {Parameter1} MB
Microsoft-Windows-Hyper-V-Compute|2013||[{SystemId}] Using template VM '{Parameter0}'
Microsoft-Windows-Hyper-V-Compute|2014||[{SystemId}] Create Virtual Machine
Microsoft-Windows-Hyper-V-Compute|2015||[{SystemId}] Add compute system resource, location '{Parameter0}', resource '{Parameter1}', result {Result}
Microsoft-Windows-Hyper-V-Compute|2016||[{SystemId}] Modify compute system resource, location '{Parameter0}', resource '{Parameter1}', result {Result}
Microsoft-Windows-Hyper-V-Compute|2017||[{SystemId}] Remove compute system, location '{Parameter0}', result {Result}
Microsoft-Windows-Hyper-V-Compute|2018||[{SystemId}] Save compute system, options '{Parameter0}', result {Result}
Microsoft-Windows-Hyper-V-Compute|2019||[{SystemId}] Crash compute system, options '{Parameter0}', result {Result}
Microsoft-Windows-Hyper-V-Compute|2020||[{SystemId}] Cancel operation id {Parameter0} result {Result}
Microsoft-Windows-Hyper-V-Compute|2500||[{SystemId}] Create process, parameters '{Parameter1}', result {Result}, process ID {Parameter0}
Microsoft-Windows-Hyper-V-Compute|2501||[{SystemId}] Terminate process, process ID {Parameter0}, result {Result}
Microsoft-Windows-Hyper-V-Compute|2502||[{SystemId}] Query process notification, process ID {Parameter0}, result {Result}, notification {Parameter1} / {Parameter2}
Microsoft-Windows-Hyper-V-Compute|2503||[{SystemId}] Queue process notification {Parameter1} / {Parameter2}, process ID {Parameter0}
Microsoft-Windows-Hyper-V-Compute|2504||The dynamic memory balancer timer was started.
Microsoft-Windows-Hyper-V-Compute|10000||The Host Compute Service failed to start:  {ErrorMessage} ({ErrorCode})
Microsoft-Windows-Hyper-V-Compute|10001||The dynamic memory balancer failed to start because the host system is not supported.
Microsoft-Windows-Hyper-V-Compute|10002||Virtual machine '{Parameter0}' cannot be started on this server. The virtual machine NUMA topology requirements cannot be satisfied by the server NUMA topology. Try to use the server NUMA topology, or enable NUMA spanning. (Virtual machine ID {Parameter1}).
Microsoft-Windows-Hyper-V-Compute|10003||Virtual machine '{Parameter0}' cannot be started on this server.
Microsoft-Windows-Hyper-V-Compute|10004||'{Parameter0}' failed to start worker process: {Parameter2} ({Parameter3}). (Virtual machine ID {Parameter1})
Microsoft-Windows-Hyper-V-Compute|10005||Failed to start worker process: {Parameter2} ({Parameter3}). (Virtual machine ID {Parameter1})
Microsoft-Windows-Hyper-V-Compute|10006||The virtual machine '{VmName}' with RAM size {Parameter0} MB failed to reset due to insufficient memory. {Parameter1} MB of memory is currently available to Hyper-V to provide both memory and supporting services to starting virtual machines. (Virtual machine ID {VmId})
Microsoft-Windows-Hyper-V-Compute|10007||Failed to reset the virtual machine '{VmName}' (Virtual machine ID {VmId}).
Microsoft-Windows-Hyper-V-Compute|10008||The virtual machine '{Parameter0}' with RAM size {Parameter2} MB failed to start due to insufficient memory. {Parameter3} MB of memory is currently available to Hyper-V to provide both memory and supporting services to starting virtual machines. (Virtual machine ID {Parameter1})
Microsoft-Windows-Hyper-V-Compute|10009||Failed to start the virtual machine '{Parameter0}' (Virtual machine ID {Parameter1}).
Microsoft-Windows-Hyper-V-Compute|10010||The root memory reserve key (HKLM\Software\Microsoft\Windows NT\CurrentVersion\Virtualization\MemoryReserve) is set too low.
Microsoft-Windows-Hyper-V-Compute|10011||The root memory reserve key (HKLM\Software\Microsoft\Windows NT\CurrentVersion\Virtualization\MemoryReserve) is set too low.
Microsoft-Windows-Hyper-V-Compute|10013||DM operation add for the virtual machine '{Parameter0}' took more than {Parameter2} seconds (Virtual machine ID {Parameter1}).
Microsoft-Windows-Hyper-V-Compute|10014||DM operation remove for the virtual machine '{Parameter0}' took more than {Parameter2} seconds (Virtual machine ID {Parameter1}).
Microsoft-Windows-Hyper-V-Compute|10015||The dynamic memory balancer could not balance the system due to high memory pressure.
Microsoft-Windows-Hyper-V-Compute|10016||Smart Paging was active for the virtual machine '{Parameter0}' more than {Parameter2} seconds (Virtual machine ID {Parameter1}).
Microsoft-Windows-Hyper-V-Compute|10017||The virtual machine '{Parameter0}' stopped using Smart Paging after {Parameter2} seconds (Virtual machine ID {Parameter1}).
Microsoft-Windows-Hyper-V-Compute|10018||DM operation add for the virtual machine '{Parameter0}' failed with error: {Parameter2} ({Parameter3})  (Virtual machine ID {Parameter1}).
Microsoft-Windows-Hyper-V-Compute|10019||DM operation remove for the virtual machine '{Parameter0}' failed with error: {Parameter2} ({Parameter3})  (Virtual machine ID {Parameter1}).
Microsoft-Windows-Hyper-V-Compute|10020||The dynamic memory balancer could not add memory to the virtual machine '{Parameter0}' because its configured maximum has been reached (Virtual machine ID {Parameter1}).
Microsoft-Windows-Hyper-V-Compute|10021||Failed to start the virtual machine '{Parameter0}' (Virtual machine ID {Parameter1}).
Microsoft-Windows-Hyper-V-Compute|10022||The memory specified for the virtual machine cannot be supported by this host. For instance, this can happen when the startup memory for the virtual machine exceeds the total memory on the host.
Microsoft-Windows-Hyper-V-Compute|10023||The root memory reserve key (HKLM\Software\Microsoft\Windows NT\CurrentVersion\Virtualization\MemoryReserve) is set too low.
Microsoft-Windows-Hyper-V-Compute|10024||The root memory reserve key (HKLM\Software\Microsoft\Windows NT\CurrentVersion\Virtualization\MemoryReserve) is set too high.
Microsoft-Windows-Hyper-V-Compute|10025||An invalid value is set for the DHMM policy.
Microsoft-Windows-Hyper-V-Compute|10026||An invalid value is set for the DHMM policy.
Microsoft-Windows-Hyper-V-Compute|10028||The virtual machine '{Parameter0}' failed to start due to compute-less and resource-less NUMA node (NUMA node index {Parameter2}). (Virtual machine ID {Parameter1})
Microsoft-Windows-Hyper-V-Compute|10029||Failed to start the virtual machine '{Parameter0}' (Virtual machine ID {Parameter1}).
Microsoft-Windows-Hyper-V-Compute|10030||The requested virtual NUMA node count for the virtual machine cannot be supported by this host.
Microsoft-Windows-Hyper-V-Compute|10031||Failed to start the virtual machine '{Parameter0}' (Virtual machine ID {Parameter1}).
Microsoft-Windows-Hyper-V-Compute|10032||Not all device specific physical NUMA nodes are assigned to the virtual machine '{Parameter0}' (Virtual machine ID {Parameter1}). Try to use the server NUMA topology.
Microsoft-Windows-Hyper-V-Compute|10033||NUMA node assignment is not optimal for the virtual machine '{Parameter0}' (Virtual machine ID {Parameter1}).
Microsoft-Windows-Hyper-V-Compute|11000||The specified compute system configuration is invalid: {ErrorMessage} ({ErrorCode}, '{Parameter0}').
Microsoft-Windows-Hyper-V-Compute|11001||The specified property query is invalid: {ErrorMessage} ({ErrorCode}, '{Parameter0}').
Microsoft-Windows-Hyper-V-Compute|11002||The specified options document is invalid: {ErrorMessage} ({ErrorCode}, '{Parameter0}').
Microsoft-Windows-Hyper-V-Compute|11003||The specified settings document is invalid: {ErrorMessage} ({ErrorCode}, '{Parameter0}').
Microsoft-Windows-Hyper-V-Compute|11004||Failed to recover compute system ({SystemId}): {ErrorMessage} ({ErrorCode}).
Microsoft-Windows-Hyper-V-Compute|11005||[{SystemId}] The specified settings document is invalid: A required field '{Parameter0}' is not present.
Microsoft-Windows-Hyper-V-Compute|11006||[{SystemId}] The specified settings document is invalid: A field '{Parameter0}' contains an invalid value.
Microsoft-Windows-Hyper-V-Compute|11007||The specified save options are invalid: {ErrorMessage} ({ErrorCode}, '{Parameter0}').
Microsoft-Windows-Hyper-V-Compute|11008||Cannot create system '{SystemId}' since Hyper-V is not installed on the host.
Microsoft-Windows-Hyper-V-Compute|11500||The specified number of processors is not supported by the system ({Parameter0}).
Microsoft-Windows-Hyper-V-Compute|11501||The specified relative processor weight is out of valid range ({Parameter0}).
Microsoft-Windows-Hyper-V-Compute|11502||The specified limit for the processors usage is out of valid range ({Parameter0}).
Microsoft-Windows-Hyper-V-Compute|11503||The specified Storage Quality of Service settings are not supported on Data Volume '{Parameter0}': {ErrorMessage} ({ErrorCode}) (Container ID {SystemId})
Microsoft-Windows-Hyper-V-Compute|11504||Storage Quality of Service has been applied to a Container and to one or mode Data Volumes that reside on the same disk. Storage Quality of Service settings applied to this configuration may not be accurately enforced. Storage Quality of Service best practices recommend that Data Volumes reside on different disks than the Container components, including the Page File. (Container ID {SystemId})
