Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-Hyper-V-VSmb,Information,1,0,Microsoft-Windows-Hyper-V-Worker-Analytic,,,,[VMID {VmId}] {TraceData}
Microsoft-Windows-Hyper-V-VSmb,Warning,2,0,Microsoft-Windows-Hyper-V-Worker-Analytic,,,,[VMID {VmId}] {TraceData}
Microsoft-Windows-Hyper-V-VSmb,Error,3,0,Microsoft-Windows-Hyper-V-Worker-Analytic,,,,[VMID {VmId}] {TraceData}
Microsoft-Windows-Hyper-V-VSmb,Critical,4,0,Microsoft-Windows-Hyper-V-Worker-Analytic,,,,[VMID {VmId}] {TraceData}
Microsoft-Windows-Hyper-V-VSmb,Information,101,1,,Smb2ResponseNegotiate,,Response,SMB2 Response Negotiate
Microsoft-Windows-Hyper-V-VSmb,Information,102,1,,Smb2ResponseSessionSetup,,Response,SMB2 Response Session Setup
Microsoft-Windows-Hyper-V-VSmb,Information,103,1,,Smb2ResponseLogoff,,Response,SMB2 Response Logoff
Microsoft-Windows-Hyper-V-VSmb,Information,104,1,,Smb2ResponseTreeConnect,,Response,SMB2 Response Tree Connect
Microsoft-Windows-Hyper-V-VSmb,Information,105,1,,Smb2ResponseTreeDisconnect,,Response,SMB2 Response Tree Disconnect
Microsoft-Windows-Hyper-V-VSmb,Information,106,1,,Smb2ResponseEcho,,Response,SMB2 Response Echo
Microsoft-Windows-Hyper-V-VSmb,Information,108,1,,Smb2ResponseCreate,,Response,SMB2 Response Create
Microsoft-Windows-Hyper-V-VSmb,Information,109,1,,Smb2ResponseClose,,Response,SMB2 Response Close
Microsoft-Windows-Hyper-V-VSmb,Information,110,1,,Smb2ResponseFlush,,Response,SMB2 Response Flush
Microsoft-Windows-Hyper-V-VSmb,Information,111,1,,Smb2ResponseRead,,Response,SMB2 Response Read
Microsoft-Windows-Hyper-V-VSmb,Information,112,1,,Smb2ResponseWrite,,Response,SMB2 Response Write
Microsoft-Windows-Hyper-V-VSmb,Information,113,1,,Smb2ResponseBreakOplock,,Response,SMB2 Response Break Oplock
Microsoft-Windows-Hyper-V-VSmb,Information,115,1,,Smb2ResponseAcknowledgeBreakLease,,Response,SMB2 Response Acknowledge Break Lease
Microsoft-Windows-Hyper-V-VSmb,Information,116,1,,Smb2ResponseLock,,Response,SMB2 Response Lock
Microsoft-Windows-Hyper-V-VSmb,Information,117,1,,Smb2ResponseIoctl,,Response,SMB2 Response Ioctl
Microsoft-Windows-Hyper-V-VSmb,Information,118,1,,Smb2ResponseQueryDirectory,,Response,SMB2 Response Query Directory
Microsoft-Windows-Hyper-V-VSmb,Information,119,1,,Smb2ResponseChangeNotify,,Response,SMB2 Response Change Notify
Microsoft-Windows-Hyper-V-VSmb,Information,120,1,,Smb2ResponseQueryInfo,,Response,SMB2 Response Query Info
Microsoft-Windows-Hyper-V-VSmb,Information,121,1,,Smb2ResponseSetInfo,,Response,SMB2 Response Set Info
Microsoft-Windows-Hyper-V-VSmb,Information,122,1,,Smb2ResponseError,,Response,SMB2 Response Error
Microsoft-Windows-Hyper-V-VSmb,Information,201,1,,VSmbnetReadSegmentLength,,Read,VSMBNET Read segment length
Microsoft-Windows-Hyper-V-VSmb,Information,202,1,,VSmbnetReadSegment,,Read,VSMBNET Read segment
Microsoft-Windows-Hyper-V-VSmb,Information,203,1,,VSmbnetWriteSegment,,Write,VSMBNET write segment
Microsoft-Windows-Hyper-V-VSmb,Information,204,1,Microsoft-Windows-Hyper-V-Worker-Operational,VSmbCreateDirectMapSection,,DirectMap,{VMId}: VSMB Direct Map Section Created GPA Index {GpaPageIndex} PageCount {PageCount}
Microsoft-Windows-Hyper-V-VSmb,Information,205,1,Microsoft-Windows-Hyper-V-Worker-Operational,VSmbDestroyDirectMapSection,,DirectMap,{VMId}: VSMB Direct Map Section destroyed GPA Index {GpaPageIndex}
Microsoft-Windows-Hyper-V-VSmb,Error,206,1,Microsoft-Windows-Hyper-V-Worker-Operational,,,DirectMap,{VMId}: VSMB Dataless CIMFs Direct Map Request failed in share {VMName} for file {SharePath} due to size mismatch. Expected: {FileRelativePath}. Actual {ExpectedSize}. The CIM file may need to be recreated.
Microsoft-Windows-Hyper-V-VSmb,Information,301,1,Microsoft-Windows-Hyper-V-Worker-Operational,,,Share,'{VMName}': VSMB Share is creating ShareName: '{ShareName}' SharePath: '{SharePath}' ShareFlags: {ShareFlags}. (Virtual machine ID {VMId})
Microsoft-Windows-Hyper-V-VSmb,Information,401,0,Microsoft-Windows-Hyper-V-Worker-Analytic,,,TraceMulticast,{Message}
Microsoft-Windows-Hyper-V-VSmb,Warning,402,0,Microsoft-Windows-Hyper-V-Worker-Analytic,,,TraceMulticast,{Message}
Microsoft-Windows-Hyper-V-VSmb,Error,403,0,Microsoft-Windows-Hyper-V-Worker-Analytic,,,TraceMulticast,{Message}
