Provider|Event ID|Channel|Message
Microsoft-Windows-Hyper-V-VmSwitch|1|System|Failed to open handle to configuration store root due to error {Status}
Microsoft-Windows-Hyper-V-VmSwitch|2|System|Failed to restore switch. The switch name in the configuration store is corrupted.
Microsoft-Windows-Hyper-V-VmSwitch|3|System|Failed to register the control device object for the switch due to error {Status}.
Microsoft-Windows-Hyper-V-VmSwitch|4|System|Failed to initialize VMSwitch driver due to error {Status}.
Microsoft-Windows-Hyper-V-VmSwitch|5|System|Miniport NIC {NicName} (Friendly Name: {NicFName}) successfully enabled
Microsoft-Windows-Hyper-V-VmSwitch|6|System|Failed to enable miniport NIC {NicName} (Friendly Name: {NicFName}), status = {Status}. UniqueEvent = {UniqueEvent}.
Microsoft-Windows-Hyper-V-VmSwitch|7|System|Miniport NIC {NicName} (Friendly Name: {NicFName}) successfully initialized.
Microsoft-Windows-Hyper-V-VmSwitch|8|System|Failed to initialize miniport NIC {NicName} (Friendly Name: {NicFName}), status = {Status}. UniqueEvent = {UniqueEvent}.
Microsoft-Windows-Hyper-V-VmSwitch|9|System|Switch {SwitchName} (Friendly Name: {SwitchFName}) successfully initialized.
Microsoft-Windows-Hyper-V-VmSwitch|10|System|Failed to initialize switch {SwitchName} (Friendly Name: {SwitchFName}), status = {Status}, UniqueEvent = {UniqueEvent}.
Microsoft-Windows-Hyper-V-VmSwitch|11|System|Failed to update configuration for switch {SwitchName} (Friendly Name: {SwitchFName}), status = {Status}, UniqueEvent = {UniqueEvent}.
Microsoft-Windows-Hyper-V-VmSwitch|12|System|Failed to update configuration for port {PortName} (Friendly Name: {PortFName}) on switch {SwitchName} (Friendly Name: {SwitchFName}), status = {Status}. UniqueEvent = {Status}0.
Microsoft-Windows-Hyper-V-VmSwitch|13|System|Failed to update configuration for NIC {NicName} (Friendly Name: {NicFName}), status = {Status}. UniqueEvent = {UniqueEvent}.
Microsoft-Windows-Hyper-V-VmSwitch|14|System|Failed to restore configuration for switch {SwitchName} (Friendly Name: {SwitchFName}),  status = {Status}, UniqueEvent = {UniqueEvent}.
Microsoft-Windows-Hyper-V-VmSwitch|15|System|Failed to restore configuration for port {PortName} (Friendly Name: {PortFName}) on switch {SwitchName} (Friendly Name: {SwitchFName}), status = {Status}. UniqueEvent = {Status}0.
Microsoft-Windows-Hyper-V-VmSwitch|16|System|Failed to restore configuration for NIC {NicName} (Friendly Name: {NicFName}), status = {Status}.
Microsoft-Windows-Hyper-V-VmSwitch|17|System|Protocol NIC {NicName} (Friendly Name: {NicFName}) successfully bound to port {PortName} (Friendly Name: {PortFName}) on switch {NicNameLen}0(Friendly Name: {NicNameLen}2).
Microsoft-Windows-Hyper-V-VmSwitch|18|System|Failed to bind protocol NIC {NicName} (Friendly Name: {NicFName}) to port {PortName} (Friendly Name: {PortFName}) on switch {Status}1 (Friendly Name: {Status}3), status = {Status}. UniqueEvent = {Status}4.
Microsoft-Windows-Hyper-V-VmSwitch|19|System|Protocol NIC {NicName} (Friendly Name: {NicFName}) successfully unbound.
Microsoft-Windows-Hyper-V-VmSwitch|20|System|Failed to unbind protocol NIC {NicName} (Friendly Name: {NicFName}), status = {Status}.
Microsoft-Windows-Hyper-V-VmSwitch|21|System|Media connected on NIC {NicName} (Friendly Name: {NicFName}).
Microsoft-Windows-Hyper-V-VmSwitch|22|System|Media disconnected on NIC {NicName} (Friendly Name: {NicFName}).
Microsoft-Windows-Hyper-V-VmSwitch|23|System|NIC {NicName} (Friendly Name: {NicFName}) is now operational.
Microsoft-Windows-Hyper-V-VmSwitch|24|System|NIC {NicName} (Friendly Name: {NicFName}) is no longer operational.
Microsoft-Windows-Hyper-V-VmSwitch|25|System|The MAC address {MacAddress} has moved from port {Port1Name} (Friendly Name: {Port1FName}) to port {Port2Name} (Friendly Name: {MacAddressLen}0).
Microsoft-Windows-Hyper-V-VmSwitch|26|System|Cannot load networking driver in {VMName} because there is no mutually supported protocol.  Server version {ServerVersion}  Client version {ClientVersion} (Virtual machine ID {VMId}).
Microsoft-Windows-Hyper-V-VmSwitch|28|System|Port {Port2Name} (Friendly Name: {MacAddressLen}0) was prevented from using MAC address {MacAddress} because it is pinned to port {Port1Name} (Friendly Name: {Port1FName}).
Microsoft-Windows-Hyper-V-VmSwitch|29|System|Invalid mac address {MacAddress} configured for NIC {NicName} (Friendly Name: {NicFName}).
Microsoft-Windows-Hyper-V-VmSwitch|30|System|NIC {NicName} (Friendly Name: {NicFName}) was prevented from using MAC address {MacAddress} because it is connected to a port that does not allow mac spoofing.
Microsoft-Windows-Hyper-V-VmSwitch|31|System|The mac address for NIC {NicName} (Friendly Name: {NicFName}) has been overridden by the VM to {MacAddress}.
Microsoft-Windows-Hyper-V-VmSwitch|32|System|Failed to connect NIC {NicName} (Friendly Name: {NicFName}) to port {PortName} (Friendly Name: {PortFName}) on switch {Status}1 (Friendly Name: {Status}3), status = {Status}. UniqueEvent = {Status}4.
Microsoft-Windows-Hyper-V-VmSwitch|33|System|One or more packets were dropped on port {PortName} (Friendly Name: {VMNameLen}0) on switch {VMNameLen}2 (Friendly Name: {VMNameLen}4) because the packet contained spoofed IP address. Connected NIC is {NicName}  (Friendly Name: {NicFName})on VM {VMName}.
Microsoft-Windows-Hyper-V-VmSwitch|34|System|Failed to create port {PortName} (Friendly Name: {PortFName}) on switch {SwitchName} (Friendly Name: {SwitchFName}). The task was vetoed by a switch extension, or the switch extension stack is corrupted. Status = {Status}. UniqueEvent = {Status}0.
Microsoft-Windows-Hyper-V-VmSwitch|35|System|Failed to connect NIC {NicName} (Friendly Name: {NicFName}) to port {PortName} (Friendly Name: {PortFName}) on switch {Status}1 (Friendly Name: {Status}3). The task was vetoed by a switch extension, or the switch extension stack is corrupted. Status = {Status}.
Microsoft-Windows-Hyper-V-VmSwitch|36||A packet was dropped on port {PortName} (Friendly Name: {PortFName}) on switch {SwitchName} (Friendly Name: {SwitchFName}) because the packet is filtered by Port ACL entry {PortNameLen}0.
Microsoft-Windows-Hyper-V-VmSwitch|37||An IPsec offload inbound packet with destination IP {SwitchName} and SPI {SwitchFNameLen} destined to port {PortName} (Friendly Name: {PortFName});on switch {PortFName} (Friendly Name: {SwitchName}) was dropped. Reason: {IpsecOffloadInboundDropReason}
Microsoft-Windows-Hyper-V-VmSwitch|38||An IPsec offload inbound packet failed crypto on the NIC. Destination IP address: {PortNameLen}0, SPI: {PortNameLen}1, port {PortName} (Friendly Name: {PortFName}), switch {SwitchName} (Friendly Name: {SwitchFName}) This may be a DoS attack since the IP and SPI switch lookup succeeded but the SA packet port did not match. Ignoring the crypto failure and letting the packet through.
Microsoft-Windows-Hyper-V-VmSwitch|39||An IPsec offload outbound packet was dropped. Offload handle: {OffloadHandle}, from port {PortName} (Friendly Name: {PortFName}) on switch {SwitchName} (Friendly Name: {SwitchFName})  The packet did not match any existing offload handle on that port. This may be network attack.
Microsoft-Windows-Hyper-V-VmSwitch|40||An IPsec offload attempt failed. Originating from port {PortName} (Friendly Name: {PortFName}) on switch {SwitchName} (Friendly Name: {SwitchFName}). Reason: {IpsecSaOffloadFailureReason}. NDIS Status: {IpsecSaOffloadFailureReason}0 
Microsoft-Windows-Hyper-V-VmSwitch|41|System|Failed to query for switch extensions. The switch data path cannot start. Switch {SwitchName} (Friendly Name: {SwitchFName}), status = {Status}, UniqueEvent = {UniqueEvent}.
