Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-Kernel-Boot,Information,1,0,,FirmwareResolution,,,System was booted in {Width}x{Height}@{BitsPerPixel}bpp.
Microsoft-Windows-Kernel-Boot,Information,2,0,,BootEnvResolution,,,BootUX screen was displayed in {Width}x{Height}@{BitsPerPixel}bpp.
Microsoft-Windows-Kernel-Boot,Information,3,0,,,,,Video bit transfer rate is {BytesPerMs} bytes per ms.
Microsoft-Windows-Kernel-Boot,Information,4,0,,BootFileAccess,,,Boot library accessed file {FileName} on Device {DeviceID}. Read {BytesRead} bytes and wrote {BytesWritten} bytes.
Microsoft-Windows-Kernel-Boot,Information,5,0,,BootTotalIo,,,File IO for boot application {ApplicationGuid}: Total Bytes Read = {BytesRead}; Total Bytes Written = {BytesWritten}.
Microsoft-Windows-Kernel-Boot,Error,6,0,,ImageIntegrityCheck,,,Image {ImageName} failed IntegrityCheck reason is {Reason}. Image flags are {ImageFlags}. Error ignored due to debugger {ErrorIgnored}.
Microsoft-Windows-Kernel-Boot,Information,7,0,,BootManager,,,Bootmgr duration is {BootmgrTime} milliseconds.
Microsoft-Windows-Kernel-Boot,Warning,8,0,,ImageHashCheck,,,Image {ImageName} is not self-signed.
Microsoft-Windows-Kernel-Boot,Warning,9,0,,,,,A device ({DriveNumber}) that was enumerated by the BIOS was inaccessible to the boot environment.
Microsoft-Windows-Kernel-Boot,Error,10,0,System,,,,The system firmware has allocated a memory region previously determined to be unreliable. This has the potential to cause system instability and/or data corruption.
Microsoft-Windows-Kernel-Boot,Information,11,0,,PreBoot,,,The time elapsed before Bootmgr; based on the TSC; is {PreBootMgrTime} ms.
Microsoft-Windows-Kernel-Boot,Information,12,0,,SecureBootVariableUsage,,,Variable {UefiVariableName} requires {Size} bytes and was set with status {Status}.
Microsoft-Windows-Kernel-Boot,Warning,13,0,,,,,Element {Element} of application {ApplicationGuid} was not in policy.
Microsoft-Windows-Kernel-Boot,Information,14,0,,,,,A Secure Boot Policy update resulted in status {Status}.
Microsoft-Windows-Kernel-Boot,Information,15,0,,,,,A Secure Boot Revocation List update resulted in status {Status}.
Microsoft-Windows-Kernel-Boot,Error,16,0,System,,,,Windows failed to resume from hibernate with error status {FailureStatus}.
Microsoft-Windows-Kernel-Boot,Error,16,1,System,,,,Windows failed to resume from hibernate with error status {FailureStatus}.
Microsoft-Windows-Kernel-Boot,Information,17,0,System,,,,The boot manager multi OS selection screen was displayed.
Microsoft-Windows-Kernel-Boot,Information,18,0,System,BootmgrEntryCount,,,There are {EntryCount} boot options on this system.
Microsoft-Windows-Kernel-Boot,Information,19,0,System,,,,There are {ToolsCount} boot tool options on this system.
Microsoft-Windows-Kernel-Boot,Information,20,0,System,DirtyBootShutdown,,,The last shutdown's success status was {LastShutdownGood}. The last boot's success status was {LastBootGood}.
Microsoft-Windows-Kernel-Boot,Information,20,1,System,DirtyBootShutdown,,,The last shutdown's success status was {LastShutdownGood}. The last boot's success status was {LastBootGood}.
Microsoft-Windows-Kernel-Boot,Information,21,0,System,,,,The OS loader advanced options menu was displayed and the user selected option {OptionSelected}.
Microsoft-Windows-Kernel-Boot,Information,22,0,System,,,,The OS loader edit options menu was displayed.
Microsoft-Windows-Kernel-Boot,Information,23,0,System,,,,The Windows key was pressed during boot.
Microsoft-Windows-Kernel-Boot,Information,24,0,System,,,,The F8 key was pressed during boot.
Microsoft-Windows-Kernel-Boot,Information,25,0,System,BootMenuPolicy,,,The boot menu policy was {BootMenuPolicy}.
Microsoft-Windows-Kernel-Boot,Information,26,0,System,,,,A one-time boot sequence was used during this boot.
Microsoft-Windows-Kernel-Boot,Information,27,0,System,BootType,,,The boot type was {BootType}.
Microsoft-Windows-Kernel-Boot,Information,27,1,System,BootType,,,The boot type was {BootType}.
Microsoft-Windows-Kernel-Boot,Information,28,0,,,,,
Microsoft-Windows-Kernel-Boot,Error,29,0,System,,,,Windows failed fast startup with error status {FailureStatus}.
Microsoft-Windows-Kernel-Boot,Error,29,1,System,,,,Windows failed fast startup with error status {FailureStatus}.
Microsoft-Windows-Kernel-Boot,Information,30,0,System,FirmwareBootData,,,The firmware reported boot metrics.
Microsoft-Windows-Kernel-Boot,Information,31,0,,,,,Initialization of the firmware crypto hash provider resulted in status {Status}.
Microsoft-Windows-Kernel-Boot,Information,32,0,System,UserInputTime,,,The bootmgr spent {BitlockerUserInputTime} ms waiting for user input.
Microsoft-Windows-Kernel-Boot,Error,33,0,,,,,The firmware update capsule ({ImageName}) failed to load with status {ImageLoadStatus}.
Microsoft-Windows-Kernel-Boot,Error,34,0,,,,,The PE/COFF image firmware update capsule ({PeImageName}) failed to load with status {PeImageLoadStatus}.
Microsoft-Windows-Kernel-Boot,Error,35,0,,,,,The Efi UpdateCapsule failed to apply updates with status {UpdateCapsuleStatus}.
Microsoft-Windows-Kernel-Boot,Information,36,0,,,,,Firmware update supported status is {UpdateSupportedStatus}. The BitLocker device flags are {DeviceFlags} and the PCR bitmap is {PcrBitmap}.
Microsoft-Windows-Kernel-Boot,Error,37,0,,,,,The firmware update capsule ({ImageName}) code integrity check failed with status {ImageLoadStatus}.
