Provider|Event ID|Channel|Message
Microsoft-Windows-ParentalControls|1|Microsoft-Windows-ParentalControls/Operational|A Setting changed inside the parental controls settings
Microsoft-Windows-ParentalControls|2|Microsoft-Windows-ParentalControls/Operational|Generated when a game is run
Microsoft-Windows-ParentalControls|3|Microsoft-Windows-ParentalControls/Operational|Generated when a URL is visited
Microsoft-Windows-ParentalControls|4|Microsoft-Windows-ParentalControls/Operational|Generated when an email is received
Microsoft-Windows-ParentalControls|5|Microsoft-Windows-ParentalControls/Operational|Generated when an email is sent
Microsoft-Windows-ParentalControls|6|Microsoft-Windows-ParentalControls/Operational|Generated when some media is played
Microsoft-Windows-ParentalControls|7|Microsoft-Windows-ParentalControls/Operational|Generated when an IM invitiation is sent
Microsoft-Windows-ParentalControls|8|Microsoft-Windows-ParentalControls/Operational|Generated when a user joins an IM conversation
Microsoft-Windows-ParentalControls|9|Microsoft-Windows-ParentalControls/Operational|Generated when a user leaves an IM conversation
Microsoft-Windows-ParentalControls|10|Microsoft-Windows-ParentalControls/Operational|Generated when a user downloads a file
Microsoft-Windows-ParentalControls|11|Microsoft-Windows-ParentalControls/Operational|Generated when one of the IM features is used, like web chat, audio
Microsoft-Windows-ParentalControls|13|Microsoft-Windows-ParentalControls/Operational|Generated by external applications that want to log parental control information
Microsoft-Windows-ParentalControls|14|Microsoft-Windows-ParentalControls/Operational|Generated when an email contact is changed
Microsoft-Windows-ParentalControls|15|Microsoft-Windows-ParentalControls/Operational|Generated when an IM contact is changed
Microsoft-Windows-ParentalControls|16|Microsoft-Windows-ParentalControls/Operational|Generated when an application is blocked from running
Microsoft-Windows-ParentalControls|17|Microsoft-Windows-ParentalControls/Operational|Generated when an application override is requested
Microsoft-Windows-ParentalControls|18|Microsoft-Windows-ParentalControls/Operational|Generated when a URL override is requested
Microsoft-Windows-ParentalControls|19|Microsoft-Windows-ParentalControls/Operational|Generated when a website is visited
Microsoft-Windows-ParentalControls|20|Microsoft-Windows-ParentalControls/Operational|Generated when an application is started, stopped or blocked
Microsoft-Windows-ParentalControls|21|Microsoft-Windows-ParentalControls/Operational|Generated when the computer is used
Microsoft-Windows-ParentalControls|22|Microsoft-Windows-ParentalControls/Operational|Generated when content is used or blocked
