Provider|Event ID|Channel|Message
Microsoft-Windows-VIRTDISK|1|Microsoft-Windows-VIRTDISK-Analytic|Opening backing store {VhdFileName} as type {VhdVirtualStorageType}.
Microsoft-Windows-VIRTDISK|2|Microsoft-Windows-VIRTDISK-Analytic|Opened backing store, returning handle {VhdHandle}, status {VhdStatus}.
Microsoft-Windows-VIRTDISK|3|Microsoft-Windows-VIRTDISK-Analytic|Attaching using handle {VhdHandle}.
Microsoft-Windows-VIRTDISK|4|Microsoft-Windows-VIRTDISK-Analytic|Attached with status {VhdStatus}.
Microsoft-Windows-VIRTDISK|5|Microsoft-Windows-VIRTDISK-Analytic|Detaching using handle {VhdHandle}.
Microsoft-Windows-VIRTDISK|6|Microsoft-Windows-VIRTDISK-Analytic|Detached with status {VhdStatus}.
Microsoft-Windows-VIRTDISK|1000|Microsoft-Windows-VIRTDISK-Analytic|{TraceData}
Microsoft-Windows-VIRTDISK|1001|Microsoft-Windows-VIRTDISK-Analytic|{TraceData}
Microsoft-Windows-VIRTDISK|1002|Microsoft-Windows-VIRTDISK-Analytic|{TraceData}
Microsoft-Windows-VIRTDISK|1003|Microsoft-Windows-VIRTDISK-Analytic|{TraceData}
