Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-Winsock-Sockets,Verbose,1,0,,SockCreate,Start,WINSOCK_API_BOUNDARY WINSOCK_SOCKET_LIFETIME,
Microsoft-Windows-Winsock-Sockets,Information,2,0,,SockCreate,Stop,WINSOCK_API_BOUNDARY WINSOCK_SOCKET_LIFETIME,
Microsoft-Windows-Winsock-Sockets,Verbose,3,0,,SockClose,Start,WINSOCK_API_BOUNDARY WINSOCK_SOCKET_LIFETIME,
Microsoft-Windows-Winsock-Sockets,Information,4,0,,SockClose,Stop,WINSOCK_API_BOUNDARY WINSOCK_SOCKET_LIFETIME,
Microsoft-Windows-Winsock-Sockets,Verbose,5,0,,SockAccept,Start,WINSOCK_API_BOUNDARY WINSOCK_SOCKET_LIFETIME,
Microsoft-Windows-Winsock-Sockets,Information,6,0,,SockAccept,Stop,WINSOCK_API_BOUNDARY WINSOCK_SOCKET_LIFETIME,
Microsoft-Windows-Winsock-Sockets,Verbose,7,0,,SockSetOpt,Start,WINSOCK_API_BOUNDARY WINSOCK_SOCKET_CONFIG,
Microsoft-Windows-Winsock-Sockets,Information,8,0,,SockSetOpt,Stop,WINSOCK_API_BOUNDARY WINSOCK_SOCKET_CONFIG,
Microsoft-Windows-Winsock-Sockets,Verbose,9,0,,SockConnect,Start,WINSOCK_API_BOUNDARY WINSOCK_SOCKET_CONFIG,
Microsoft-Windows-Winsock-Sockets,Information,10,0,,SockConnect,Stop,WINSOCK_API_BOUNDARY WINSOCK_SOCKET_CONFIG,
Microsoft-Windows-Winsock-Sockets,Verbose,11,0,,SockBind,Start,WINSOCK_API_BOUNDARY WINSOCK_SOCKET_CONFIG,
Microsoft-Windows-Winsock-Sockets,Information,12,0,,SockBind,Stop,WINSOCK_API_BOUNDARY WINSOCK_SOCKET_CONFIG,
Microsoft-Windows-Winsock-Sockets,Verbose,13,0,,SockGetOpt,Start,WINSOCK_API_BOUNDARY WINSOCK_SOCKET_CONFIG,
Microsoft-Windows-Winsock-Sockets,Information,14,0,,SockGetOpt,Stop,WINSOCK_API_BOUNDARY WINSOCK_SOCKET_CONFIG,
Microsoft-Windows-Winsock-Sockets,Verbose,15,0,,SockListen,Start,WINSOCK_API_BOUNDARY WINSOCK_SOCKET_CONFIG,
Microsoft-Windows-Winsock-Sockets,Information,16,0,,SockListen,Stop,WINSOCK_API_BOUNDARY WINSOCK_SOCKET_CONFIG,
