Provider|Event ID|Channel|Message
Microsoft-AppV-Client|1|Operational|
Microsoft-AppV-Client|2|Operational|
Microsoft-AppV-Client|3|Admin|A required component ({Item}) cannot be loaded.  Please repair your installation. {error: {Error}}
Microsoft-AppV-Client|4|Admin|The Client service could not get the list of currently logged-on users.  If users experience any issues running virtual applications, please logoff and logon again, or restart the service. {error: {Error}}
Microsoft-AppV-Client|5|Admin|The Client could not register a logged-on user.  The user will not be able to access any App-V services, including running virtual applications.  Please have the user logoff and logon again. {error: {ErrorHigh}-{ErrorLow}}
Microsoft-AppV-Client|6|Admin|The Client could not unregister a user that logged off.  If other users experience any issues logging on, please restart the Client service. {error: {ErrorHigh}-{ErrorLow}}
Microsoft-AppV-Client|7|Admin|The Client could not determine the identity of a caller on a public request, and the request was denied. {error: {Error}}
Microsoft-AppV-Client|8|Admin|The Client could not register a caller, or verify the registration status of a caller, on a public request, and the request was denied. {error: {ErrorHigh}-{ErrorLow}}
Microsoft-AppV-Client|9|Admin|A public request to the Client was initiated by a caller which granted the Client the authority for {CurrentImpersonationLevel}, whereas the Client requires at a minimum RPC_C_IMP_LEVEL_IMPERSONATE in order to satisfy a request on the caller's behalf.  The calling application will need to modify its security settings for outbound calls in order to successfully access the Client API.
Microsoft-AppV-Client|10|Admin|
Microsoft-AppV-Client|11|Admin|The Client failed to register for power notifications.  {error: {ErrorHigh}-{ErrorLow}}.
Microsoft-AppV-Client|12|Admin|The Client failed to unregister for power notifications.  {error: {ErrorHigh}-{ErrorLow}}.
Microsoft-AppV-Client|13|Operational|SLAPI check failed because of failure to read license info. {error: {Error}}
Microsoft-AppV-Client|14|Operational|
Microsoft-AppV-Client|15|Operational|
Microsoft-AppV-Client|101|Operational|IAppVClient::{Item} COM method entered.
Microsoft-AppV-Client|102|Operational|IAppVClient::{Name} COM method exited. {HResult}
Microsoft-AppV-Client|1001|Admin|Active processing could not be shut down, this may lead to delays or hangs for Client shutdown. {error: {ErrorHigh}-{ErrorLow}}
Microsoft-AppV-Client|1002|Operational|Package {Package} version {Version} was successfully configured in folder '{Folder}'.
Microsoft-AppV-Client|1003|Operational|Package {Package} version {Version} was successfully published for the user.
Microsoft-AppV-Client|1004|Operational|Package {Package} version {Version} was successfully published for all users.
Microsoft-AppV-Client|1005|Operational|Package {Package} version {Version} was unpublished for the user.
Microsoft-AppV-Client|1006|Operational|Package {Package} version {Version} was unpublished for all users.
Microsoft-AppV-Client|1007|Operational|Package {Package} version {Version} was removed.
Microsoft-AppV-Client|1008|Admin|Package {Package} version {Version} failed configuration in folder '{Folder}' with error {ErrorHigh}-{ErrorLow}.
Microsoft-AppV-Client|1009|Operational|Virtual application connection group {PackageGroup} version {Version} was successfully configured.
Microsoft-AppV-Client|1010|Admin|Virtual application connection group {PackageGroup} version {Version} failed configuration with error {ErrorHigh}-{ErrorLow}.
Microsoft-AppV-Client|1011|Operational|Virtual application connection group {PackageGroup} version {Version} was successfully published for the user.
Microsoft-AppV-Client|1012|Operational|Virtual application connection group {PackageGroup} version {Version} was successfully published for all users.
Microsoft-AppV-Client|1013|Operational|Virtual application connection group {PackageGroup} version {Version} was unpublished for the user.
Microsoft-AppV-Client|1014|Operational|Virtual application connection group {PackageGroup} version {Version} was unpublished for all users.
Microsoft-AppV-Client|1015|Operational|Virtual application connection group {PackageGroup} version {Version} was removed.
Microsoft-AppV-Client|1016|Admin|Failed to unpublish package {Package} version {Version} because the package is published as part of one or more connection groups. Unpublish all connection groups that reference this package and try again.
Microsoft-AppV-Client|1017|Admin|Failed to remove package {Package} version {Version} because the package is configured as part of one or more connection groups. Remove all connection groups that reference this package and try again.
Microsoft-AppV-Client|1018|Admin|A package could not be unpublished for the user because it is currently in use by the user.  Shut down all applications in the package, and try again.Package {Package}Version {Version}Activity #{ActivityID}
Microsoft-AppV-Client|1019|Admin|A package could not be globally unpublished because it is currently in use.  Make sure all users have shut down all applications in the package, and try again.Package {Package}Version {Version}Activity #{ActivityID}
Microsoft-AppV-Client|1020|Admin|A package could not be removed because it is currently in use.  Make sure all users have shut down all applications in the package, and try again.Package {Package}Version {Version}Activity #{ActivityID}
Microsoft-AppV-Client|1021|Admin|An app connection group could not be unpublished for the user because it is currently in use by the user.  Shut down all applications in the group, and try again.Connection Group {ConnectionGroup}Version {Version}Activity #{ActivityID}
Microsoft-AppV-Client|1022|Admin|An app connection group could not be globally unpublished because it is currently in use.  Make sure all users have shut down all applications in the group, and try again.Connection Group {ConnectionGroup}Version {Version}Activity #{ActivityID}
Microsoft-AppV-Client|1023|Admin|An app connection group could not be removed because it is currently in use.  Make sure all users have shut down all applications in the group, and try again.Connection Group {ConnectionGroup}Version {Version}Activity #{ActivityID}
Microsoft-AppV-Client|1024|Admin|The package {Package} version {Version} could not be reconfigured because it is not configured on the system.  Ensure the package ID and version ID are correct and try again.
Microsoft-AppV-Client|1025|Admin|The package {Package} version {Version} could not be configured because it can only be used with 64-bit versions of Windows.
Microsoft-AppV-Client|1026|Admin|The package {Package} version {Version} could not be configured because it is not compatible with this version of Windows.
Microsoft-AppV-Client|1027|Admin|The package {Id} version {Version} could not be configured becaused the Deployment Configuration file '{Path}' could not be found.  Ensure the path is correct and try again.
Microsoft-AppV-Client|1028|Admin|The package {Id} version {Version} could not be configured because the Deployment Configuration file '{Path}' is not valid.  Verify that the document is valid and try again.
Microsoft-AppV-Client|1029|Admin|The package {Package} version {Version} could not be configured because the Deployment Configuration file does not match the the specified package.  Ensure the GUIDs in the Deployment Configuration file match those of the package and try again.
Microsoft-AppV-Client|1030|Admin|The package {Package} version {Version} could not be configured because the user account does not have administrative privileges.
Microsoft-AppV-Client|1031|Admin|The package {Package} version {Version} could not be published globally because the user account does not have administrative privileges.
Microsoft-AppV-Client|1032|Admin|The package {Package} version {Version} could not be published because the package has not been configured on the system.  Configure the package and try again.
Microsoft-AppV-Client|1033|Admin|The package {Id} version {Version} could not be published becaused the User Configuration file '{Path}' could not be found.  Ensure the path is correct and try again.
Microsoft-AppV-Client|1034|Admin|The package {Id} version {Version} could not be published because the User Configuration file '{Path}' is not valid.  Verify that the document is valid and try again.
Microsoft-AppV-Client|1035|Admin|The package {Package} version {Version} could not be published because the User Configuration file does not match the the specified package.  Ensure the GUIDs in the User Configuration file match those of the package and try again.
Microsoft-AppV-Client|1036|Admin|The package {Package} version {Version} could not be published globally because a User Configuration file was specified.  Either publish the package for the user with the User Configuration file specified or do not supply a User Configuration.
Microsoft-AppV-Client|1037|Admin|The package {Package} version {Version} could not be unpublished globally because the user account does not have administrative privileges.
Microsoft-AppV-Client|1038|Admin|The package {Package} version {Version} could not be unpublished because it is not published to the target of the unpublish operation.
Microsoft-AppV-Client|1039|Admin|The package {Package} version {Version} could not be removed because the package is not configured on the system.
Microsoft-AppV-Client|1040|Admin|The package {Package} version {Version} could not be removed because the user account does not have administrative privileges.
Microsoft-AppV-Client|1041|Admin|The package {Package} version {Version} cannot be repaired because the package is not configured on the system.
Microsoft-AppV-Client|1042|Admin|The package {Package} version {Version} was repaired successfully, but the package is published in one or more Virtual Application Connection Groups.  Settings are associated with the group, so you may need to clear settings for the Virtual Application Connection Groups associated with this package.
Microsoft-AppV-Client|1043|Admin|The app connection group {Id} version {Version} could not be added because the app connection group file '{Path}' could not be found.  Ensure the path is correct and try again.
Microsoft-AppV-Client|1044|Admin|The app connection group {ConnectionGroup} version {GroupVersion} could not be added because the package {Package} version {PackageVersion} is not configured on the system.  Configure the package and try again.
Microsoft-AppV-Client|1045|Admin|The app connection group {Id} version {Version} could not be added because the app connection group file '{Path}' is not valid.  Verify that the document is valid and try again.
Microsoft-AppV-Client|1046|Admin|The app connection group {ConnectionGroup} version {Version} could not be added because the user account does not have administrative privileges.
Microsoft-AppV-Client|1047|Admin|The app connection group {ConnectionGroup} version {Version} could not be enabled because the app connection group has not been added on the system.  Add the app connection group and try again.
Microsoft-AppV-Client|1048|Admin|The app connection group {ConnectionGroup} version {GroupVersion} could not be enabled because the package {Package} version {PackageVersion} is not published to the target of the operation.  Publish the package and try again.
Microsoft-AppV-Client|1049|Admin|The app connection group {ConnectionGroup} version {Version} could not be enabled globally because the user account does not have administrative privileges.
Microsoft-AppV-Client|1050|Admin|The app connection group {ConnectionGroup} version {Version} could not be disabled because it is not enabled for the target of the disable operation.
Microsoft-AppV-Client|1051|Admin|The app connection group {ConnectionGroup} version {Version} could not be disabled globally because the user account does not have administrative privileges.
Microsoft-AppV-Client|1052|Admin|The app connection group {ConnectionGroup} version {Version} could not be removed because the package it has not been added on the system.
Microsoft-AppV-Client|1053|Admin|The app connection group {ConnectionGroup} version {Version} could not be removed because the user account does not have administrative privileges.
Microsoft-AppV-Client|1054|Admin|The app connection group {ConnectionGroup} version {Version} cannot be repaired because the app connection group has not been added on the system.
Microsoft-AppV-Client|1055|Operational|A package could not be unpublished for the user because it is currently in use by the user.  The package will be unpublished at a later time.Package {Package}Version {Version}Activity #{ActivityID}
Microsoft-AppV-Client|1056|Operational|A package could not be globally unpublished because it is currently in use.  The package will be unpublished at a later time.Package {Package}Version {Version}Activity #{ActivityID}
Microsoft-AppV-Client|1057|Admin|The package {Package} version {Version} was detected to have a pending global Unpublish task. The App-V Client cannot start the virtual environment. Please close all running applications in the package or stop the package.
Microsoft-AppV-Client|1058|Admin|The app connection group {Package} version {Version} was detected to have a pending global Unpublish task. The App-V Client cannot start the virtual environment. Please close all running applications in the app connection group or stop the app connection group.
Microsoft-AppV-Client|1059|Admin|The package {Package} version {Version} was detected to have a pending user Unpublish task. The App-V Client cannot start the virtual environment. Please close all running applications in the package or stop the package.
Microsoft-AppV-Client|1060|Admin|The app connection group {Package} version {Version} was detected to have a pending user Unpublish task. The App-V Client cannot start the virtual environment. Please close all running applications in the app connection group or stop the app connection group.
Microsoft-AppV-Client|1061|Operational|A connection group could not be unpublished for the user because it is currently in use by the user.  The connection group will be unpublished at a later time.Connection Group {Package}Version {Version}Activity #{ActivityID}
Microsoft-AppV-Client|1062|Operational|A connection group could not be globally unpublished because it is currently in use.  The connection group will be unpublished at a later time.Connection Group {Package}Version {Version}Activity #{ActivityID}
Microsoft-AppV-Client|1063|Admin|A package could not be published for the user because it is currently in use by the user.  Shut down all applications in the package, and try again.Package {Package}Version {Version}Activity #{ActivityID}
Microsoft-AppV-Client|1064|Admin|A package could not be globally published because it is currently in use.  Make sure all users have shut down all applications in the package, and try again.Package {Package}Version {Version}Activity #{ActivityID}
Microsoft-AppV-Client|1065|Admin|An app connection group could not be published for the user because it is currently in use by the user.  Shut down all applications in the group, and try again.Connection Group {ConnectionGroup}Version {Version}Activity #{ActivityID}
Microsoft-AppV-Client|1066|Admin|An app connection group could not be globally published because it is currently in use.  Make sure all users have shut down all applications in the group, and try again.Connection Group {ConnectionGroup}Version {Version}Activity #{ActivityID}
Microsoft-AppV-Client|1067|Operational|A package could not be published for the user because it is currently in use by the user.  The package will be published at a later time.Package {Package}Version {Version}Activity #{ActivityID}
Microsoft-AppV-Client|1068|Operational|A package could not be globally published because it is currently in use.  The package will be published at a later time.Package {Package}Version {Version}Activity #{ActivityID}
Microsoft-AppV-Client|1069|Operational|A connection group could not be published for the user because it is currently in use by the user.  The connection group will be published at a later time.Connection Group {Package}Version {Version}Activity #{ActivityID}
Microsoft-AppV-Client|1070|Operational|A connection group could not be globally published because it is currently in use.  The connection group will be published at a later time.Connection Group {Package}Version {Version}Activity #{ActivityID}
Microsoft-AppV-Client|1071|Admin|The package {Package} version {Version} was detected to have an upgrading task. The App-V Client cannot start the virtual environment. Please try again in several minutes once the update is complete.
Microsoft-AppV-Client|1072|Admin|The application connection group {Package} version {Version} was detected to have an upgrading task. The App-V Client cannot start the virtual environment. Please try again in several minutes once the update is complete.
Microsoft-AppV-Client|1073|Admin|The pending publish operation for package {Package} version {Version} was not performed because network connectivity is not available.
Microsoft-AppV-Client|1074|Admin|The package {Package} version {Version} was detected to have a pending publish or unpublish operation. The App-V Client cannot remove the package. Pending user operations are processed at logon, and pending global operations are processed at startup. Please try again when any related pending operations are complete. Activity #{ActivityID}
Microsoft-AppV-Client|1075|Admin|The app connection group {ConnectionGroup} version {Version} was detected to have a pending task. The App-V Client cannot remove the app connection group. Pending user operations are processed at logon, and pending global operations are processed at startup. Please try again when any related pending operations are complete. Activity #{ActivityID}
Microsoft-AppV-Client|1076|Admin|The UserSID value {StringParam} is not valid. Please ensure it is a valid SID and that the associated user is logged in when you run the cmdlet. {error: {ErrorHigh}-{ErrorLow}}
Microsoft-AppV-Client|1077|Admin|While publishing package {Package} version {Version} an error occurred when obtaining the integration settings for each of the connection groups that the package belongs to {error {ErrorHigh} - {ErrorLow}}.The package has not been published.
Microsoft-AppV-Client|1078|Admin|Package {PackageId} version {PackageVersion} was user published while belonging to globally published Connection Group {GroupId} version {GroupVersion}.Therefore, although the package will be published to the user, it will not be assocated with the Connection Group until it is also published globally.
Microsoft-AppV-Client|1079|Admin|The App-V driver mappings were not successfully updated when Package {Package} version {Version} was added (error: {ErrorHigh}-{ErrorLow}).Connection Groups containing this package may not work correctly.
Microsoft-AppV-Client|1080|Admin|The App-V driver mappings were not successfully updated when Package {Package} version {Version} was removed (error: {ErrorHigh}-{ErrorLow}).Connection Groups previously containing this package may not work correctly.
Microsoft-AppV-Client|1082|Admin|The App-V driver mappings were not successfully updated when Package {Package} version {Version} was published (error: {ErrorHigh}-{ErrorLow}).Connection Groups previously containing this package may not work correctly.
Microsoft-AppV-Client|1083|Admin|The App-V driver mappings were not successfully updated when Package {Package} version {Version} was unpublished (error: {ErrorHigh}-{ErrorLow}).Connection Groups previously containing this package may not work correctly.
Microsoft-AppV-Client|2001|Admin|Failed to move Catalog folder ‘{LastFolder}’ to new required location ‘{ReqFolder}’. {error: {Error}}
Microsoft-AppV-Client|2002|Admin|Catalog folder ‘{LastFolder}’ was migrated to new required location ‘{ReqFolder}’, but the old location could not be removed.  The Catalog will be used from the new location. {error: {Error}}
Microsoft-AppV-Client|2003|Admin|Catalog folder ‘{LastFolder}’ was migrated to new required location ‘{ReqFolder}’, but the new location previously existed.
Microsoft-AppV-Client|2004|Admin|Failed due to could not get catalog folder. {error: {ErrorHigh}-{ErrorLow}}
