Provider|Event ID|Channel|Message
Microsoft-Windows-MSDTC Client 2|1073745921||Failed to clean up the default DTC cluster resource setting. The default DTC cluster resource setting might be invalid. The error code returned: {param1}
Microsoft-Windows-MSDTC Client 2|1073745922||Contact = {param1} was deleted successfully. Attempt to copy the new contact = {param2} over it failed. The DTC configuration may be corrupted. The operation that failed must be retried. The error code returned: {param3}
Microsoft-Windows-MSDTC Client 2|1073745923||Failed to create DTC cluster resource. DTC cluster resource GUID specified = {param1}. The error code returned: {param2}
Microsoft-Windows-MSDTC Client 2|1073745924||Attempt to find the drive letter or Volume Guid corresponding to the cluster DTC's dependent disk resource has failed. If the dependent disk resource does not support Volume Guid information, please configure at least one dependent disk partition with a drive letter. The error code returned: {param1}
Microsoft-Windows-MSDTC Client 2|1073745925||Attempting to change the DTC cluster resource's log file path to {param1} has failed. Please verify if log path is configured to a valid dependent disk partition. The error code returned: {param2}
Microsoft-Windows-MSDTC Client 2|1073745926||Application specified a cluster resource ID: {param1}, but no DTC cluster resource could be returned. Instead, the local DTC instance was returned
Microsoft-Windows-MSDTC Client 2|1073745927||Service: {param1} is still running. Attempt to cleanup the service has failed
Microsoft-Windows-MSDTC Client 2|1073745928||Failed trying to get the state of the cluster node: {param1}.The error code returned: {param2}
Microsoft-Windows-MSDTC Client 2|1073746174||Cluster API call failed with error code: {param1}. Cluster API function: {param2} Arguments: {param3}
Microsoft-Windows-MSDTC Client 2|2147488520||A caller has attempted to register an XA resource while XA transactions are disabled. Please review the MSDTC configuration settings.
Microsoft-Windows-MSDTC Client 2|2147488521||An XA transaction manager has attempted to open the MSDTC XA resource while XA transactions are disabled. Please review the MSDTC configuration settings.
Microsoft-Windows-MSDTC Client 2|2147488522||A caller has attempted to propagate a transaction to a remote system, but MSDTC network DTC access is currently disabled on machine '{param1}'. Please review the MS DTC configuration settings.
Microsoft-Windows-MSDTC Client 2|2147488523||A caller has attempted to import a transaction from a remote system, but MSDTC is currently configured to disallow inbound transaction manager communication on machine '{param1}'. Please review the MS DTC configuration settings.
Microsoft-Windows-MSDTC Client 2|2147488524||A caller has attempted to export a transaction to a remote system, but MSDTC is currently configured to disallow outbound transaction manager communication on machine '{param1}'. Please review the MS DTC configuration settings.
Microsoft-Windows-MSDTC Client 2|2147488526||MSDTC encountered an error (HR=0x{param1}) while attempting to authenticate an incoming connection from system '{param2}'. The principal name is {param3}.
Microsoft-Windows-MSDTC Client 2|2147488527||MSDTC encountered an error (HR=0x{param1}) while attempting to establish a secure connection with system {param2}.
Microsoft-Windows-MSDTC Client 2|2147488529||A caller has attempted to connect to a remote MSDTC on machine '{param1}'.  The attempt failed because the remote machine is configured to disallow remote clients.
