Provider|Event ID|Channel|Message
Microsoft-Windows-ManagementTools-TaskManagerProvider|1000|Operational|Provider load start: {arg0}.
Microsoft-Windows-ManagementTools-TaskManagerProvider|1001|Operational|Provider load stop: {arg0}.
Microsoft-Windows-ManagementTools-TaskManagerProvider|1002|Operational|Provider load error: {arg0}.
Microsoft-Windows-ManagementTools-TaskManagerProvider|1003|Operational|Provider unload start: {arg0}.
Microsoft-Windows-ManagementTools-TaskManagerProvider|1004|Operational|Provider unload stop: {arg0}.
Microsoft-Windows-ManagementTools-TaskManagerProvider|1005|Operational|Provider unload error: {arg0}.
Microsoft-Windows-ManagementTools-TaskManagerProvider|1100|Analytic|Start SetIntervalSeconds method: {arg0}.
Microsoft-Windows-ManagementTools-TaskManagerProvider|1101|Analytic|Stop SetIntervalSeconds method: {arg0}.
Microsoft-Windows-ManagementTools-TaskManagerProvider|1102|Operational|Error SetIntervalSeconds: {arg1}, {arg0}
Microsoft-Windows-ManagementTools-TaskManagerProvider|1103|Analytic|
Microsoft-Windows-ManagementTools-TaskManagerProvider|1104|Analytic|
Microsoft-Windows-ManagementTools-TaskManagerProvider|1105|Operational|Error force refresh data: {arg1}, {arg0}
Microsoft-Windows-ManagementTools-TaskManagerProvider|1106|Analytic|
Microsoft-Windows-ManagementTools-TaskManagerProvider|1107|Analytic|
Microsoft-Windows-ManagementTools-TaskManagerProvider|1108|Operational|Error Enumerate MSFT_MTTaskManager instances: {arg1}, {arg0}
Microsoft-Windows-ManagementTools-TaskManagerProvider|1109|Analytic|
Microsoft-Windows-ManagementTools-TaskManagerProvider|1110|Analytic|
Microsoft-Windows-ManagementTools-TaskManagerProvider|1111|Operational|Error Enumerate MSFT_MTProcess instances: {arg1}, {arg0}
Microsoft-Windows-ManagementTools-TaskManagerProvider|1112|Analytic|
Microsoft-Windows-ManagementTools-TaskManagerProvider|1113|Analytic|
Microsoft-Windows-ManagementTools-TaskManagerProvider|1114|Operational|Error Enumerate MSFT_MTProcessorSummary instances: {arg1}, {arg0}
Microsoft-Windows-ManagementTools-TaskManagerProvider|1115|Analytic|
Microsoft-Windows-ManagementTools-TaskManagerProvider|1116|Analytic|
Microsoft-Windows-ManagementTools-TaskManagerProvider|1117|Operational|Error Enumerate MSFT_MTLogicalProcessor instances: {arg1}, {arg0}
Microsoft-Windows-ManagementTools-TaskManagerProvider|1118|Analytic|
Microsoft-Windows-ManagementTools-TaskManagerProvider|1119|Analytic|
Microsoft-Windows-ManagementTools-TaskManagerProvider|1120|Operational|Error Enumerate MSFT_MTMemorySummary instances: {arg1}, {arg0}
Microsoft-Windows-ManagementTools-TaskManagerProvider|1121|Analytic|
Microsoft-Windows-ManagementTools-TaskManagerProvider|1122|Analytic|
Microsoft-Windows-ManagementTools-TaskManagerProvider|1123|Operational|Error Enumerate MSFT_MTDisk instances: {arg1}, {arg0}
Microsoft-Windows-ManagementTools-TaskManagerProvider|1124|Analytic|
Microsoft-Windows-ManagementTools-TaskManagerProvider|1125|Analytic|
Microsoft-Windows-ManagementTools-TaskManagerProvider|1126|Operational|Error Enumerate MSFT_MTNetworkAdapter instances: {arg1}, {arg0}
Microsoft-Windows-ManagementTools-TaskManagerProvider|1200|Operational|Error initialized data collection: {arg1}, {arg0}
Microsoft-Windows-ManagementTools-TaskManagerProvider|1201|Operational|Error collect data: {arg1}, {arg0}
Microsoft-Windows-ManagementTools-TaskManagerProvider|1202|Analytic|
Microsoft-Windows-ManagementTools-TaskManagerProvider|1203|Analytic|
Microsoft-Windows-ManagementTools-TaskManagerProvider|1204|Debug|Start collect data: {arg0}.
Microsoft-Windows-ManagementTools-TaskManagerProvider|1205|Debug|Stop collect data: {arg0}.
Microsoft-Windows-ManagementTools-TaskManagerProvider|1300|Analytic|Start Delete Process instance: {arg0}.
Microsoft-Windows-ManagementTools-TaskManagerProvider|1301|Analytic|Stop Delete Process instance: {arg0}.
Microsoft-Windows-ManagementTools-TaskManagerProvider|1302|Operational|Error Delete MSFT_MTProcess instance: {arg1}, {arg0}
Microsoft-Windows-ManagementTools-TaskManagerProvider|1303|Analytic|Start creating process dump: {arg0}.
Microsoft-Windows-ManagementTools-TaskManagerProvider|1304|Analytic|Stop creating process dump: {arg0}.
Microsoft-Windows-ManagementTools-TaskManagerProvider|1305|Operational|Error creating process dump: {arg1}, {arg0}
Microsoft-Windows-ManagementTools-TaskManagerProvider|1306|Analytic|Start creating process: {arg0}.
Microsoft-Windows-ManagementTools-TaskManagerProvider|1307|Analytic|Stop creating process: {arg0}.
Microsoft-Windows-ManagementTools-TaskManagerProvider|1308|Operational|Error creating process: {arg1}, {arg0}
Microsoft-Windows-ManagementTools-TaskManagerProvider|1309|Operational|No path or executable specified: {arg0}.
Microsoft-Windows-ManagementTools-TaskManagerProvider|1400|Debug|Process update statistics: PID:{PID}, Index:{Index}, Duration:{Duration}, CycleDuration:{CycleDuration}, Total:{Total}, CyclesTotal:{CyclesTotal}, CpuCount:{CpuCount}, OldCpuTime:{OldCpuTime}, OldCycleTime:{OldCycleTime}, OldWorkingSet:{PID}0, OldPageFaults:{PID}1, NewUserTime:{PID}2, NewKernelTime:{PID}3, NewWorkingSet:{PID}4, NewPageFaults:{PID}5, NewCycleTime:{PID}6.
Microsoft-Windows-ManagementTools-TaskManagerProvider|1401|Analytic|Failed to open handle for process ID {arg0}.
