Provider|Level|Event ID|Version|Channel|Task|Opcode|Keyword|Message
Microsoft-Windows-TPM-WMI|Information|513|0|System||||
Microsoft-Windows-TPM-WMI|Warning|514|0|System||||Failed to backup TPM Owner Authorization information to Active Directory Domain Services.Errorcode: {ErrorCode}Check that your computer is connected to the domain.  If your computer is connected to the domain, have your Domain Administrator check that the Active Directory schema is appropriate for backup of Windows 8 TPM Owner Authorization information and that the current Computer object has write permission to the TPM object.  Installations of Windows Server 2008 R2 or before need a schema extension in order to be ready for backup of Windows 8 TPM Owner Authorization information.  Consult online documentation for more information about setting up Active Directory Domain Services for TPM.
Microsoft-Windows-TPM-WMI|Information|769|0|System||||TPM Owner Authorization configuration changed from '{Old OS Managed Auth Level}' to '{New OS Managed Auth Level}'.
Microsoft-Windows-TPM-WMI|Information|1025|0|System||||
Microsoft-Windows-TPM-WMI|Information|1026|0|System||||The Trusted Platform Module (TPM) hardware on this computer cannot be provisioned for use automatically.  To set up the TPM interactively use the TPM management console (Start->tpm.msc) and use the action to make the TPM ready.Error: {Error Code}Additional Information: {Status Information}
Microsoft-Windows-TPM-WMI|Information|1027|0|System||||
Microsoft-Windows-TPM-WMI|Information|1028|0|System||||
Microsoft-Windows-TPM-WMI|Information|1029|0|System||||The triggering of the NGC key generation task failed.
Microsoft-Windows-TPM-WMI|Information|1030|0|System||||
Microsoft-Windows-TPM-WMI|Information|1031|0|System||||The triggering of the NGC certificate enrollment task failed.
Microsoft-Windows-TPM-WMI|Information|1281|0|System||||
Microsoft-Windows-TPM-WMI|Information|1282|0|System||||
Microsoft-Windows-TPM-WMI|Information|1537|0|System||||The Device Health Certificate was successfully provisioned from {Health Attestation Server}.
Microsoft-Windows-TPM-WMI|Warning|1538|0|System||||The Device Health Certificate provisioning could not connect to {Health Attestation Server}. {HResult}
Microsoft-Windows-TPM-WMI|Warning|1539|0|System||||The Device Health Certificate could not be provisioned from {Health Attestation Server}. HTTP status code {HTTP Status}: {Server Response}
Microsoft-Windows-TPM-WMI|Information|1793|0|System||||
Microsoft-Windows-TPM-WMI|Error|1794|0|System||||
