Provider|Event ID|Channel|Message
Microsoft-Windows-UxInit|1|Microsoft-Windows-UxInit/Diagnostic|
Microsoft-Windows-UxInit|2|Microsoft-Windows-UxInit/Diagnostic|
Microsoft-Windows-UxInit|3|Microsoft-Windows-UxInit/Diagnostic|
Microsoft-Windows-UxInit|4|Microsoft-Windows-UxInit/Diagnostic|
Microsoft-Windows-UxInit|5|Microsoft-Windows-UxInit/Diagnostic|
Microsoft-Windows-UxInit|6|Microsoft-Windows-UxInit/Diagnostic|
Microsoft-Windows-UxInit|7|Microsoft-Windows-UxInit/Diagnostic|
Microsoft-Windows-UxInit|8|Microsoft-Windows-UxInit/Diagnostic|
Microsoft-Windows-UxInit|9|Microsoft-Windows-UxInit/Diagnostic|
Microsoft-Windows-UxInit|10|Microsoft-Windows-UxInit/Diagnostic|
Microsoft-Windows-UxInit|11|Microsoft-Windows-UxInit/Diagnostic|
