Provider|Level|Event ID|Version|Channel|Task|Opcode|Keyword|Message
Microsoft-Windows-FileServices-ServerManager-EventProvider|Error|0|0|Operational|Trace||General|Exception: {message}
Microsoft-Windows-FileServices-ServerManager-EventProvider|Error|1|0|Operational|Trace||General|Error: {message}
Microsoft-Windows-FileServices-ServerManager-EventProvider|Warning|2|0|Operational|Trace||General|Warning: {message}
Microsoft-Windows-FileServices-ServerManager-EventProvider|Information|3|0|Debug|Trace||General|Information: {message}
Microsoft-Windows-FileServices-ServerManager-EventProvider|Verbose|4|0|Debug|Trace||General|Verbose: {message}
Microsoft-Windows-FileServices-ServerManager-EventProvider|Verbose|5|0|Debug|Trace||General|Entered function scope: {message}
Microsoft-Windows-FileServices-ServerManager-EventProvider|Verbose|6|0|Debug|Trace||General|Exited function scope: {message}
Microsoft-Windows-FileServices-ServerManager-EventProvider|Verbose|7|0|Debug|Trace||General|In finalizer: {message}
Microsoft-Windows-FileServices-ServerManager-EventProvider|Information|10|0|Operational|Refresh||General|
Microsoft-Windows-FileServices-ServerManager-EventProvider|Verbose|101|0|Operational|Provider enumerating objects||General|Provider Enumeration Task Start Time. Provider: {message}
Microsoft-Windows-FileServices-ServerManager-EventProvider|Verbose|102|0|Operational|Provider enumerating objects||General|Provider Enumeration Task Complete Time. Provider: {message}
Microsoft-Windows-FileServices-ServerManager-EventProvider|Verbose|2001|0|Operational|Refresh||Share|Shares Canvas Share Tile load starting. Time: {message}
Microsoft-Windows-FileServices-ServerManager-EventProvider|Verbose|2002|0|Operational|Refresh||Share|Shares Canvas Share Tile load completed. Time: {message}
Microsoft-Windows-FileServices-ServerManager-EventProvider|Verbose|4001|0|Operational|Refresh||Storage|Volumes Canvas Volume Tile load starting. Time: {message}
Microsoft-Windows-FileServices-ServerManager-EventProvider|Verbose|4002|0|Operational|Refresh||Storage|Volumes Canvas Volume Tile load completed. Time: {message}
Microsoft-Windows-FileServices-ServerManager-EventProvider|Verbose|4003|0|Operational|Refresh||Storage|Pools Canvas Pool Tile load starting. Time: {message}
Microsoft-Windows-FileServices-ServerManager-EventProvider|Verbose|4004|0|Operational|Refresh||Storage|Pools Canvas Pool Tile load completed. Time: {message}
Microsoft-Windows-FileServices-ServerManager-EventProvider|Information|6000|0|Operational|Property page applying settings||iSCSI|Applying iSCSI VHD property page settings started. Object ID: {objectId}
Microsoft-Windows-FileServices-ServerManager-EventProvider|Verbose|6001|0|Operational|Refresh||iSCSI|iSCSI Canvas Vhds Tile load starting. Time: {message}
Microsoft-Windows-FileServices-ServerManager-EventProvider|Verbose|6002|0|Operational|Refresh||iSCSI|iSCSI Canvas Vhds Tile load completed. Time: {message}
Microsoft-Windows-FileServices-ServerManager-EventProvider|Information|6003|0|Operational|Property page applying settings||iSCSI|Applying iSCSI VHD property page settings succeeded. Object ID: {objectId}
Microsoft-Windows-FileServices-ServerManager-EventProvider|Information|6004|0|Operational|Property page applying settings||iSCSI|Applying iSCSI VHD property page settings failed. Object ID: {objectId}. Error message: {message}
Microsoft-Windows-FileServices-ServerManager-EventProvider|Information|6005|0|Operational|Property page applying settings||iSCSI|Applying iSCSI Target property page settings started. Object ID: {objectId}
Microsoft-Windows-FileServices-ServerManager-EventProvider|Information|6006|0|Operational|Property page applying settings||iSCSI|Applying iSCSI Target property page settings succeeded. Object ID: {objectId}
Microsoft-Windows-FileServices-ServerManager-EventProvider|Information|6007|0|Operational|Property page applying settings||iSCSI|Applying iSCSI Target property page settings failed. Object ID: {objectId}. Error message: {message}
