Provider|Level|Event ID|Version|Channel|Task|Opcode|Keyword|Message
Microsoft-Windows-USB-USBHUB|Information|1|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub|Add|Diagnostics|USB Hub Added
Microsoft-Windows-USB-USBHUB|Information|2|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub|Remove|Diagnostics|USB Hub Removed
Microsoft-Windows-USB-USBHUB|Information|3|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub|Information|Diagnostics|USB Hub Information
Microsoft-Windows-USB-USBHUB|Information|10|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Enumerate|Start|Diagnostics|Start Enumeration of Port
Microsoft-Windows-USB-USBHUB|Error|11|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Enumerate|Error|Diagnostics|Enumeration Port Debounce Failed
Microsoft-Windows-USB-USBHUB|Error|12|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Enumerate|Error|Diagnostics|Create PDO Failed
Microsoft-Windows-USB-USBHUB|Error|13|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Enumerate|Error|Diagnostics|IoCreateDevice Failed
Microsoft-Windows-USB-USBHUB|Error|14|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Enumerate|Error|Diagnostics|Create PnP ID Failed
Microsoft-Windows-USB-USBHUB|Error|15|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Enumerate|Information|Diagnostics|Enumeration Port Reset Failure
Microsoft-Windows-USB-USBHUB|Error|16|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Enumerate|Error|Diagnostics|Port Enabled but not Connected After First Reset
Microsoft-Windows-USB-USBHUB|Information|17|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Enumerate|Error|Diagnostics|First Enumeration Port Reset Timed Out
Microsoft-Windows-USB-USBHUB|Error|18|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Enumerate|Error|Diagnostics|Create Device Failed
Microsoft-Windows-USB-USBHUB|Error|19|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Enumerate|Error|Diagnostics|Initialize Device Failed
Microsoft-Windows-USB-USBHUB|Error|20|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Enumerate|Error|Diagnostics|Get Descriptors Request Failed
Microsoft-Windows-USB-USBHUB|Information|21|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Enumerate|Start|Diagnostics|Valdiation of USB Configuration Descriptor Failed
Microsoft-Windows-USB-USBHUB|Error|22|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Enumerate|Error|Diagnostics|Validation of USB Device Descriptor Failed
Microsoft-Windows-USB-USBHUB|Error|23|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Enumerate|Error|Diagnostics|Request for Microsoft OS Descriptor Failed
Microsoft-Windows-USB-USBHUB|Error|24|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Enumerate|Error|Diagnostics|Request for Serial Number String Descriptor Failed
Microsoft-Windows-USB-USBHUB|Error|25|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Enumerate|Error|Diagnostics|Build PnP ID failed
Microsoft-Windows-USB-USBHUB|Error|26|0||USB Hub Enumerate|Error|Diagnostics|Duplicate Serial Number Detected
Microsoft-Windows-USB-USBHUB|Error|27|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Enumerate|Error|Diagnostics|Enumeration Timed Out Waiting for Previous Instance of USB Device to be Removed
Microsoft-Windows-USB-USBHUB|Error|28|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Enumerate|Error|Diagnostics|Enumeration Failed Due to Registry Failure
Microsoft-Windows-USB-USBHUB|Information|29|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Enumerate|Information|Diagnostics|Retrying Enumeration of Port
Microsoft-Windows-USB-USBHUB|Critical|30|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Enumerate|Error|Diagnostics|Hub Disconnected During Enumeration of Port
Microsoft-Windows-USB-USBHUB|Information|31|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Enumerate|Information|Diagnostics|Enumeration Debounce Completed
Microsoft-Windows-USB-USBHUB|Information|32|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Enumerate|Information|Diagnostics|PDO Created for Enumeration
Microsoft-Windows-USB-USBHUB|Information|33|0|Microsoft-Windows-USB-USBHUB/Diagnostic|USB Hub Enumerate|Information|Diagnostics|First Enumeration Port Reset Complete
