Provider|Event ID|Channel|Message
LsaSrv|100|Operational|The security package does not cache the credentials needed to authenticate to the server.Package Name:	{PackageName}User Name:	{UserName}Domain Name:	{DomainName}Server Name:	{ServerName}Protected User:	{ProtectedUser}Error Code:	{ErrorCode}
LsaSrv|200|Operational|A security package received a network logon request after the logoff completed.User Name:	{UserName}Domain Name:	{DomainName}Logon ID:	{LogonId}Logoff Time:	{LogoffTime}PID:	{PID}Program:	{Program}Principal Name:	{PrincipalName}Server Name:	{ServerName}Package Name:	{PackageName}Call Type:	{UserName}0Error Code:	{UserName}1
LsaSrv|302|Operational|User {UserSid} logged off notification is received.LogonId:	{LogonId}AuthorityName:	{AuthorityName}AccountName:	{AccountName}Timeout:	{Elapse} seconds
LsaSrv|303|Operational|The security package does not cache the user's sign on credentials.Package Name:	{PackageName}User Name:	{UserName}Domain Name:	{DomainName}Protected User:	{ProtectedUser}
LsaSrv|5000|System|The security package {Package} generated an exception. The exception information is the data.
LsaSrv|6025|System|Could not upgrade the Trusted domain object for domain {Domain}. Please recreate the trust manually.
LsaSrv|6027|System|Could not upgrade the global secret {Secret}. Please check the status of all services in the system.
LsaSrv|6029|System|LSA could not update domain information in the registry to match the DS. Error={Error}.
LsaSrv|6031|System|The database contains invalid information for trusted domain {Domain}.
LsaSrv|6033|System|An anonymous session connected from {Client} has attempted to open an LSA policy handle on this machine. The attempt was rejected with STATUS_ACCESS_DENIED to prevent leaking security sensitive information to the anonymous caller. The application that made this attempt needs to be fixed. Please contact the application vendor. As a temporary workaround, this security measure can be disabled by setting the \HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\TurnOffAnonymousBlock DWORD value to 1. This message will be logged at most once a day.
LsaSrv|6034|System|The new top level name, {TopLevelName}, has been added to the forest {Forestname}. Name suffix routing for this new name is disabled because it is not within any currently routed namespace. Objects can not be resolved from this new namespace until name suffix routing is enabled for the namespace. To enable name suffix routing, open Domains and Trusts and see help under Name Suffix Routing and Forest Trusts.
LsaSrv|6035|System|During a logon attempt, the user's security context accumulated too many security IDs. This is a very unusual situation. Remove the user from some global or local groups to reduce the number of security IDs to incorporate into the security context.User's SID is {SID}If this is the Administrator account, logging on in safe mode will enable Administrator to log on by automatically restricting group memberships.
