Provider|Event ID|Channel|Message
Microsoft-Windows-Application-Experience|100|Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant|The Program Compatibility Assistant was invoked to correct a compatibility problem. Information about the application is below.Application name: {ApplicationName}Application version: {ApplicationVersion}Executable path: {ExecutablePath}Scenario ID: {ScenarioId}User action: {UserAction}User action ID: {UserActionID}Compatibility layer: {CompatibilityLayer}FileID: {FileID}ProgramID: {ProgramID}
Microsoft-Windows-Application-Experience|101|Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant|The Program Compatibility Assistant was invoked to correct a compatibility problem. Information about the application is below.Application name: {ApplicationName}Application version: {ApplicationVersion}Executable path: {ExecutablePath}Scenario ID: {ScenarioId}User action: {UserAction}User action ID: {UserActionID}Compatibility layer: {CompatibilityLayer}Deprecated component: {DeprecatedComponent}FileID: {FileID}ProgramID: {ApplicationName}0
Microsoft-Windows-Application-Experience|102|Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant|The Program Compatibility Assistant was invoked due to an unsigned driver install. This version of Windows requires all drivers to have a valid digital signature. Information about the driver is below.Driver: {DriverName}Service: {ServiceName}Publisher: {PublisherName}Location: {DriverPath}Version: {DriverVersion}This driver is unavailable and the program that uses this driver might not work correctly.
Microsoft-Windows-Application-Experience|103|Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant|The Program Compatibility Assistant was not invoked because the application has been already handled previously. Information about the application is below.Application name: {ApplicationName}Application version: {ApplicationVersion}Executable path: {ExecutablePath}Scenario ID: {ScenarioId}User action: {UserAction}Compatibility layer: {UserActionID}
Microsoft-Windows-Application-Experience|104|Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant|The Program Compatibility Assistant was not invoked as the application executed correctly. Information about the application is below.Application name: {ApplicationName}Application version: {ApplicationVersion}Executable path: {ExecutablePath}Scenario ID: {ScenarioId}User action: {UserAction}Compatibility layer: {UserActionID}
Microsoft-Windows-Application-Experience|200|System|
Microsoft-Windows-Application-Experience|201|System|
Microsoft-Windows-Application-Experience|202|System|
Microsoft-Windows-Application-Experience|203|System|
Microsoft-Windows-Application-Experience|204|System|
Microsoft-Windows-Application-Experience|205|System|
Microsoft-Windows-Application-Experience|206|System|
Microsoft-Windows-Application-Experience|207|Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant|The Program Compatibility Assistant was requested to monitor {ExecutablePath}, but ignored the request because the application is excluded in the registry.
Microsoft-Windows-Application-Experience|208|Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant|The Program Compatibility Assistant was requested to monitor {ExecutablePath}, but ignored the request because of the extension of the executable.
Microsoft-Windows-Application-Experience|209|Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant|The Program Compatibility Assistant was requested to monitor {ExecutablePath}, but ignored the request because the executable has a UAC manifest.
Microsoft-Windows-Application-Experience|210|Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant|The Program Compatibility Assistant was requested to monitor {ExecutablePath}, but ignored the request because the application has a compatibility fix applied to it.
Microsoft-Windows-Application-Experience|211|Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant|The Program Compatibility Assistant was requested to monitor {ExecutablePath}, but ignored the request because the application depends on the Windows Installer service (MSI).
Microsoft-Windows-Application-Experience|212|Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant|The Program Compatibility Assistant was requested to monitor {ExecutablePath}, but ignored the request because the executable has a current SwitchBack context.
Microsoft-Windows-Application-Experience|300|Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant|The Program Compatibility Assistant was requested to monitor {ExecutablePath}, but ignored the request because the PCA is disabled by group policy.
Microsoft-Windows-Application-Experience|301|Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant|The Program Compatibility Assistant was requested to monitor {ExecutablePath}, but ignored the request because the application already exists within a job object.
Microsoft-Windows-Application-Experience|302|Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant|The Program Compatibility Assistant was requested to monitor {ExecutablePath}, but ignored the request because the application is a 64-bit application.
Microsoft-Windows-Application-Experience|303|Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant|The Program Compatibility Assistant was requested to monitor {ExecutablePath}, but ignored the request because the application is on a network path.
Microsoft-Windows-Application-Experience|304|Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant|The Program Compatibility Assistant was requested to monitor {ExecutablePath}, but ignored the request because the application compatibility infrastructure is disabled.
