Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-DNS-Client,Information,1000,0,Microsoft-Windows-DNS Client Events/Operational,DnsNoServerConfigV4,,,There are currently no IPv4 DNS servers configured for any interface on this host. Please configure DNS server settings; or renew your dynamic IP settings.
Microsoft-Windows-DNS-Client,Information,1001,0,Microsoft-Windows-DNS Client Events/Operational,DnsServerForInterface,,,Interface: {Interface} Total DNS Server Count: {TotalServerCount} Index: {Index} Address: {Address} ({DynamicAddress})
Microsoft-Windows-DNS-Client,Information,1002,0,Microsoft-Windows-DNS Client Events/Operational,DnsServerQueryChange,,,The DNS server being queried for interface {Interface} has changed to {Address}
Microsoft-Windows-DNS-Client,Information,1003,0,Microsoft-Windows-DNS Client Events/Operational,DnsServerValidationSuccess,,,The following DNS server(s) were successfully validated as active servers that can service this client. {Address}
Microsoft-Windows-DNS-Client,Information,1004,0,System,DnsServerValidationSuccessSystem,,,The following DNS server(s) were successfully validated as active servers that can service this client. {Address}
Microsoft-Windows-DNS-Client,Error,1005,0,Microsoft-Windows-DNS Client Events/Operational,DnsServerValidationFailure,,,The client was unable to validate the following as active DNS server(s) that can service this client. The server(s) may be temporarily unavailable; or may be incorrectly configured. {Address}
Microsoft-Windows-DNS-Client,Warning,1006,0,System,DnsServerValidationFailureSystem,,,The client was unable to validate the following as active DNS server(s) that can service this client. The server(s) may be temporarily unavailable; or may be incorrectly configured. {Address}
Microsoft-Windows-DNS-Client,Error,1007,0,Microsoft-Windows-DNS Client Events/Operational,DnsMissingPrimarySuffix,,,The primary DNS suffix for this machine is missing. In the absence of a primary DNS suffix; short unqualified names may not resolve through DNS
Microsoft-Windows-DNS-Client,Warning,1008,0,System,DnsMissingPrimarySuffixSystem,,,The primary DNS suffix for this machine is missing. In the absence of a primary DNS suffix; short unqualified names may not resolve through DNS
Microsoft-Windows-DNS-Client,Error,1009,0,Microsoft-Windows-DNS Client Events/Operational,DnsNonMatchingSuffix,,,The primary DNS suffix for this machine ({DnsSuffix}) does not match the Active Directory domain ({AdSuffix}) that it is currently joined to.
Microsoft-Windows-DNS-Client,Warning,1010,0,System,DnsNonMatchingSuffixSystem,,,The primary DNS suffix for this machine ({DnsSuffix}) does not match the Active Directory domain ({AdSuffix}) that it is currently joined to.
Microsoft-Windows-DNS-Client,Error,1011,0,Microsoft-Windows-DNS Client Events/Operational,DnsHostFileError,,,There was an error while attempting to read the local hosts file.
Microsoft-Windows-DNS-Client,Error,1012,0,System,DnsHostFileErrorSystem,,,There was an error while attempting to read the local hosts file.
Microsoft-Windows-DNS-Client,Error,1013,0,Microsoft-Windows-DNS Client Events/Operational,DnsAllServersTimeout,,,Name resolution for the name {QueryName} timed out after none of the configured DNS servers responded.
Microsoft-Windows-DNS-Client,Warning,1014,0,System,DnsAllServersTimeoutSystem,,,Name resolution for the name {QueryName} timed out after none of the configured DNS servers responded.
Microsoft-Windows-DNS-Client,Information,1015,0,Microsoft-Windows-DNS Client Events/Operational,DnsServerTimeout,,,Name resolution for the name {QueryName} timed out after the DNS server {Address} did not respond.
Microsoft-Windows-DNS-Client,Information,1016,0,Microsoft-Windows-DNS Client Events/Operational,DnsNameError,,,A name not found error was returned for the name {QueryName}. Check to ensure that the name is correct. The response was sent by the server at {Address}.
Microsoft-Windows-DNS-Client,Information,1017,0,Microsoft-Windows-DNS Client Events/Operational,DnsAuthoritativeResponse,,,The DNS server's response to a query for name {QueryName} indicates that no records of the type queried are available; but could indicate that other records for the same name are present.
Microsoft-Windows-DNS-Client,Information,1018,0,Microsoft-Windows-DNS Client Events/Operational,DnsLinkLocal,,,The response for the query {QueryName} was a Link Local IP address {Address}. The response was sent by the server at {DnsAddress}.
Microsoft-Windows-DNS-Client,Information,1019,0,Microsoft-Windows-DNS Client Events/Operational,DnsNoServerConfigV6,,,There are currently no IPv6 DNS servers configured for any interface on this host. Please configure DNS server settings; or renew your dynamic IP settings.
Microsoft-Windows-DNS-Client,Information,1020,0,Microsoft-Windows-DNS Client Events/Operational,DnsReadPolicyTable,,,Read DNS Name Resolution Policy Table: Key Name {KeyName}: DNSSEC Settings: DnsSecValidationRequired {DnsSecValidationRequired}; DnsQueryOverIPSec {DnsQueryOverIPSec}; DnsEncryption {DnsEncryption} Direct Access Settings: DirectAccessServerList {DirectAccessServerList}; EnableRemoteIPSEC {RemoteIPSEC}  RemoteEncryption {RemoteEncryption} ProxyType {ProxyType} ProxyName {ProxyName}
Microsoft-Windows-DNS-Client,Information,1021,0,Microsoft-Windows-DNS Client Events/Operational,DnsMatchPolicyInfo,,,Matched Effective policy for query name {QueryName}: Key Name {KeyName}: DnsSecValidationRequired {DnsSecValidationRequired}; DnsQueryOverIPSec {DnsQueryOverIPSec}; DnsEncryption {DnsEncryption} DirectAccessServerList {DirectAccessServerList}; ProxyType {ProxyType} ProxyName {ProxyName}
Microsoft-Windows-DNS-Client,Information,1022,0,Microsoft-Windows-DNS Client Events/Operational,DnsSecureNoFallback,,,Name resolution for the name; {QueryName}; will not fall back to LLMNR or NetBIOS
Microsoft-Windows-DNS-Client,Error,1023,0,System,DnsPolicySystemReadError,,,Name resolution policy table has been corrupted. DNS resolution will fail until it is fixed. Contact your network administrator. For more information: read policy table for rule {RuleName} failed with error {ErrorCode}
Microsoft-Windows-DNS-Client,Information,1024,0,Microsoft-Windows-DNS Client Events/Operational,DnsQueryBadXid,,,Transaction ID of the response for query {QueryName} from server {Address} did not match
Microsoft-Windows-DNS-Client,Information,1025,0,Microsoft-Windows-DNS Client Events/Operational,DnsQueryInvalidServerIp,,,The DNS server IP {Address} of the response for query {QueryName} is not configured on the client
