Provider|Level|Event ID|Version|Channel|Task|Opcode|Keyword|Message
Microsoft-Windows-Media Center Extender|Warning|100|0|Media Center|Session Enforcement|||
Microsoft-Windows-Media Center Extender|Warning|101|0|Media Center|Session Enforcement|||
Microsoft-Windows-Media Center Extender|Warning|102|0|Media Center|Session Enforcement|||
Microsoft-Windows-Media Center Extender|Error|104|0|Media Center|Session Enforcement|||
Microsoft-Windows-Media Center Extender|Error|105|0|Media Center|Session Enforcement|||
Microsoft-Windows-Media Center Extender|Error|106|0|Media Center|Session Enforcement|||Failed to create the message window.Error: {Error}
Microsoft-Windows-Media Center Extender|Warning|107|0|Media Center|Session Enforcement|||An unauthorized window was detected while running Windows Media Center, '{Title}', with file name '{File}'.
Microsoft-Windows-Media Center Extender|Warning|108|0|Media Center|Session Enforcement|||An unauthorized window was detected while running Windows Media Center, '{Title}', could not retrieve the file name.
Microsoft-Windows-Media Center Extender|Warning|109|0|Media Center|Session Enforcement|||An unauthorized window was detected while running Windows Media Center with file name '{File}', could not retrieve the window title.
Microsoft-Windows-Media Center Extender|Warning|110|0|Media Center|Session Enforcement|||
Microsoft-Windows-Media Center Extender|Error|111|0|Media Center|Session Enforcement|||
Microsoft-Windows-Media Center Extender|Error|112|0|Media Center|Session Enforcement|||
Microsoft-Windows-Media Center Extender|Warning|113|0|Media Center|Session Enforcement|||
Microsoft-Windows-Media Center Extender|Error|114|0|Media Center|Session Enforcement|||
Microsoft-Windows-Media Center Extender|Information|115|0|Media Center|Session Enforcement|||
Microsoft-Windows-Media Center Extender|Error|116|0|Media Center|Session Enforcement|||The Media Center Extender session failed to start.Error: {Error}
Microsoft-Windows-Media Center Extender|Warning|117|0|Media Center|Session Enforcement|||
Microsoft-Windows-Media Center Extender|Warning|118|0|Media Center|Session Enforcement|||
Microsoft-Windows-Media Center Extender|Information|119|0|Media Center|Session Enforcement|||
Microsoft-Windows-Media Center Extender|Information|120|0|Media Center|Session Enforcement|||
Microsoft-Windows-Media Center Extender|Error|121|0|Media Center|Session Enforcement|||The Media Center Extender session was terminated because the check to verify that the Extender is enabled in PnP failed.Error: {Error}
Microsoft-Windows-Media Center Extender|Error|122|0|Media Center|Session Enforcement|||
Microsoft-Windows-Media Center Extender|Error|123|0|Media Center|Session Enforcement|||
Microsoft-Windows-Media Center Extender|Information|124|0|Media Center|Session Enforcement|||
Microsoft-Windows-Media Center Extender|Warning|200|0|Media Center|Congestion Controller|||
Microsoft-Windows-Media Center Extender|Information|300|0|Media Center|Service|||Media Center Extender software was sent to Extender '{ID}'.Software version: {Version}
Microsoft-Windows-Media Center Extender|Error|301|0|Media Center|Service|||Cannot send Media Center Extender software to Extender '{ID}'.Error: {Error}
Microsoft-Windows-Media Center Extender|Information|408|0|Media Center|Configuration|||Media Center Extender '{ID}' was uninstalled.
Microsoft-Windows-Media Center Extender|Information|500|0|Media Center|Configuration|||Media Center Extender {DeviceName} '{ID}' discovered at address {Address}.
Microsoft-Windows-Media Center Extender|Information|506|0|Media Center|Configuration|||Media Center Extender account {User} has been created for the Extender with ID: {ID}.
Microsoft-Windows-Media Center Extender|Warning|508|0|Media Center|Configuration|||Media Center Extender Setup cannot update access permissions for media locations:{Folders}Media Center Extender: {ID}Error: {Error}
Microsoft-Windows-Media Center Extender|Warning|509|0|Media Center|Configuration|||
Microsoft-Windows-Media Center Extender|Warning|510|0|Media Center|Configuration|||Media Center Extender Setup cannot copy Music settings.Error: {Error}
Microsoft-Windows-Media Center Extender|Warning|511|0|Media Center|Configuration|||Media Center Extender Setup cannot copy Pictures settings.Error: {Error}
Microsoft-Windows-Media Center Extender|Warning|512|0|Media Center|Configuration|||Media Center Extender Setup cannot copy Videos settings.Error: {Error}
Microsoft-Windows-Media Center Extender|Warning|513|0|Media Center|Configuration|||Media Center Extender Setup cannot copy Playlists settings.Error: {Error}
Microsoft-Windows-Media Center Extender|Warning|514|0|Media Center|Configuration|||Media Center Extender Setup cannot copy Photo Albums settings.Error: {Error}
Microsoft-Windows-Media Center Extender|Warning|515|0|Media Center|Configuration|||Media Center Extender Setup cannot copy Downloads settings.Error: {Error}
Microsoft-Windows-Media Center Extender|Warning|516|0|Media Center|Configuration|||Media Center Extender Setup cannot copy Documents settings.Error: {Error}
Microsoft-Windows-Media Center Extender|Warning|517|0|Media Center|Configuration|||Media Center Extender Setup cannot copy Favorites settings.Error: {Error}
Microsoft-Windows-Media Center Extender|Warning|519|0|Media Center|Configuration|||Media Center Extender Setup cannot copy CD Burning settings.Error: {Error}
Microsoft-Windows-Media Center Extender|Warning|520|0|Media Center|Configuration|||Media Center Extender Setup cannot copy Music Library settings.Error: {Error}
Microsoft-Windows-Media Center Extender|Warning|521|0|Media Center|Configuration|||Media Center Extender Setup cannot copy Picture Library settings.Error: {Error}
Microsoft-Windows-Media Center Extender|Warning|522|0|Media Center|Configuration|||Media Center Extender Setup cannot copy Video Library settings.Error: {Error}
Microsoft-Windows-Media Center Extender|Error|523|0|Media Center|Configuration|||Media Center Extender Setup failed at step {SetupStep}.Error: {Error}
Microsoft-Windows-Media Center Extender|Error|524|0|Media Center|Configuration|||
Microsoft-Windows-Media Center Extender|Warning|525|0|Media Center|Configuration|||Media Center Extender Setup cannot copy Media Library settings.Error: {Error}
Microsoft-Windows-Media Center Extender|Error|526|0|Media Center|Configuration|||Media Center Extender Setup failed to switch your Network Profile from Public to Home.Error: {Error}
Microsoft-Windows-Media Center Extender|Error|530|0|Media Center|Configuration|||Media Center Extender Setup cannot configure or start the SSDP Discovery service.Error: {Error}
Microsoft-Windows-Media Center Extender|Error|531|0|Media Center|Configuration|||Media Center Extender Setup cannot configure or start the Function Discovery Provider Host service.Error: {Error}
Microsoft-Windows-Media Center Extender|Error|532|0|Media Center|Configuration|||Media Center Extender Setup cannot configure or start the PnP-X IP Bus Enumerator service.Error: {Error}
Microsoft-Windows-Media Center Extender|Error|533|0|Media Center|Configuration|||Media Center Extender Setup failed to create or retrieve the Windows Media Center Extender PC certificate.Error: {Error}
Microsoft-Windows-Media Center Extender|Error|534|0|Media Center|Configuration|||Media Center Extender Setup failed to configure Terminal Services for Extender.Error: {Error}
Microsoft-Windows-Media Center Extender|Error|535|0|Media Center|Configuration|||Media Center Extender Setup cannot start Terminal Services.Error: {Error}
Microsoft-Windows-Media Center Extender|Error|536|0|Media Center|Configuration|||Media Center Extender Setup cannot configure or start the Windows Media Center Extender service.Error: {Error}
Microsoft-Windows-Media Center Extender|Error|537|0|Media Center|Configuration|||Media Center Extender Setup cannot start Extender discovery.Error: {Error}
Microsoft-Windows-Media Center Extender|Error|538|0|Media Center|Configuration|||Media Center Extender Setup failed as the Extender was detected on the network but the UPnP search for the Extender failed (timed out after {Timeout}ms).
Microsoft-Windows-Media Center Extender|Error|539|0|Media Center|Configuration|||Media Center Extender Setup failed to find the Extender on the network (timed out after {Timeout}ms).
Microsoft-Windows-Media Center Extender|Error|540|0|Media Center|Configuration|||
Microsoft-Windows-Media Center Extender|Error|541|0|Media Center|Configuration|||Media Center Extender Setup failed to associate the Extender with ID: {ID}.Error: {Error}
Microsoft-Windows-Media Center Extender|Error|542|0|Media Center|Configuration|||Media Center Extender Setup failed to temporarily enable image download for the Extender.Error: {Error}
Microsoft-Windows-Media Center Extender|Error|543|0|Media Center|Configuration|||Media Center Extender Setup failed to create the PnP device with ID: {ID} (timed out after {Timeout}ms).Error: {Error}
Microsoft-Windows-Media Center Extender|Error|544|0|Media Center|Configuration|||Media Center Extender Setup cannot exchange certificates with the Extender with ID: {ID}.Error: {Error}
