Provider|Event ID|Channel|Message
Microsoft-Windows-Time-Service|1|System|The time provider '{TimeProvider}' logged the following error: {ErrorMessage}
Microsoft-Windows-Time-Service|2|System|The time provider '{TimeProvider}' logged the following warning: {ErrorMessage}
Microsoft-Windows-Time-Service|3|System|The time provider '{TimeProvider}' logged the following message: {ErrorMessage}
Microsoft-Windows-Time-Service|4|System|The time provider '{TimeProvider}' failed to start due to the following error: {ErrorMessage}
Microsoft-Windows-Time-Service|5|System|The time provider '{TimeProvider}' returned the following error during shutdown: {ErrorMessage}
Microsoft-Windows-Time-Service|6|System|The time service encountered an error while reading its configuration from the registry, and will continue running with its previous configuration. The error was: {ErrorMessage}
Microsoft-Windows-Time-Service|7|System|The time provider '{TimeProvider}' returned an error while updating its configuration. The error will be ignored. The error was: {ErrorMessage}
Microsoft-Windows-Time-Service|8|System|The time provider '{TimeProvider}' returned an error when notified of a polling interval change. The error will be ignored. The error was: {ErrorMessage}
Microsoft-Windows-Time-Service|9|System|The time provider '{TimeProvider}' returned an error when notified of a time jump. The error will be ignored. The error was: {ErrorMessage}
Microsoft-Windows-Time-Service|10|System|The time provider '{TimeProvider}' returned an error when asked for time samples. The error will be ignored. The error was: {ErrorMessage}
Microsoft-Windows-Time-Service|11|System|Time Provider NtpClient: This machine is configured to use the domain hierarchy to determine its time source, but it is not a member of a domain. NtpClient will attempt to use an alternate configured external time source if available. If an external time source is not configured or used for this computer, you may choose to disable the NtpClient.
Microsoft-Windows-Time-Service|12|System|Time Provider NtpClient: This machine is configured to use the domain hierarchy to determine its time source, but it is the AD PDC emulator for the domain at the root of the forest, so there is no machine above it in the domain hierarchy to use as a time source. It is recommended that you either configure a reliable time service in the root domain, or manually configure the AD PDC to synchronize with an external time source. Otherwise, this machine will function as the authoritative time source in the domain hierarchy. If an external time source is not configured or used for this computer, you may choose to disable the NtpClient.
Microsoft-Windows-Time-Service|13|System|Time Provider NtpClient: This machine is configured to use the domain hierarchy to determine its time source, but the computer is joined to a Windows NT 4.0 domain. Windows NT 4.0 domain controllers do not have a time service and do not support domain hierarchy as a time source. NtpClient will attempt to use an alternate configured external time source if available. If an external time source is not configured or used for this computer, you may choose to disable the NtpClient.
Microsoft-Windows-Time-Service|14|System|The time provider NtpClient was unable to find a domain controller to use as a time source. NtpClient will try again in {RetryMinutes} minutes.
Microsoft-Windows-Time-Service|15|System|The time provider NtpClient was unable to find a domain controller to use as a time source.  NtpClient will fall back to the remaining configured time sources, if any are available. The error was: {ErrorMessage}
Microsoft-Windows-Time-Service|16|System|Time Provider NtpClient: An unexpected error occurred during DNS lookup of the manually configured peer '{ManualPeer}'. This peer will not be used as a time source. The error was: {ErrorMessage}
Microsoft-Windows-Time-Service|17|System|Time Provider NtpClient: An error occurred during DNS lookup of the manually configured peer '{ManualPeer}'. NtpClient will try the DNS lookup again in {RetryMinutes} minutes. The error was: {ErrorMessage}
Microsoft-Windows-Time-Service|18|System|The time provider NtpClient failed to establish a trust relationship between this computer and the {Domain} domain in order to securely synchronize time. NtpClient will try again in {RetryMinutes} minutes. The error was: {ErrorMessage}
Microsoft-Windows-Time-Service|19|System|Logging was requested, but the time service encountered an error while trying to set up the log file: {LogFile}. The error was: {ErrorMessage}. Please make sure that 'Local Service' has permission to write to the file or directory.
Microsoft-Windows-Time-Service|20|System|Logging was requested, but the time service encountered an error while trying to write to the log file: {LogFile}. The error was: {ErrorMessage}
Microsoft-Windows-Time-Service|21|System|The time service is configured to use one or more input providers, however, none of the input providers are available. The time service has no source of accurate time.
Microsoft-Windows-Time-Service|22|System|The time provider NtpServer encountered an error while digitally signing the NTP response for peer {Peer}. NtpServer cannot provide secure (signed) time to the client and will ignore the request. The error was: {ErrorMessage}
Microsoft-Windows-Time-Service|23|System|The time provider NtpServer encountered an error while digitally signing the NTP response for symmetric peer {Peer}. NtpServer cannot provide secure (signed) time to the peer and will not send a packet. The error was: {ErrorMessage}
Microsoft-Windows-Time-Service|24|System|Time Provider NtpClient: No valid response has been received from domain controller {DomainPeer} after 8 attempts to contact it. This domain controller will be discarded as a time source and NtpClient will attempt to discover a new domain controller from which to synchronize. The error was: {ErrorMessage}
Microsoft-Windows-Time-Service|25|System|The time provider NtpClient cannot determine whether the response received from {DomainPeer} has  a valid signature. The response will be ignored. The error was: {ErrorMessage}
Microsoft-Windows-Time-Service|26|System|Time Provider NtpClient: The response received from domain controller {DomainPeer} has a bad signature. The response may have been tampered with and will be ignored.
Microsoft-Windows-Time-Service|27|System|Time Provider NtpClient: The response received from domain controller {DomainPeer} is missing the signature. The response may have been tampered with and will be ignored.
