Provider|Event ID|Channel|Message
Microsoft-Windows-WHEA-Logger|1|System|A fatal hardware error has occurred. A record describing the condition is contained in the data section of this event.
Microsoft-Windows-WHEA-Logger|2|System|A corrected hardware error has occurred. A record describing the condition is contained in the data section of this event.
Microsoft-Windows-WHEA-Logger|3|System|A hardware event has occurred. An informational record describing the condition is contained in the data section of this event.
Microsoft-Windows-WHEA-Logger|16|System|A fatal hardware error has occurred.Component: {PortType}Error Source: {ErrorSource}Bus:Device:Function: {Bus}:{ErrorSource}0:{ErrorSource}1Vendor ID:Device ID: {ErrorSource}5:{ErrorSource}6Class Code: {ErrorSource}7The details view of this entry contains further information.
Microsoft-Windows-WHEA-Logger|17|System|A corrected hardware error has occurred.Component: {PortType}Error Source: {ErrorSource}Bus:Device:Function: {Bus}:{ErrorSource}0:{ErrorSource}1Vendor ID:Device ID: {ErrorSource}5:{ErrorSource}6Class Code: {ErrorSource}7The details view of this entry contains further information.
Microsoft-Windows-WHEA-Logger|18|System|A fatal hardware error has occurred.Reported by component: Processor CoreError Source: {ErrorSource}Error Type: {ErrorType}Processor ID: {ApicId}The details view of this entry contains further information.
Microsoft-Windows-WHEA-Logger|19|System|A corrected hardware error has occurred.Reported by component: Processor CoreError Source: {ErrorSource}Error Type: {ErrorType}Processor ID: {ApicId}The details view of this entry contains further information.
Microsoft-Windows-WHEA-Logger|20|System|A fatal hardware error has occurred.Component: AMD NorthbridgeError Source: {ErrorSource}Error Type: {ErrorType}Processor ID: {ApicId}The details view of this entry contains further information.
Microsoft-Windows-WHEA-Logger|21|System|A corrected hardware error has occurred.Component: AMD NorthbridgeError Source: {ErrorSource}Error Type: {ErrorType}Processor ID: {ApicId}The details view of this entry contains further information.
Microsoft-Windows-WHEA-Logger|22|System|A fatal hardware error has occurred.Component: MemoryError Source: {ErrorSource}Error Type: {ErrorSource}9The details view of this entry contains further information.
Microsoft-Windows-WHEA-Logger|23|System|A corrected hardware error has occurred.Component: MemoryError Source: {ErrorSource}Error Type: {ErrorSource}9The details view of this entry contains further information.
Microsoft-Windows-WHEA-Logger|24|System|A fatal hardware error has occurred.Component: PCI/PCI-X BusError Source: {ErrorSource}Error Type: {ErrorType}Segment:Bus: {BusSegment}:{BusNumber}The details view of this entry contains further information.
Microsoft-Windows-WHEA-Logger|25|System|A corrected hardware error has occurred.Component: PCI/PCI-X BusError Source: {ErrorSource}Error Type: {ErrorType}Segment:Bus: {BusSegment}:{BusNumber}The details view of this entry contains further information.
Microsoft-Windows-WHEA-Logger|26|System|A fatal hardware error has occurred.Component: PCI/PCI-X DeviceError Source: {ErrorSource}Error Type: {ErrorType}Segment:Bus:Device:Function: {ErrorSource}2:{ErrorSource}1:{ErrorSource}0:{FunctionNumber}Vendor ID:Device ID: {VendorId}:{DeviceId}Class Code: {ClassCode}The details view of this entry contains further information.
Microsoft-Windows-WHEA-Logger|27|System|A corrected hardware error has occurred.Component: PCI/PCI-X DeviceError Source: {ErrorSource}Error Type: {ErrorType}Segment:Bus:Device:Function: {ErrorSource}2:{ErrorSource}1:{ErrorSource}0:{FunctionNumber}Vendor ID:Device ID: {VendorId}:{DeviceId}Class Code: {ClassCode}The details view of this entry contains further information.
Microsoft-Windows-WHEA-Logger|38|System|A fatal hardware error has occurred.Reported by component: Processor CoreError Source: {ErrorSource}Error Type: {ErrorType}CPU APIC ID: {ApicId}The details view of this entry contains further information.
Microsoft-Windows-WHEA-Logger|39|System|A corrected hardware error has occurred.Reported by component: Processor CoreError Source: {ErrorSource}Error Type: {ErrorType}CPU APIC ID: {ApicId}The details view of this entry contains further information.
Microsoft-Windows-WHEA-Logger|40|System|A fatal hardware error has occurred.Component: {PortType}Error Source: {ErrorSource}The details view of this entry contains further information.
Microsoft-Windows-WHEA-Logger|41|System|A corrected hardware error has occurred.Component: {PortType}Error Source: {ErrorSource}The details view of this entry contains further information.
Microsoft-Windows-WHEA-Logger|42|System|A fatal hardware error has occurred.Component: PCI/PCI-X BusError Source: {ErrorSource}Error Type: {ErrorType}The details view of this entry contains further information.
Microsoft-Windows-WHEA-Logger|43|System|A corrected hardware error has occurred.Component: PCI/PCI-X BusError Source: {ErrorSource}Error Type: {ErrorType}The details view of this entry contains further information.
Microsoft-Windows-WHEA-Logger|44|System|A fatal hardware error has occurred.Component: PCI/PCI-X DeviceError Source: {ErrorSource}Error Type: {ErrorType}The details view of this entry contains further information.
Microsoft-Windows-WHEA-Logger|45|System|A corrected hardware error has occurred.Component: PCI/PCI-X DeviceError Source: {ErrorSource}Error Type: {ErrorType}The details view of this entry contains further information.
Microsoft-Windows-WHEA-Logger|46|System|A fatal hardware error has occurred.Component: MemoryError Source: {ErrorSource}The details view of this entry contains further information.
Microsoft-Windows-WHEA-Logger|47|System|A corrected hardware error has occurred.Component: MemoryError Source: {ErrorSource}The details view of this entry contains further information.
