Provider|Level|Event ID|Version|Channel|Task|Opcode|Keyword|Message
Microsoft-Windows-AppxPackagingOM|Error|100|0|Microsoft-Windows-AppxPackaging/Operational|Manifest|Parse Manifest||error {errorCode}: App manifest validation error: The app manifest must be valid as per schema: Line {lineNumber}, Column {columnNumber}, Reason: {reason}
Microsoft-Windows-AppxPackagingOM|Error|101|0|Microsoft-Windows-AppxPackaging/Operational|Manifest|Parse Manifest||error {errorCode}: App manifest validation error: The document root element {name} must be defined in the {xmlNamespace} namespace.
Microsoft-Windows-AppxPackagingOM|Error|102|0|Microsoft-Windows-AppxPackaging/Operational|Manifest|Parse Manifest||error {errorCode}: App manifest validation error: Line {lineNumber}, Column {columnNumber}, Reason: The Match attribute value must not use wildcards in the domain name segment if the Type attribute value is "include".
Microsoft-Windows-AppxPackagingOM|Error|103|0|Microsoft-Windows-AppxPackaging/Operational|Manifest|Parse Manifest||error {errorCode}: App manifest validation error: Line {lineNumber}, Column {columnNumber}, Reason: The Match attribute value must not use wildcards in the host name segment if a domain name is not present and the Type attribute value is "include".
Microsoft-Windows-AppxPackagingOM|Error|104|0|Microsoft-Windows-AppxPackaging/Operational|Manifest|Parse Manifest||error {errorCode}: App manifest validation error: Line {lineNumber}, Column {columnNumber}, Reason: The Match attribute value must not specify values "*" or "*.*" if the Type attribute value is "exclude".
Microsoft-Windows-AppxPackagingOM|Error|105|0|Microsoft-Windows-AppxPackaging/Operational|Manifest|Parse Manifest||error {errorCode}: App manifest validation error: Line {lineNumber}, Column {columnNumber}, Reason: The Match attribute value must be a valid URI as per the CreateUri API.
Microsoft-Windows-AppxPackagingOM|Error|106|0|Microsoft-Windows-AppxPackaging/Operational|Manifest|Parse Manifest||error {errorCode}: App manifest validation error: Line {lineNumber}, Column {columnNumber}, Reason: The Match attribute value must be a valid relative URI as per the CreateUri API.
Microsoft-Windows-AppxPackagingOM|Error|107|0|Microsoft-Windows-AppxPackaging/Operational|Manifest|Parse Manifest||error {errorCode}: App manifest validation error: Line {lineNumber}, Column {columnNumber}, Reason: The Application element must specify the Executable or StartPage attribute.
Microsoft-Windows-AppxPackagingOM|Error|110|0|Microsoft-Windows-AppxPackaging/Operational|Manifest|Parse Manifest||error {errorCode}: App manifest validation error: Line {lineNumber}, Column {columnNumber}, Reason: The DefaultTile element must specify the Wide310x150Logo attribute if the Square310x310Logo attribute is specified.
Microsoft-Windows-AppxPackagingOM|Error|111|0|Microsoft-Windows-AppxPackaging/Operational|Manifest|Parse Manifest||error {errorCode}: App manifest validation error: Line {lineNumber}, Column {columnNumber}, Reason: The logo {logo} must be specified if the {field} value is set to "{value}".
Microsoft-Windows-AppxPackagingOM|Error|112|0|Microsoft-Windows-AppxPackaging/Operational|Manifest|Parse Manifest||error {errorCode}: App manifest validation error: Line {lineNumber}, Column {columnNumber}, Reason: The Extension element must specify the Executable attribute with the EntryPoint attribute for a web application.
Microsoft-Windows-AppxPackagingOM|Error|113|0|Microsoft-Windows-AppxPackaging/Operational|Manifest|Parse Manifest||error {errorCode}: App manifest validation error: Line {lineNumber}, Column {columnNumber}, Reason: The UriTemplate field must specify an absolute URI with the scheme HTTP or HTTPS.
Microsoft-Windows-AppxPackagingOM|Error|114|0|Microsoft-Windows-AppxPackaging/Operational|Manifest|Parse Manifest||error {errorCode}: App manifest validation error: Line {lineNumber}, Column {columnNumber}, Reason: The OSMaxVersionTested value must not be less than the OSMinVersion value.
Microsoft-Windows-AppxPackagingOM|Error|115|0|Microsoft-Windows-AppxPackaging/Operational|Manifest|Parse Manifest||error {errorCode}: App manifest validation error: Line {lineNumber}, Column {columnNumber}, Reason: The Match attribute value if absolute URI, must only specify the "https" scheme.
Microsoft-Windows-AppxPackagingOM|Error|116|0|Microsoft-Windows-AppxPackaging/Operational|Manifest|Parse Manifest||error {errorCode}: App manifest validation error: Line {lineNumber}, Column {columnNumber}, Reason: The manifest must specify at least one Resource element with a Language attribute.
Microsoft-Windows-AppxPackagingOM|Error|117|0|Microsoft-Windows-AppxPackaging/Operational|Manifest|Parse Manifest||error {errorCode}: App manifest validation error: Line {lineNumber}, Column {columnNumber}, Reason: The Language attribute value "{elementName}" must comply with BCP 47 specification.
Microsoft-Windows-AppxPackagingOM|Error|118|0|Microsoft-Windows-AppxPackaging/Operational|Manifest|Parse Manifest||error {errorCode}: App manifest validation error: Line {lineNumber}, Column {columnNumber}, Reason: The Extension element with the Category attribute value "{elementName}" must specify a child element.
Microsoft-Windows-AppxPackagingOM|Error|119|0|Microsoft-Windows-AppxPackaging/Operational|Manifest|Parse Manifest||error {errorCode}: App manifest validation error: Line {lineNumber}, Column {columnNumber}, Reason: The Extension element with the Category attribute value "{elementName}" must not specify a child element.
