Provider|Level|Event ID|Version|Channel|Task|Opcode|Keyword|Message
Microsoft-Windows-PDFReader|win:Informational|1|0|Microsoft-Windows-glcnd/Debug|||Reader|
Microsoft-Windows-PDFReader|win:Error|2|0|Microsoft-Windows-glcnd/Admin|||Reader|
Microsoft-Windows-PDFReader|win:Informational|3|0|Microsoft-Windows-glcnd/Diagnostic|LoadFile|win:Start|Reader|
Microsoft-Windows-PDFReader|win:Informational|4|0|Microsoft-Windows-glcnd/Diagnostic|LoadFile|win:Stop|Reader|
Microsoft-Windows-PDFReader|win:Informational|15|0|Microsoft-Windows-glcnd/Diagnostic|LoadImage|win:Start|Reader|
Microsoft-Windows-PDFReader|win:Informational|16|0|Microsoft-Windows-glcnd/Diagnostic|LoadImage|win:Stop|Reader|
Microsoft-Windows-PDFReader|win:Informational|17|0|Microsoft-Windows-glcnd/Diagnostic|EmbededColorProfile|win:Start|Reader|
Microsoft-Windows-PDFReader|win:Informational|18|0|Microsoft-Windows-glcnd/Diagnostic|EmbededColorProfile|win:Stop|Reader|
Microsoft-Windows-PDFReader|win:Informational|19|0|Microsoft-Windows-glcnd/Diagnostic|ApplyDecodeArray|win:Start|Reader|
Microsoft-Windows-PDFReader|win:Informational|20|0|Microsoft-Windows-glcnd/Diagnostic|ApplyDecodeArray|win:Stop|Reader|
Microsoft-Windows-PDFReader|win:Informational|21|0|Microsoft-Windows-glcnd/Diagnostic|ApplyDctDecodeArray|win:Start|Reader|
Microsoft-Windows-PDFReader|win:Informational|22|0|Microsoft-Windows-glcnd/Diagnostic|ApplyDctDecodeArray|win:Stop|Reader|
Microsoft-Windows-PDFReader|win:Informational|31|0|Microsoft-Windows-glcnd/Diagnostic|SetImagePixels|win:Start|Reader|
Microsoft-Windows-PDFReader|win:Informational|32|0|Microsoft-Windows-glcnd/Diagnostic|SetImagePixels|win:Stop|Reader|
Microsoft-Windows-PDFReader|win:Informational|33|0|Microsoft-Windows-glcnd/Diagnostic|CreateMaskArray|win:Start|Reader|
Microsoft-Windows-PDFReader|win:Informational|34|0|Microsoft-Windows-glcnd/Diagnostic|CreateMaskArray|win:Stop|Reader|
Microsoft-Windows-PDFReader|win:Error|35|0|Microsoft-Windows-glcnd/Debug|||Reader|
Microsoft-Windows-PDFReader|win:Informational|44|0|Microsoft-Windows-glcnd/Diagnostic|PageBuild|win:Start|Reader|
