Provider|Level|Event ID|Version|Channel|Task|Opcode|Keyword|Message
Microsoft-Windows-SkyDrive-SyncEngine|Information|1|0||SignIn|Start|ComAPI|
Microsoft-Windows-SkyDrive-SyncEngine|Information|2|0||SignIn|Stop|ComAPI|
Microsoft-Windows-SkyDrive-SyncEngine|Information|3|0||CreateSkyDriveFolder|Start|ComAPI|
Microsoft-Windows-SkyDrive-SyncEngine|Information|4|0||CreateSkyDriveFolder|Stop|ComAPI|
Microsoft-Windows-SkyDrive-SyncEngine|Information|5|0||MapSkyDriveFolder|Start|ComAPI|
Microsoft-Windows-SkyDrive-SyncEngine|Information|6|0||MapSkyDriveFolder|Stop|ComAPI|
Microsoft-Windows-SkyDrive-SyncEngine|Information|7|0||ProvisionLocalDevice|Start|ComAPI|
Microsoft-Windows-SkyDrive-SyncEngine|Information|8|0||ProvisionLocalDevice|Stop|ComAPI|
Microsoft-Windows-SkyDrive-SyncEngine|Information|11|0||ClaimLocalDevice|Start|ComAPI|
Microsoft-Windows-SkyDrive-SyncEngine|Information|12|0||ClaimLocalDevice|Stop|ComAPI|
Microsoft-Windows-SkyDrive-SyncEngine|Information|13|0||ProvisionIdentity|Start|ComAPI|
Microsoft-Windows-SkyDrive-SyncEngine|Information|14|0||ProvisionIdentity|Stop|ComAPI|
Microsoft-Windows-SkyDrive-SyncEngine|Information|15|0||Hashing|Start|Hasher|
Microsoft-Windows-SkyDrive-SyncEngine|Information|16|0||Hashing|Stop|Hasher|
Microsoft-Windows-SkyDrive-SyncEngine|Information|17|0||ReSynchronization|Start|ServiceProxy|
Microsoft-Windows-SkyDrive-SyncEngine|Information|18|0||ReSynchronization|Stop|ServiceProxy|
Microsoft-Windows-SkyDrive-SyncEngine|Information|19|0||Synchronization|Start|ServiceProxy|
Microsoft-Windows-SkyDrive-SyncEngine|Information|20|0||Synchronization|Stop|ServiceProxy|
Microsoft-Windows-SkyDrive-SyncEngine|Information|21|0||Synchronization|Start|ServiceProxy|
Microsoft-Windows-SkyDrive-SyncEngine|Information|22|0||Synchronization|Stop|ServiceProxy|
Microsoft-Windows-SkyDrive-SyncEngine|Information|23|0||Synchronization|Start|ServiceProxy|
Microsoft-Windows-SkyDrive-SyncEngine|Information|24|0||Synchronization|Stop|ServiceProxy|
Microsoft-Windows-SkyDrive-SyncEngine|Information|25|0||Realizing|Start|Realizer|
Microsoft-Windows-SkyDrive-SyncEngine|Information|26|0||Realizing|Stop|Realizer|
Microsoft-Windows-SkyDrive-SyncEngine|Information|27|0||Scanning|Start|Scanner|
Microsoft-Windows-SkyDrive-SyncEngine|Information|28|0||Scanning|Stop|Scanner|
Microsoft-Windows-SkyDrive-SyncEngine|Information|29|0||Synchronization||ServiceProxy|
Microsoft-Windows-SkyDrive-SyncEngine|Information|30|0||RefreshClientPolicy|Start|ServiceProxy|
Microsoft-Windows-SkyDrive-SyncEngine|Information|31|0||RefreshClientPolicy|Stop|ServiceProxy|
Microsoft-Windows-SkyDrive-SyncEngine|Information|32|0||Synchronization|Start|ServiceProxy|
Microsoft-Windows-SkyDrive-SyncEngine|Information|33|0||Synchronization|Stop|ServiceProxy|
Microsoft-Windows-SkyDrive-SyncEngine|Information|34|0||Synchronization||ServiceProxy|
Microsoft-Windows-SkyDrive-SyncEngine|Information|35|0||Synchronization||ServiceProxy|
Microsoft-Windows-SkyDrive-SyncEngine|Information|36|0||Synchronization||ServiceProxy|
Microsoft-Windows-SkyDrive-SyncEngine|Information|37|0||Synchronization||ServiceProxy|
Microsoft-Windows-SkyDrive-SyncEngine|Information|38|0||OpLock||OpLock|
Microsoft-Windows-SkyDrive-SyncEngine|Information|39|0||PriorityMode||PriorityMode|
Microsoft-Windows-SkyDrive-SyncEngine|Information|40|0||PriorityMode||PriorityMode|
Microsoft-Windows-SkyDrive-SyncEngine|Information|41|0||Synchronization||CoreLoop|
Microsoft-Windows-SkyDrive-SyncEngine|Information|42|0||Synchronization||PriorityDownload|
Microsoft-Windows-SkyDrive-SyncEngine|Information|43|0||Synchronization||PriorityDownload|
Microsoft-Windows-SkyDrive-SyncEngine||50|0||OfficeTask|||
Microsoft-Windows-SkyDrive-SyncEngine|Information|60|0|||||
Microsoft-Windows-SkyDrive-SyncEngine|Information|61|0||Synchronization||CoreLoop|
Microsoft-Windows-SkyDrive-SyncEngine|Information|62|0||ChangeEnumeration|Start|CoreLoop|
Microsoft-Windows-SkyDrive-SyncEngine|Information|63|0||ChangeEnumeration|Stop|CoreLoop|
Microsoft-Windows-SkyDrive-SyncEngine|Information|64|0||PrioritizeLocalChanges||CoreLoop|
Microsoft-Windows-SkyDrive-SyncEngine|Information|65|0||PrioritizeLocalChanges||CoreLoop|
Microsoft-Windows-SkyDrive-SyncEngine|Information|66|0||Synchronization||CoreLoop|
Microsoft-Windows-SkyDrive-SyncEngine||1000|0||Synchronization||ServiceProxy|
Microsoft-Windows-SkyDrive-SyncEngine||1001|0||Synchronization||ServiceProxy|
Microsoft-Windows-SkyDrive-SyncEngine||1002|0||Synchronization||ServiceProxy|
Microsoft-Windows-SkyDrive-SyncEngine||1003|0||Synchronization||ServiceProxy|
Microsoft-Windows-SkyDrive-SyncEngine||1100|0||Synchronization|Start|ServiceProxy|
Microsoft-Windows-SkyDrive-SyncEngine|Information|1101|0||Synchronization|Stop|ServiceProxy|
