Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-DirectWrite,Information,100,0,Microsoft-Windows-DirectWrite/Tracing,,,Event originating from DirectWrite.,DirectWrite has started creating a factory object.
Microsoft-Windows-DirectWrite,Information,101,0,Microsoft-Windows-DirectWrite/Tracing,,,Event originating from DirectWrite.,DirectWrite has stopped creating a factory object.
Microsoft-Windows-DirectWrite,Information,102,0,Microsoft-Windows-DirectWrite/Tracing,,,Event originating from DirectWrite.,DirectWrite has started connecting to the font cache service.
Microsoft-Windows-DirectWrite,Information,103,0,Microsoft-Windows-DirectWrite/Tracing,,,Event originating from DirectWrite.,DirectWrite has stopped connecting to the font cache service
Microsoft-Windows-DirectWrite,Information,104,0,Microsoft-Windows-DirectWrite/Tracing,,,Event originating from DirectWrite.,DirectWrite has started getting the shared font cache.
Microsoft-Windows-DirectWrite,Information,105,0,Microsoft-Windows-DirectWrite/Tracing,,,Event originating from DirectWrite.,DirectWrite has stopped getting the shared font cache.
Microsoft-Windows-DirectWrite,Information,106,0,Microsoft-Windows-DirectWrite/Tracing,,,Event originating from DirectWrite.,DirectWrite has added an element to the client-side font cache.
Microsoft-Windows-DirectWrite,Information,107,0,Microsoft-Windows-DirectWrite/Tracing,,,Event originating from DirectWrite.,DirectWrite has started creating a client-side font cache instance.
Microsoft-Windows-DirectWrite,Information,108,0,Microsoft-Windows-DirectWrite/Tracing,,,Event originating from DirectWrite.,DirectWrite has stopped creating a client-side font cache instance.
Microsoft-Windows-DirectWrite,Information,109,0,Microsoft-Windows-DirectWrite/Tracing,,,Event originating from DirectWrite.,DirectWrite has released a shared font cache instance.
Microsoft-Windows-DirectWrite,Information,110,0,Microsoft-Windows-DirectWrite/Tracing,,,Event originating from DirectWrite.,DirectWrite has deleted a client-side font cache instance.
Microsoft-Windows-DirectWrite,Information,111,0,Microsoft-Windows-DirectWrite/Tracing,,,Event originating from DirectWrite.,DirectWrite has opened a font file.
Microsoft-Windows-DirectWrite,Information,112,0,Microsoft-Windows-DirectWrite/Tracing,,,Event originating from DirectWrite.,DirectWrite has closed a font file.
Microsoft-Windows-DirectWrite,Verbose,113,0,Microsoft-Windows-DirectWrite/Tracing,,,Event originating from DirectWrite.,DirectWrite found an existing element in the shared font cache.
Microsoft-Windows-DirectWrite,Verbose,114,0,Microsoft-Windows-DirectWrite/Tracing,,,Event originating from DirectWrite.,DirectWrite found an existing element in the client-side font cache.
Microsoft-Windows-DirectWrite,Verbose,115,0,Microsoft-Windows-DirectWrite/Tracing,,,Event originating from DirectWrite.,DirectWrite did not find an existing cache element.
Microsoft-Windows-DirectWrite,Verbose,116,0,Microsoft-Windows-DirectWrite/Tracing,,,Event originating from DirectWrite.,DirectWrite looked up glyph data in the font cache.
