Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-Crypto-NCrypt,Error,1,0,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status}
Microsoft-Windows-Crypto-NCrypt,Error,2,0,Microsoft-Windows-Crypto-NCrypt/Operational,Open Provider Failure,,NCrypt Operation,Open Provider operation failed. Cryptographic Parameters: 	Provider Name:	{ProviderName} Failure Information: 	Return Code:	{ProcessName}
Microsoft-Windows-Crypto-NCrypt,Error,3,0,Microsoft-Windows-Crypto-NCrypt/Operational,Open Key Failure,,NCrypt Operation,Open Key operation failed. Cryptographic Parameters: 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} Failure Information: 	Return Code:	{Status}
Microsoft-Windows-Crypto-NCrypt,Error,4,0,Microsoft-Windows-Crypto-NCrypt/Operational,Key Creation Failure,,NCrypt Operation,Create Key operation failed. Cryptographic Parameters: 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Algorithm Name:	{AlgorithmName} 	Flags:		{Flags} Failure Information:  	Return Code:	{Status}
Microsoft-Windows-Crypto-NCrypt,Error,5,0,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,Secret Protection,Protect Key operation failed. Cryptographic Parameters: 	Protector Name:	{ProtectorName} 	Protector Attributes:			{ProtectorAttributes} 	Flags:		{Flags} Failure Information: 	Return Code:	{Status}
Microsoft-Windows-Crypto-NCrypt,Error,6,0,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,Secret Protection,Unprotect Key operation failed. Cryptographic Parameters: 	Protector Name:	{ProtectorName} 	Recipient Type:	{RecipientType} 	Flags:		{Flags} Failure Information: 	Return Code:	{Status}
Microsoft-Windows-Crypto-NCrypt,Error,7,0,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,Secret Protection,Protect Secret operation failed. Cryptographic Parameters: 	Flags:		{Flags} Failure Information: 	Return Code:	{Status}
Microsoft-Windows-Crypto-NCrypt,Error,8,0,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,Secret Protection,Unprotect Secret operation failed. Cryptographic Parameters: 	Flags:		{Flags} Failure Information: 	Return Code:	{Status}
Microsoft-Windows-Crypto-NCrypt,Verbose,9,0,Microsoft-Windows-Crypto-NCrypt/Operational,Key write succeeded,,NCrypt Operation,Key write succeeded. Provider Name:	{ProviderName} ModificationType: 		{KeyModificationType} Flags:		{Flags} Key Name:	{KeyName} Key File Name:	{KeyFileName} ProcessName:	{ProcessName} ProcessId:	{ProcessId} ServerThreadId:	{ThreadId} UserId:	{UserId} ServiceTag:	{ProviderName}0 Return Code:	{ProviderName}1
Microsoft-Windows-Crypto-NCrypt,Error,10,0,Microsoft-Windows-Crypto-NCrypt/Operational,Key write failed,,NCrypt Operation,Key write failed. Provider Name:	{ProviderName} ModificationType: 		{KeyModificationType} Flags:		{Flags} Key Name:	{KeyName} Key File Name:	{KeyFileName} ProcessName:	{ProcessName} ProcessId:	{ProcessId} ServerThreadId:	{ThreadId} UserId:	{UserId} ServiceTag:	{ProviderName}0 Return Code:	{ProviderName}1
Microsoft-Windows-Crypto-NCrypt,Verbose,11,0,Microsoft-Windows-Crypto-NCrypt/Operational,Delete key succeeded,,NCrypt Operation,Delete key succeeded. Provider Name:	{ProviderName} Flags:		{Flags} DeletionType: 		{DeletionType} Key Name:	{KeyName} Key File Name:	{KeyFileName} ProcessName:	{ProcessName} ProcessId:	{ProcessId} ServerThreadId:	{ThreadId} UserId:	{UserId} ServiceTag:	{ProviderName}0 Return Code:	{ProviderName}1
Microsoft-Windows-Crypto-NCrypt,Error,12,0,Microsoft-Windows-Crypto-NCrypt/Operational,Delete key failed,,NCrypt Operation,Delete key failed. Provider Name:	{ProviderName} Flags:		{Flags} DeletionType: 		{DeletionType} Key Name:	{KeyName} Key File Name:	{KeyFileName} ProcessName:	{ProcessName} ProcessId:	{ProcessId} ServerThreadId:	{ThreadId} UserId:	{UserId} ServiceTag:	{ProviderName}0 Return Code:	{ProviderName}1
Microsoft-Windows-Crypto-NCrypt,Error,13,0,Microsoft-Windows-Crypto-NCrypt/Operational,BCrypt ISO Operation task failure,,BCrypt ISO Operation keyword failure,BCrypt ISO operation failedFunction: {Function}Info: {Info}Status: {StatusCode}. {StatusString}
