Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-VolumeSnapshot-Driver,Information,0,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:Prepare,Start,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,1,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:Prepare,Stop,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,2,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:PreExposure,Start,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,3,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:PreExposure,Stop,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,4,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:AdjustBitmap,Start,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,5,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:AdjustBitmap,Stop,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,6,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:EndCommit,Start,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,7,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:EndCommit,Stop,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,8,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:Activate,Start,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,9,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:Activate,Stop,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,10,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:SetIgnorable,Start,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,11,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:SetIgnorable,Stop,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,12,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:IgnorableProduct,Start,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,13,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:IgnorableProduct,Stop,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,14,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:Dismount,Start,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,15,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:Dismount,Stop,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,16,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:Remount,Start,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,17,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:Remount,Stop,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,18,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:DeleteProcess,Start,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,19,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:DeleteProcess,Stop,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,20,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:Revert,Start,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,21,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:Revert,Stop,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,22,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:ProtectedBitmap,Start,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,23,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:ProtectedBitmap,Stop,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,24,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:FlushHoldFs,Start,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,25,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:FlushHoldFs,Stop,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,26,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:ActivateLoop,Start,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,27,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:ActivateLoop,Stop,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,28,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:ValidateFiles,Start,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,29,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:ValidateFiles,Stop,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,30,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:VolumeSafe,Start,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,31,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:VolumeSafe,Stop,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,32,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:DiscoverSnapshots,Start,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,33,0,Microsoft-Windows-VolumeSnapshot-Driver/Analytic,vs:DiscoverSnapshots,Stop,vs:Diagnostic,
Microsoft-Windows-VolumeSnapshot-Driver,Information,100,0,Microsoft-Windows-VolumeSnapshot-Driver/Operational,,Start,,The volume snapshot driver has begun processing for volume online.Volume GUID: {VolumeGuid}Guidance:When a volume is brought online the volume snapshot driver scans for any persistent snapshots that may be on the volume.You should expect this event when a volume is brought online.  No user action is required.
Microsoft-Windows-VolumeSnapshot-Driver,Information,101,0,Microsoft-Windows-VolumeSnapshot-Driver/Operational,,Stop,,The volume snapshot driver has completed processing for volume online.Volume GUID: {VolumeGuid}Guidance:The volume snapshot driver was able to scan for any persistent snapshots on this volume.You should expect this event when a volume is brought online.  No user action is required.
Microsoft-Windows-VolumeSnapshot-Driver,Error,102,0,Microsoft-Windows-VolumeSnapshot-Driver/Operational,,Stop,,The volume snapshot driver encountered an error while performing processing for volume online.Error: {Error}Volume GUID: {VolumeGuid}Guidance:When a volume is brought online the volume snapshot driver scans for any persistent snapshots that may be on the volume.  In case of an error this scan is not performed.  The error may have originated in storage drivers beneath the volume snapshot driver; check their logs.If the error is STATUS_DEVICE_NOT_CONNECTED this means the volume is in snapshot protection mode and has been taken offline to prevent loss of snapshots.
Microsoft-Windows-VolumeSnapshot-Driver,Information,103,0,Microsoft-Windows-VolumeSnapshot-Driver/Operational,,Start,,Activation of discovered snapshots began.Volume GUID: {VolumeGuid}Guidance:When a volume is brought online or reverted to a snapshot; the volume snapshot driver scans for and activates any persistent snapshots that may be on the volume.You should expect this event when a volume is brought online or reverted to a snapshot.  No user action is required.
Microsoft-Windows-VolumeSnapshot-Driver,Information,104,0,Microsoft-Windows-VolumeSnapshot-Driver/Operational,,Stop,,Activation of discovered snapshots completed.Volume GUID: {VolumeGuid}Total Number of Snapshots Found: {SnapshotCount}Number of Snapshots Marked for Delete: {CountDeleted}Number of Visible Snapshots Found: {CountVisible}Guidance:When a volume is brought online or reverted to a snapshot; the volume snapshot driver scans for and activates any persistent snapshots that may be on the volume.  Some snapshots may be marked 'visible'; meaning they were exposed as a local volume or file share.  Some detected snapshots may be marked 'deleted'; meaning they are no longer available for use and their diff area space will be reclaimed when all older snapshots are deleted.  Look for instances of event 106 to see each snapshot that was discovered and whether it was 'visible' or 'deleted'.You should expect this event when a volume is brought online or reverted to a snapshot.  No user action is required.
Microsoft-Windows-VolumeSnapshot-Driver,Error,105,0,Microsoft-Windows-VolumeSnapshot-Driver/Operational,,Stop,,Activation of discovered snapshots encountered an error.Error: {Error}Volume GUID: {VolumeGuid}Guidance:When a volume is brought online or reverted to a snapshot; the volume snapshot driver scans for and activates any persistent snapshots that may be on the volume.  Unless the volume is in snapshot protection mode or the error code indicates the volume is offline; a failure during this process results in loss of all snapshots on the volume.
Microsoft-Windows-VolumeSnapshot-Driver,Information,106,0,Microsoft-Windows-VolumeSnapshot-Driver/Operational,,,,A persistent snapshot was activated.Volume GUID: {VolumeGuid}Snapshot GUID: {SnapshotGuid}Snapshot Marked Deleted: {Deleted}Snapshot Visible: {Visible}Snapshot Commit Timestamp: {CommitTime}Guidance:When a volume is brought online or reverted to a snapshot; the volume snapshot driver scans for and activates any persistent snapshots that may be on the volume.  If the snapshot is 'visible'; it was exposed as a local volume or file share.  If the snapshot is 'deleted'; it is no longer available for use and its diff area space will be reclaimed when all older snapshots are deleted.You should expect this event when a volume containing persistent snapshots is brought online or reverted to a snapshot.  If all discovered snapshots are successfully activated you should expect event 104; otherwise you will see event 105.  No user action is required.
