Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-Disk,Information,1,1,Microsoft-Windows-Disk/Operational,Disk Cache Information,OpCodeDiskCacheInfo,DiskCache,Disk Cache Information
Microsoft-Windows-Disk,Information,201,1,Microsoft-Windows-Storage-Disk/Analytic,Class,,IO Performance measurement,Request servicing time taken by lower driver stack(s).
Microsoft-Windows-Disk,Information,202,1,Microsoft-Windows-Storage-Disk/Diagnose,Class,Dispatching of request.,Read request,Dispatching a read request.
Microsoft-Windows-Disk,Information,203,1,Microsoft-Windows-Storage-Disk/Diagnose,Class,Dispatching of request.,Write request,Dispatching a write request.
Microsoft-Windows-Disk,Information,204,1,Microsoft-Windows-Storage-Disk/Diagnose,Class,Dispatching of request.,Read request Paging Read request,Dispatching a read request.
Microsoft-Windows-Disk,Information,205,1,Microsoft-Windows-Storage-Disk/Diagnose,Class,Dispatching of request.,Write request Paging Write request,Dispatching a write request.
Microsoft-Windows-Disk,Information,206,1,Microsoft-Windows-Storage-Disk/Diagnose,Class,Dispatching of request.,Read request Low memory Read request,Dispatching a read request.
Microsoft-Windows-Disk,Information,207,1,Microsoft-Windows-Storage-Disk/Diagnose,Class,Dispatching of request.,Write request Low memory write request,Dispatching a write request.
Microsoft-Windows-Disk,Information,208,1,Microsoft-Windows-Storage-Disk/Diagnose,Class,Completion of request.,Read request Write request Paging Read request Paging Write request Low memory Read request Low memory write request,Completing an IO (read/write) request.
Microsoft-Windows-Disk,Information,209,1,Microsoft-Windows-Storage-Disk/Diagnose,Class,Retry handling.,Read request Write request Paging Read request Paging Write request Low memory Read request Low memory write request,Retrying an IO (read/write) request.
Microsoft-Windows-Disk,Information,210,1,Microsoft-Windows-Storage-Disk/Diagnose,Class,,Flush request,Flush request.
Microsoft-Windows-Disk,Information,211,1,Microsoft-Windows-Storage-Disk/Diagnose,Class,Completion of request.,Flush request,Flush request.
Microsoft-Windows-Disk,Information,212,1,Microsoft-Windows-Storage-Disk/Diagnose,Class,Dispatching of request.,Device I/O control request,Dispatching an IOCTL.
Microsoft-Windows-Disk,Information,213,1,Microsoft-Windows-Storage-Disk/Diagnose,Class,Dispatching of request.,WMI request,Dispatching a WMI request.
Microsoft-Windows-Disk,Information,214,1,Microsoft-Windows-Storage-Disk/Diagnose,Class,Completion of request.,Device I/O control request WMI request,Completing a non-read/write request.
Microsoft-Windows-Disk,Information,215,1,Microsoft-Windows-Storage-Disk/Diagnose,Class,Dispatching of request.,,Dispatching a power request.
Microsoft-Windows-Disk,Information,216,1,Microsoft-Windows-Storage-Disk/Diagnose,Class,Completion of request.,,Completing a power request.
Microsoft-Windows-Disk,Information,217,1,Microsoft-Windows-Storage-Disk/Diagnose,Class,Dispatching of request.,,Dispatching a PnP request.
Microsoft-Windows-Disk,Information,218,1,Microsoft-Windows-Storage-Disk/Diagnose,Class,Completion of request.,,Completing a PnP request.
Microsoft-Windows-Disk,Information,219,1,Microsoft-Windows-Storage-Disk/Diagnose,Class,Completion of request.,,Completing a PnP enumeration request.
Microsoft-Windows-Disk,Information,220,1,Microsoft-Windows-Storage-Disk/Diagnose,Class,Queue-related operation.,,Performing a queue-related operation.
Microsoft-Windows-Disk,Information,221,1,Microsoft-Windows-Storage-Disk/Diagnose,Class,Dispatching of request.,Pass-Through request Device I/O control request,Dispatching a PassThrough request.
