Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-SMBServer,Information,1,2,Microsoft-Windows-SMBServer/Performance,Smb2RequestNegotiate,,Request,SMB2 Request Negotiate
Microsoft-Windows-SMBServer,Information,2,2,Microsoft-Windows-SMBServer/Performance,Smb2RequestSessionSetup,,Request,SMB2 Request Session Setup
Microsoft-Windows-SMBServer,Information,3,2,Microsoft-Windows-SMBServer/Performance,Smb2RequestLogoff,,Request,SMB2 Request Logoff
Microsoft-Windows-SMBServer,Information,4,2,Microsoft-Windows-SMBServer/Performance,Smb2RequestTreeConnect,,Request,SMB2 Request Tree Connect
Microsoft-Windows-SMBServer,Information,5,2,Microsoft-Windows-SMBServer/Performance,Smb2RequestTreeDisconnect,,Request,SMB2 Request Tree Disconnect
Microsoft-Windows-SMBServer,Information,6,2,Microsoft-Windows-SMBServer/Performance,Smb2RequestEcho,,Request,SMB2 Request Echo
Microsoft-Windows-SMBServer,Information,7,2,Microsoft-Windows-SMBServer/Performance,Smb2RequestCancel,,Request,SMB2 Request Cancel
Microsoft-Windows-SMBServer,Information,8,2,Microsoft-Windows-SMBServer/Performance,Smb2RequestCreate,,Request,SMB2 Request Create
Microsoft-Windows-SMBServer,Information,9,2,Microsoft-Windows-SMBServer/Performance,Smb2RequestClose,,Request,SMB2 Request Close
Microsoft-Windows-SMBServer,Information,10,2,Microsoft-Windows-SMBServer/Performance,Smb2RequestFlush,,Request,SMB2 Request Flush
Microsoft-Windows-SMBServer,Information,11,2,Microsoft-Windows-SMBServer/Performance,Smb2RequestRead,,Request,SMB2 Request Read
Microsoft-Windows-SMBServer,Information,12,2,Microsoft-Windows-SMBServer/Performance,Smb2RequestWrite,,Request,SMB2 Request Write
Microsoft-Windows-SMBServer,Information,13,2,Microsoft-Windows-SMBServer/Performance,Smb2RequestBreakOplock,,Request,SMB2 Request Break Oplock
Microsoft-Windows-SMBServer,Information,14,2,Microsoft-Windows-SMBServer/Performance,Smb2RequestNotifyBreakLease,,Request,SMB2 Request Notify Break Lease
Microsoft-Windows-SMBServer,Information,15,2,Microsoft-Windows-SMBServer/Performance,Smb2RequestAcknowledgeBreakLease,,Request,SMB2 Request Acknowledge Break Lease
Microsoft-Windows-SMBServer,Information,16,2,Microsoft-Windows-SMBServer/Performance,Smb2RequestLock,,Request,SMB2 Request Lock
Microsoft-Windows-SMBServer,Information,17,2,Microsoft-Windows-SMBServer/Performance,Smb2RequestIoctl,,Request,SMB2 Request Ioctl
Microsoft-Windows-SMBServer,Information,18,2,Microsoft-Windows-SMBServer/Performance,Smb2RequestQueryDirectory,,Request,SMB2 Request Query Directory
Microsoft-Windows-SMBServer,Information,19,2,Microsoft-Windows-SMBServer/Performance,Smb2RequestChangeNotify,,Request,SMB2 Request Change Notify
Microsoft-Windows-SMBServer,Information,20,2,Microsoft-Windows-SMBServer/Performance,Smb2RequestQueryInfo,,Request,SMB2 Request Query Info
Microsoft-Windows-SMBServer,Information,21,2,Microsoft-Windows-SMBServer/Performance,Smb2RequestSetInfo,,Request,SMB2 Request Set Info
Microsoft-Windows-SMBServer,Information,101,2,Microsoft-Windows-SMBServer/Performance,Smb2ResponseNegotiate,,Response,SMB2 Response Negotiate
Microsoft-Windows-SMBServer,Information,102,2,Microsoft-Windows-SMBServer/Performance,Smb2ResponseSessionSetup,,Response,SMB2 Response Session Setup
Microsoft-Windows-SMBServer,Information,103,2,Microsoft-Windows-SMBServer/Performance,Smb2ResponseLogoff,,Response,SMB2 Response Logoff
Microsoft-Windows-SMBServer,Information,104,2,Microsoft-Windows-SMBServer/Performance,Smb2ResponseTreeConnect,,Response,SMB2 Response Tree Connect
Microsoft-Windows-SMBServer,Information,105,2,Microsoft-Windows-SMBServer/Performance,Smb2ResponseTreeDisconnect,,Response,SMB2 Response Tree Disconnect
Microsoft-Windows-SMBServer,Information,106,2,Microsoft-Windows-SMBServer/Performance,Smb2ResponseEcho,,Response,SMB2 Response Echo
Microsoft-Windows-SMBServer,Information,108,2,Microsoft-Windows-SMBServer/Performance,Smb2ResponseCreate,,Response,SMB2 Response Create
Microsoft-Windows-SMBServer,Information,109,2,Microsoft-Windows-SMBServer/Performance,Smb2ResponseClose,,Response,SMB2 Response Close
Microsoft-Windows-SMBServer,Information,110,2,Microsoft-Windows-SMBServer/Performance,Smb2ResponseFlush,,Response,SMB2 Response Flush
Microsoft-Windows-SMBServer,Information,111,2,Microsoft-Windows-SMBServer/Performance,Smb2ResponseRead,,Response,SMB2 Response Read
Microsoft-Windows-SMBServer,Information,112,2,Microsoft-Windows-SMBServer/Performance,Smb2ResponseWrite,,Response,SMB2 Response Write
Microsoft-Windows-SMBServer,Information,113,2,Microsoft-Windows-SMBServer/Performance,Smb2ResponseBreakOplock,,Response,SMB2 Response Break Oplock
Microsoft-Windows-SMBServer,Information,115,2,Microsoft-Windows-SMBServer/Performance,Smb2ResponseAcknowledgeBreakLease,,Response,SMB2 Response Acknowledge Break Lease
Microsoft-Windows-SMBServer,Information,116,2,Microsoft-Windows-SMBServer/Performance,Smb2ResponseLock,,Response,SMB2 Response Lock
Microsoft-Windows-SMBServer,Information,117,2,Microsoft-Windows-SMBServer/Performance,Smb2ResponseIoctl,,Response,SMB2 Response Ioctl
Microsoft-Windows-SMBServer,Information,118,2,Microsoft-Windows-SMBServer/Performance,Smb2ResponseQueryDirectory,,Response,SMB2 Response Query Directory
Microsoft-Windows-SMBServer,Information,119,2,Microsoft-Windows-SMBServer/Performance,Smb2ResponseChangeNotify,,Response,SMB2 Response Change Notify
Microsoft-Windows-SMBServer,Information,120,2,Microsoft-Windows-SMBServer/Performance,Smb2ResponseQueryInfo,,Response,SMB2 Response Query Info
Microsoft-Windows-SMBServer,Information,121,2,Microsoft-Windows-SMBServer/Performance,Smb2ResponseSetInfo,,Response,SMB2 Response Set Info
Microsoft-Windows-SMBServer,Information,122,2,Microsoft-Windows-SMBServer/Performance,Smb2ResponseError,,Response,SMB2 Response Error
