Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-Crypto-DPAPI,Information,1,0,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,DPAPI created Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage}
Microsoft-Windows-Crypto-DPAPI,Information,2,0,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,DPAPI deleted Master key. 	GUID:	{MasterKeyGUID} 	User Storage Area:	{UserStorage}
Microsoft-Windows-Crypto-DPAPI,Information,3,0,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Master key access failed. 	GUID:			{MasterKeyGUID} 	Success:			{Success} 	Last error:		{LastError} 	Master key disposition:	{LastError}
Microsoft-Windows-Crypto-DPAPI,Information,4,0,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Password Change triggered. 	Status:	{Status}
Microsoft-Windows-Crypto-DPAPI,Information,5,0,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,
Microsoft-Windows-Crypto-DPAPI,Information,4097,0,Microsoft-Windows-Crypto-DPAPI/BackUpKeySvc,BackUp Service Operation,,BackUp Service Operation,
Microsoft-Windows-Crypto-DPAPI,Information,4098,0,Microsoft-Windows-Crypto-DPAPI/BackUpKeySvc,BackUp Service Operation,,BackUp Service Operation,
Microsoft-Windows-Crypto-DPAPI,Error,4099,0,Microsoft-Windows-Crypto-DPAPI/BackUpKeySvc,BackUp Service Operation,,BackUp Service Operation,DPAPI BackUp service setup of preferred backup keys failed. 	{FailureReason} 	Error code: {Status}
Microsoft-Windows-Crypto-DPAPI,Error,8193,0,Microsoft-Windows-Crypto-DPAPI/Debug,Master Key Operation,,Master Key Operation,System credentials creation in LSASS failed.  	Status:	{Status} 
Microsoft-Windows-Crypto-DPAPI,Error,8194,0,Microsoft-Windows-Crypto-DPAPI/Debug,Master Key Operation,,Master Key Operation,DPAPI Master key file open failed. 	FileName:	{FileName} 	Access:	{Access}
Microsoft-Windows-Crypto-DPAPI,Error,8195,0,Microsoft-Windows-Crypto-DPAPI/Debug,Master Key Operation,,Master Key Operation,
Microsoft-Windows-Crypto-DPAPI,Error,8196,0,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,
Microsoft-Windows-Crypto-DPAPI,Error,8197,0,Microsoft-Windows-Crypto-DPAPI/Debug,Data Protection Operation,,Data Protection Operation,DPAPI Protect failed . 	Status:	{Status} 	ReasonForFailure:	{ReasonForFailure}
Microsoft-Windows-Crypto-DPAPI,Error,8198,0,Microsoft-Windows-Crypto-DPAPI/Operational,Data Protection Operation,,Data Protection Operation,DPAPI Unprotect failed . 	Status:	{Status} 	ReasonForFailure:	{ReasonForFailure}
Microsoft-Windows-Crypto-DPAPI,Error,8199,0,Microsoft-Windows-Crypto-DPAPI/Operational,Master Key Operation,,Master Key Operation,Synchronization of Master keys failed.  	Credential Key Identifier:	{CredKeyIdentifier} 	User Name:	{UserName} 	User Sid:	{UserSid}
Microsoft-Windows-Crypto-DPAPI,Information,8200,0,Microsoft-Windows-Crypto-DPAPI/Operational,Diagnostic File Check,,Diagnostic File Check,Master key's record successfully logged to Diagnostic file. 	GUID:	{MasterKeyGUID} 	EncryptCredID:	{EncryptCredID} 	EncryptCredKey:	{EncryptCredKey}
Microsoft-Windows-Crypto-DPAPI,Error,8201,0,Microsoft-Windows-Crypto-DPAPI/Operational,Diagnostic File Check,,Diagnostic File Check,Master key's record failed to log to Diagnostic file. 	GUID:	{MasterKeyGUID}
