Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
LsaSrv,Error,100,0,Operational,,,,The security package does not cache the credentials needed to authenticate to the server.Package Name:	{PackageName}User Name:	{UserName}Domain Name:	{DomainName}Server Name:	{ServerName}Protected User:	{ProtectedUser}Error Code:	{ErrorCode}
LsaSrv,Warning,200,0,Operational,,,,A security package received a network logon request after the logoff completed.User Name:	{UserName}Domain Name:	{DomainName}Logon ID:	{LogonId}Logoff Time:	{LogoffTime}PID:	{PID}Program:	{Program}Principal Name:	{PrincipalName}Server Name:	{ServerName}Package Name:	{PackageName}Call Type:	{UserName}0Error Code:	{UserName}1
LsaSrv,Information,300,0,Operational,,,,Groups assigned to a new logon.New Logon:	Security ID:		{TargetUserSid}	Account Name:		{TargetUserName}	Account Domain:		{TargetDomainName}	Logon ID:		{TargetLogonId}	Logon GUID:		{TargetLogonGuid}Event in sequence:		{EventOrginal} of {EventCountTotal}Group Membership:		{SidList}
LsaSrv,Information,301,0,Operational,,,,Claims assigned to a new logon.New Logon:	Security ID:		{TargetUserSid}	Account Name:		{TargetUserName}	Account Domain:		{TargetDomainName}	Logon ID:		{TargetLogonId}	Logon GUID:		{TargetLogonGuid}	Logon Type:		{LogonType}Event in sequence:		{EventIdx} of {EventCountTotal}User Claims:		{UserClaims}Device Claims:		{TargetUserSid}0This event is generated when a new logon session is created and the user token associated with it contains user and/or device claims. The New Logon fields indicate the account that was logged on. If all the user and device claims in the user token cannot be accommodated in a single event; multiple such events are generated. The Event in sequence field indicates how many more events are generated for this logon session. Each user or device claim is represented in the following format:	ClaimID ClaimTypeID : Value1; Value2 … The common claim types are: 0 (Invalid Type); 1 (64-bit Integer; 2 (Unsigned 64-bit Integer); 3 (String); 4 (FQBN); 5 (SID); 6 (Boolean) and 16 (Blob). If the claim value exceeds the max allowed length then the string is terminated by ...
LsaSrv,Information,302,0,Operational,,,,User {UserSid} logged off notification is received.LogonId:	{LogonId}AuthorityName:	{AuthorityName}AccountName:	{AccountName}Timeout:	{Elapse} seconds
LsaSrv,Information,303,0,Operational,,,,The security package does not cache the user's sign on credentials.Package Name:	{PackageName}User Name:	{UserName}Domain Name:	{DomainName}Protected User:	{ProtectedUser}
LsaSrv,Information,320,0,Operational,,,,Automatic restart sign on successfully configured the autologon credentials for:	Account Name:		{UserName}	Account Domain:		{DomainName}
LsaSrv,Information,321,0,Operational,,,,Automatic restart sign on failed to configure the autologon credentials with error:{Error}
LsaSrv,Information,322,0,Operational,,,,
LsaSrv,Error,5000,0,System,,,,The security package {Package} generated an exception. The exception information is the data.
LsaSrv,Error,6027,0,System,,,,Could not upgrade the global secret {Secret}. Please check the status of all services in the system.
LsaSrv,Error,6033,0,System,,,,An anonymous session connected from {Client} has attempted to open an LSA policy handle on this machine. The attempt was rejected with STATUS_ACCESS_DENIED to prevent leaking security sensitive information to the anonymous caller. The application that made this attempt needs to be fixed. Please contact the application vendor. As a temporary workaround; this security measure can be disabled by setting the \HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\TurnOffAnonymousBlock DWORD value to 1. This message will be logged at most once a day.
LsaSrv,Warning,6035,0,System,,,,During a logon attempt; the user's security context accumulated too many security IDs. This is a very unusual situation. Remove the user from some global or local groups to reduce the number of security IDs to incorporate into the security context.User's SID is {SID}If this is the Administrator account; logging on in safe mode will enable Administrator to log on by automatically restricting group memberships.
LsaSrv,Warning,6036,0,System,,,,The program {Program}; with the assigned Process ID {PID}; supplied a NULL or empty target name for the pszTargetName parameter when calling the InitializeSecurityContext API to initiate an outbound NTLM security context. This is a security risk when mutual authentication is required.  To help protect against a malicious attack; make your code more secure. To do this; change the program so that it specifies a target name in the pszTargetName parameter field; and then recompile the code.
LsaSrv,Warning,6037,0,System,,,,The program {Program}; with the assigned process ID {PID}; could not authenticate locally by using the target name {TargetName}. The target name used is not valid. A target name should refer to one of the local computer names; for example; the DNS host name.  Try a different target name.
