Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-Bits-Client,Information,0,0,Microsoft-Windows-Bits-Client/Analytic,,Start,,
Microsoft-Windows-Bits-Client,Information,1,0,Microsoft-Windows-Bits-Client/Operational,,Resume,,BITS job '{Title}' with ID {JobGuid} has been resumed.
Microsoft-Windows-Bits-Client,Information,2,0,Microsoft-Windows-Bits-Client/Operational,,Suspend,,BITS job '{Title}' with ID {JobGuid} has been suspended.
Microsoft-Windows-Bits-Client,Information,3,0,Microsoft-Windows-Bits-Client/Operational,,,,The BITS service created a new job: {string}; with owner {string2}
Microsoft-Windows-Bits-Client,Information,3,1,Microsoft-Windows-Bits-Client/Operational,,,,The BITS service created a new job.Transfer job: {jobTitle}Job ID: {jobId}Owner: {jobOwner}
Microsoft-Windows-Bits-Client,Information,3,2,Microsoft-Windows-Bits-Client/Operational,,,,The BITS service created a new job.Transfer job: {jobTitle}Job ID: {jobId}Owner: {jobOwner}Process Path: {processPath}Process ID: {processId}
Microsoft-Windows-Bits-Client,Information,3,3,Microsoft-Windows-Bits-Client/Operational,,,,The BITS service created a new job.Transfer job: {jobTitle}Job ID: {jobId}Owner: {jobOwner}Process Path: {processPath}Process ID: {processId}
Microsoft-Windows-Bits-Client,Information,4,0,Microsoft-Windows-Bits-Client/Operational,,,,The transfer job is complete.User: {User}Transfer job: {jobTitle}Job ID: {jobId}Owner: {jobOwner}File count: {fileCount}
Microsoft-Windows-Bits-Client,Information,4,1,Microsoft-Windows-Bits-Client/Operational,,,,The transfer job is complete.User: {User}Transfer job: {jobTitle}Job ID: {jobId}Owner: {jobOwner}File count: {fileCount}
Microsoft-Windows-Bits-Client,Information,5,0,Microsoft-Windows-Bits-Client/Operational,,,,Job cancelled. User: {User}; job: {jobTitle}; jobID: {jobId}; owner: {jobOwner}; filecount: {fileCount}
Microsoft-Windows-Bits-Client,Information,5,1,Microsoft-Windows-Bits-Client/Operational,,,,Job cancelled. User: {User}; job: {jobTitle}; jobID: {jobId}; owner: {jobOwner}; filecount: {fileCount}
Microsoft-Windows-Bits-Client,Information,6,0,Microsoft-Windows-Bits-Client/Operational,,,,Command-line command set for job {jobId} with owner {jobOwner}. Program: {program} Args: {parameters}.
Microsoft-Windows-Bits-Client,Information,10,0,Microsoft-Windows-Bits-Client/Analytic,peer neighbor list (server) - listening for clients,Start,,
Microsoft-Windows-Bits-Client,Error,11,0,Microsoft-Windows-Bits-Client/Analytic,peer neighbor list (server) - listening for clients,Stop,,BITS was not able to listen for peer-client requests.  The error code was {ErrorCode}.  BITS jobs from other machines will not be able to use this machine as a peer server.  To fix this problem; try stopping the BITS service and restarting it.
Microsoft-Windows-Bits-Client,Information,12,0,Microsoft-Windows-Bits-Client/Analytic,peer neighbor list (server) - listening for clients,Stop,,
Microsoft-Windows-Bits-Client,Information,13,0,Microsoft-Windows-Bits-Client/Analytic,listen via WS-Discovery for server announcements,Start,,
Microsoft-Windows-Bits-Client,Error,14,0,Microsoft-Windows-Bits-Client/Analytic,listen via WS-Discovery for server announcements,Stop,,BITS was not able to listen for peer-server announcements.  The error code was {ErrorCode}.  BITS jobs on this machine will not be able to use peer-caching.  To fix this problem; try stopping the BITS service and restarting it.
Microsoft-Windows-Bits-Client,Information,15,0,Microsoft-Windows-Bits-Client/Analytic,listen via WS-Discovery for server announcements,Stop,,
Microsoft-Windows-Bits-Client,Information,16,0,Microsoft-Windows-Bits-Client/Analytic,listen via WS-Discovery for server announcements,,,
Microsoft-Windows-Bits-Client,Information,17,0,Microsoft-Windows-Bits-Client/Operational,,,,BITS has read the policy parameters for peer-caching.
Microsoft-Windows-Bits-Client,Warning,18,0,Microsoft-Windows-Bits-Client/Operational,listen via WS-Discovery for server announcements,denying or ignoring an incoming packet,,The peer list rejected an incoming server announcement. This event is generated if the request is not valid; not if the server is merely in a different Windows domain.
Microsoft-Windows-Bits-Client,Information,19,0,Microsoft-Windows-Bits-Client/Analytic,listen via WS-Discovery for server announcements,replying to an incoming request,,A new peer was added.
Microsoft-Windows-Bits-Client,Information,20,0,Microsoft-Windows-Bits-Client/Analytic,listen via WS-Discovery for server announcements,replying to an incoming request,,A peer was updated.
Microsoft-Windows-Bits-Client,Information,21,0,Microsoft-Windows-Bits-Client/Analytic,listen via WS-Discovery for server announcements,,,A peer was removed from the peer list.
