Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-Kernel-Dump,Information,1,0,Microsoft-Windows-Kernel-Dump/Operational,CrashDump Policy,Policy Operation Failed,,AllowCrashDump policy: {OperationType}.
Microsoft-Windows-Kernel-Dump,Information,2,0,Microsoft-Windows-Kernel-Dump/Operational,CrashDump Policy,Policy Value Changed,,AllowCrashDump policy value changed (AllowCrashDump = {PolicyValue}). Configure crash dump. NT status: {NTStatus}
Microsoft-Windows-Kernel-Dump,Information,3,0,Microsoft-Windows-Kernel-Dump/Operational,CrashDump Policy,CrashDump Disabled On Boot,,CrashDump disabled on boot by policy (AllowCrashDump = {PolicyValue}).
Microsoft-Windows-Kernel-Dump,Warning,4,0,Microsoft-Windows-Kernel-Dump/Operational,CrashDump Config,Dump Disable Failed,,Crash dump disable failed. NT status: {NTStatus}.
Microsoft-Windows-Kernel-Dump,Warning,5,0,Microsoft-Windows-Kernel-Dump/Operational,CrashDump Config,Dump Initialization Failed.,,Crash dump initialization failed. NT status: {NTStatus}.
Microsoft-Windows-Kernel-Dump,Warning,6,0,Microsoft-Windows-Kernel-Dump/Operational,CrashDump Config,Dump Load Driver Failed.,,Crash dump load driver failed. NT status: {NTStatus}.
Microsoft-Windows-Kernel-Dump,Warning,7,0,Microsoft-Windows-Kernel-Dump/Operational,CrashDump Config,Dump Stack Initialization Failed,,Crash dump dump stack initialization failed. NT status: {NTStatus}.
Microsoft-Windows-Kernel-Dump,Warning,8,0,Microsoft-Windows-Kernel-Dump/Operational,CrashDump Config,Free Dump Stack Failed,,Crash dump free dump stack failed. NT status: {NTStatus}.
Microsoft-Windows-Kernel-Dump,Warning,9,0,Microsoft-Windows-Kernel-Dump/Operational,CrashDump Config,Load Dump Stack Failed,,Crash dump load dump stack failed. NT status: {NTStatus}.
Microsoft-Windows-Kernel-Dump,Information,10,0,Microsoft-Windows-Kernel-Dump/Operational,CrashDump Config,Dump Disabled,,
Microsoft-Windows-Kernel-Dump,Information,11,0,Microsoft-Windows-Kernel-Dump/Operational,CrashDump Config,Dump Reconfigured,,Crash dump reconfigured. NT status: {NTStatus}.
Microsoft-Windows-Kernel-Dump,Information,12,0,Microsoft-Windows-Kernel-Dump/Operational,Dump Config,Dump disabled forcefully,,Dump disabled forcefully (ForceDumpDisabled: {ForceDumpDisabled}).
