Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-Kernel-Process,Information,1,0,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.
Microsoft-Windows-Kernel-Process,Information,1,1,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.
Microsoft-Windows-Kernel-Process,Information,1,2,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.
Microsoft-Windows-Kernel-Process,Information,1,3,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ProcessID}1.
Microsoft-Windows-Kernel-Process,Information,1,4,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ProcessID}1.Enabled security mitigations: {ProcessID}6.
Microsoft-Windows-Kernel-Process,Information,2,0,Microsoft-Windows-Kernel-Process/Analytic,ProcessStop,Stop,WINEVENT_KEYWORD_PROCESS,Process {ProcessID} (which started at time {ExitTime}) stopped at time {ExitCode} with exit code {TokenElevationType}.
Microsoft-Windows-Kernel-Process,Information,2,1,Microsoft-Windows-Kernel-Process/Analytic,ProcessStop,Stop,WINEVENT_KEYWORD_PROCESS,Process {ProcessID} (which started at time {CreateTime}) stopped at time {ExitTime} with exit code {ExitCode}.
Microsoft-Windows-Kernel-Process,Information,2,2,Microsoft-Windows-Kernel-Process/Analytic,ProcessStop,Stop,WINEVENT_KEYWORD_PROCESS,Process {ProcessID} (which started at time {CreateTime}) stopped at time {ExitTime} with exit code {ExitCode}.
Microsoft-Windows-Kernel-Process,Information,3,0,Microsoft-Windows-Kernel-Process/Analytic,ThreadStart,Start,WINEVENT_KEYWORD_THREAD,Thread {ThreadID} (in Process {ProcessID}) started.
Microsoft-Windows-Kernel-Process,Information,3,1,Microsoft-Windows-Kernel-Process/Analytic,ThreadStart,Start,WINEVENT_KEYWORD_THREAD,Thread {ThreadID} (in Process {ProcessID}) started.
Microsoft-Windows-Kernel-Process,Information,4,0,Microsoft-Windows-Kernel-Process/Analytic,ThreadStop,Stop,WINEVENT_KEYWORD_THREAD,Thread {ThreadID} (in Process {ProcessID}) stopped.
Microsoft-Windows-Kernel-Process,Information,4,1,Microsoft-Windows-Kernel-Process/Analytic,ThreadStop,Stop,WINEVENT_KEYWORD_THREAD,Thread {ThreadID} (in Process {ProcessID}) stopped.
Microsoft-Windows-Kernel-Process,Information,5,0,Microsoft-Windows-Kernel-Process/Analytic,ImageLoad,,WINEVENT_KEYWORD_IMAGE,Process {ProcessID} had an image loaded with name {ImageName}.
Microsoft-Windows-Kernel-Process,Information,6,0,Microsoft-Windows-Kernel-Process/Analytic,ImageUnload,,WINEVENT_KEYWORD_IMAGE,Process {ProcessID} had an image unloaded with name {ImageName}.
Microsoft-Windows-Kernel-Process,Information,7,0,Microsoft-Windows-Kernel-Process/Analytic,CpuBasePriorityChange,,WINEVENT_KEYWORD_CPU_PRIORITY,Base CPU priority of thread {ThreadID} in process {ProcessID} was changed from {OldPriority} to {NewPriority}.
Microsoft-Windows-Kernel-Process,Information,8,0,Microsoft-Windows-Kernel-Process/Analytic,CpuPriorityChange,,WINEVENT_KEYWORD_CPU_PRIORITY,CPU priority of thread {ThreadID} in process {ProcessID} was changed from {OldPriority} to {NewPriority}.
Microsoft-Windows-Kernel-Process,Information,9,0,Microsoft-Windows-Kernel-Process/Analytic,PagePriorityChange,,WINEVENT_KEYWORD_OTHER_PRIORITY,Page priority of thread {ThreadID} in process {ProcessID} was changed from {OldPriority} to {NewPriority}.
Microsoft-Windows-Kernel-Process,Information,10,0,Microsoft-Windows-Kernel-Process/Analytic,IoPriorityChange,,WINEVENT_KEYWORD_OTHER_PRIORITY,I/O priority of thread {ThreadID} in process {ProcessID} was changed from {OldPriority} to {NewPriority}.
Microsoft-Windows-Kernel-Process,Information,11,0,Microsoft-Windows-Kernel-Process/Analytic,ProcessFreeze,Start,WINEVENT_KEYWORD_PROCESS_FREEZE,Execution of the process {FrozenProcessID} has been suspended.
Microsoft-Windows-Kernel-Process,Information,11,1,Microsoft-Windows-Kernel-Process/Analytic,ProcessFreeze,Start,WINEVENT_KEYWORD_PROCESS_FREEZE,Execution of the process {FrozenProcessID} has been suspended.
Microsoft-Windows-Kernel-Process,Information,12,0,Microsoft-Windows-Kernel-Process/Analytic,ProcessFreeze,Stop,WINEVENT_KEYWORD_PROCESS_FREEZE,Execution of the process {FrozenProcessID} has been resumed.
Microsoft-Windows-Kernel-Process,Information,12,1,Microsoft-Windows-Kernel-Process/Analytic,ProcessFreeze,Stop,WINEVENT_KEYWORD_PROCESS_FREEZE,Execution of the process {FrozenProcessID} has been resumed.
Microsoft-Windows-Kernel-Process,Information,13,0,Microsoft-Windows-Kernel-Process/Analytic,JobStart,Start,WINEVENT_KEYWORD_JOB,Job {Container ID} started with status code {Job ID}.
Microsoft-Windows-Kernel-Process,Information,14,0,Microsoft-Windows-Kernel-Process/Analytic,JobTerminate,Stop,WINEVENT_KEYWORD_JOB,Job {Container ID} terminated with status code {Job ID}.
Microsoft-Windows-Kernel-Process,Information,15,0,Microsoft-Windows-Kernel-Process/Analytic,ProcessRundown,,WINEVENT_KEYWORD_PROCESS,Enumerated process {ProcessID} had started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.
Microsoft-Windows-Kernel-Process,Information,15,1,Microsoft-Windows-Kernel-Process/Analytic,ProcessRundown,,WINEVENT_KEYWORD_PROCESS,Enumerated process {ProcessID} had started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ProcessID}1.
Microsoft-Windows-Kernel-Process,Information,15,2,Microsoft-Windows-Kernel-Process/Analytic,ProcessRundown,,WINEVENT_KEYWORD_PROCESS,Enumerated process {ProcessID} had started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ProcessID}1.Enabled security mitigations: {ProcessID}6.
Microsoft-Windows-Kernel-Process,Information,16,0,,,,WINEVENT_KEYWORD_ENABLE_PROCESS_TRACING_CALLBACKS,
Microsoft-Windows-Kernel-Process,Information,17,0,Microsoft-Windows-Kernel-Process/Analytic,PsDiskIoAttribution,Start,WINEVENT_KEYWORD_JOB_IO,
