Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-NCSI,Warning,2001,0,Microsoft-Windows-NCSI/Analytic,Wait for Corporate Connectivity,,LwtDiagnostic,Corporate connectivity check will be skipped. Reason: {CorpCheckDisabledReason}
Microsoft-Windows-NCSI,Information,2002,0,Microsoft-Windows-NCSI/Analytic,Wait for Corporate Connectivity,,LwtDiagnostic,
Microsoft-Windows-NCSI,Warning,2003,0,Microsoft-Windows-NCSI/Analytic,Check Corporate Inside/outside Location,,LwtDiagnostic,Corporate inside/outside location check will be skipped. Reason: {CorpCheckDisabledReason}
Microsoft-Windows-NCSI,Information,2004,0,Microsoft-Windows-NCSI/Analytic,Check Corporate Inside/outside Location,,LwtDiagnostic,
Microsoft-Windows-NCSI,Information,4001,0,Microsoft-Windows-NCSI/Analytic,Wait for NetReady,,,Entered State: {CurrentOrNextState} Interface Luid: {IfLuid}
Microsoft-Windows-NCSI,Information,4002,0,Microsoft-Windows-NCSI/Analytic,Wait for NetReady,,,Transitioning to State: {CurrentOrNextState} Interface Luid: {IfLuid}
Microsoft-Windows-NCSI,Information,4003,0,Microsoft-Windows-NCSI/Analytic,Wait for Local Connectivity,,,Entered State: {CurrentOrNextState} Interface Luid: {IfLuid}
Microsoft-Windows-NCSI,Information,4004,0,Microsoft-Windows-NCSI/Analytic,Wait for Local Connectivity,,,Transitioning to State: {CurrentOrNextState} Interface Luid: {IfLuid}
Microsoft-Windows-NCSI,Information,4005,0,Microsoft-Windows-NCSI/Analytic,Wait for Internet Connectivity,,,Entered State: {CurrentOrNextState} Interface Luid: {IfLuid}
Microsoft-Windows-NCSI,Information,4006,0,Microsoft-Windows-NCSI/Analytic,Wait for Internet Connectivity,,,Transitioning to State: {CurrentOrNextState} Interface Luid: {IfLuid}
Microsoft-Windows-NCSI,Information,4007,0,Microsoft-Windows-NCSI/Analytic,Wait for Corporate Connectivity,,,Entered State: {CurrentOrNextState} Interface Luid: {IfLuid}
Microsoft-Windows-NCSI,Information,4008,0,Microsoft-Windows-NCSI/Analytic,Wait for Corporate Connectivity,,,Transitioning to State: {CurrentOrNextState} Interface Luid: {IfLuid}
Microsoft-Windows-NCSI,Information,4009,0,Microsoft-Windows-NCSI/Operational,Check Corporate Inside/outside Location,,LwtDiagnostic,Inside/Outside detection started for interface {IfLuid}.
Microsoft-Windows-NCSI,Information,4010,0,Microsoft-Windows-NCSI/Operational,Check Corporate Inside/outside Location,,LwtDiagnostic,Inside/Outside detection finished for interface {IfLuid} ({CorporateLocation}).
Microsoft-Windows-NCSI,Information,4011,0,Microsoft-Windows-NCSI/Operational,Check Corporate Inside/outside Location,,,
Microsoft-Windows-NCSI,Warning,4012,0,Microsoft-Windows-NCSI/Operational,Check Corporate Inside/outside Location,,LwtDiagnostic,Inside/Outside probe failed for interface {IfLuid}.Error: {ErrorString} ({ErrorCode})Host: {ProbeHost}/{ProbePath}Next retry: {RetryInterval} second(s).
Microsoft-Windows-NCSI,Information,4013,0,Microsoft-Windows-NCSI/Analytic,Internet Connectivity Detection,Start,LwtDiagnostic,Active Internet Probe started on interface {InterfaceGuid}
Microsoft-Windows-NCSI,Information,4014,0,Microsoft-Windows-NCSI/Analytic,Internet Connectivity Detection,Stop,LwtDiagnostic,Active Internet Probe finished on interface {InterfaceGuid} ({Succeeded})
Microsoft-Windows-NCSI,Information,4015,0,Microsoft-Windows-NCSI/Analytic,Internet Connectivity Detection,Start,LwtDiagnostic,Active Internet Probe (DNS) started on interface {InterfaceGuid}
Microsoft-Windows-NCSI,Information,4016,0,Microsoft-Windows-NCSI/Analytic,Internet Connectivity Detection,Stop,LwtDiagnostic,Active Internet Probe (DNS) finished on interface {InterfaceGuid}
Microsoft-Windows-NCSI,Information,4017,0,Microsoft-Windows-NCSI/Analytic,Internet Connectivity Detection,Start,LwtDiagnostic,Active Internet Probe (HTTP) started on interface {InterfaceGuid}
Microsoft-Windows-NCSI,Information,4018,0,Microsoft-Windows-NCSI/Analytic,Internet Connectivity Detection,Stop,LwtDiagnostic,Active Internet Probe (HTTP) finished on interface {InterfaceGuid}
Microsoft-Windows-NCSI,Information,4019,0,Microsoft-Windows-NCSI/Analytic,Corporate Connectivity Detection,Start,,Active Corp Probe started on interface {InterfaceGuid}
Microsoft-Windows-NCSI,Information,4020,0,Microsoft-Windows-NCSI/Analytic,Corporate Connectivity Detection,Stop,,Active Corp Probe finished on interface {InterfaceGuid} ({Succeeded})
Microsoft-Windows-NCSI,Information,4021,0,Microsoft-Windows-NCSI/Analytic,Corporate Connectivity Detection,Start,LwtDiagnostic,Active Corp Probe (DNS) started on interface {InterfaceGuid}
Microsoft-Windows-NCSI,Information,4022,0,Microsoft-Windows-NCSI/Analytic,Corporate Connectivity Detection,Stop,LwtDiagnostic,Active Corp Probe (DNS) finished on interface {InterfaceGuid}
Microsoft-Windows-NCSI,Information,4023,0,Microsoft-Windows-NCSI/Analytic,Corporate Connectivity Detection,Start,LwtDiagnostic,Active Corp Probe (HTTP) started on interface {InterfaceGuid}
Microsoft-Windows-NCSI,Information,4024,0,Microsoft-Windows-NCSI/Analytic,Corporate Connectivity Detection,Stop,LwtDiagnostic,Active Corp Probe (HTTP) finished on interface {InterfaceGuid}
Microsoft-Windows-NCSI,Information,4025,0,Microsoft-Windows-NCSI/Analytic,Proxy Detection,Start,LwtDiagnostic,
Microsoft-Windows-NCSI,Information,4026,0,Microsoft-Windows-NCSI/Analytic,Proxy Detection,Stop,LwtDiagnostic,Proxy Detection stopped (HasProxy={ErrorCode})
Microsoft-Windows-NCSI,Information,4027,0,Microsoft-Windows-NCSI/Analytic,Internet Connectivity Detection,,,Opportunistic Internet flag on interface {InterfaceGuid} for family {Family} marked
Microsoft-Windows-NCSI,Information,4029,0,Microsoft-Windows-NCSI/Analytic,Suspect state,,,Entered suspect state on interface {IfLuid} (Family: {Family} Reason: {SuspectStateReason})
Microsoft-Windows-NCSI,Information,4030,0,Microsoft-Windows-NCSI/Analytic,Suspect state,,,Suspect state cancelled on interface {IfLuid} (Family: {Family})
Microsoft-Windows-NCSI,Information,4031,0,Microsoft-Windows-NCSI/Analytic,Suspect state,,,Suspect state expired on interface {IfLuid} (Family: {Family})
Microsoft-Windows-NCSI,Information,4032,0,Microsoft-Windows-NCSI/Analytic,Corporate Suspect state,,,Entered corporate suspect state on interface {IfLuid}
Microsoft-Windows-NCSI,Information,4033,0,Microsoft-Windows-NCSI/Analytic,Corporate Suspect state,,,Corporate suspect state cancelled on interface {IfLuid}
Microsoft-Windows-NCSI,Information,4034,0,Microsoft-Windows-NCSI/Analytic,Corporate Suspect state,,,Corporate suspect state expired on interface {IfLuid}
Microsoft-Windows-NCSI,Information,4035,0,Microsoft-Windows-NCSI/Analytic,Internet Connectivity Detection,,,Cancelling hotspot detection scenario for interface {InterfaceGuid}
Microsoft-Windows-NCSI,Information,4036,0,Microsoft-Windows-NCSI/Analytic,Check Corporate Inside/outside Location,,,
Microsoft-Windows-NCSI,Information,4037,0,Microsoft-Windows-NCSI/Analytic,Internet Connectivity Detection,,,Starting hotspot detection for family {Family} on interface {IfLuid}
Microsoft-Windows-NCSI,Information,4038,0,Microsoft-Windows-NCSI/Operational,Internet Connectivity Detection,,,Hotspot detected on interface {IfLuid} (Family: {Family})
Microsoft-Windows-NCSI,Information,4039,0,Microsoft-Windows-NCSI/Analytic,Internet Connectivity Detection,,,Hotspot not detected on interface {IfLuid} (Family: {Family})
Microsoft-Windows-NCSI,Information,4040,0,Microsoft-Windows-NCSI/Analytic,,,LwtDiagnostic,Interface {ConnectedInterfaceGuid} ({IfLuid}) has been connected
Microsoft-Windows-NCSI,Information,4041,0,Microsoft-Windows-NCSI/Analytic,,,LwtDiagnostic,Interface {DisconnectedInterfaceGuid} ({IfLuid}) has been disconnected
Microsoft-Windows-NCSI,Information,4042,0,Microsoft-Windows-NCSI/Operational,,,LwtDiagnostic,Capability change on {InterfaceGuid} ({IfLuid} Family: {Family} Capability: {Capability} ChangeReason: {CapabilityChangeReason})
Microsoft-Windows-NCSI,Information,4043,0,Microsoft-Windows-NCSI/Analytic,,,LwtDiagnostic,Proxied capability change on {InterfaceGuid} ({IfLuid} Family: {Family} ProxiedCapability: {ProxiedCapability})
Microsoft-Windows-NCSI,Information,4044,0,Microsoft-Windows-NCSI/Analytic,,,LwtDiagnostic,Passive Poll state change (ShouldPassivePollRun: {ShouldPassivePollRun} WasPassivePollRunning: {WasPassivePollRunning} IsPassivePollAllowed: {IsPassivePollAllowed} ClientPresent: {ClientPresent} UserPresent: {UserPresent} NetworkQuietMode: {NetworkQuietMode} DeadUserPollCount: {DeadUserPollCount} DeadNetPollCountV4: {DeadNetPollCountV4} DeadNetPollCountV6: {DeadNetPollCountV6})
Microsoft-Windows-NCSI,Information,4045,0,Microsoft-Windows-NCSI/Analytic,,,LwtDiagnostic,NetReady update on {InterfaceGuid} ({IfLuid} Family: {Family} NetReady: {NetReady})
Microsoft-Windows-NCSI,Information,4046,0,Microsoft-Windows-NCSI/Analytic,,,LwtDiagnostic,Corporate connectivity change on {InterfaceGuid} ({IfLuid} Family: {Family} HasCorporateConnectivity: {HasCorporateConnectivity})
Microsoft-Windows-NCSI,Information,4047,0,Microsoft-Windows-NCSI/Analytic,,,LwtDiagnostic,Default gateway is set on {InterfaceGuid} ({IfLuid} Family: {Family} GatewayIP: {IpAddress} GatewayMAC: {MacAddress} KnownHotspot: {KnownHotspot} KnownOppInternet: {KnownOppInternet} KnownProxiedOppInternet: {InterfaceGuid}0)
Microsoft-Windows-NCSI,Information,4048,0,Microsoft-Windows-NCSI/Analytic,,,LwtDiagnostic,Next hop to Internet has changed on {InterfaceGuid} ({IfLuid} Family: {Family} HasNextHopToInternet: {HasNextHopToInternet} NextHopAddress: {NextHopAddress})
Microsoft-Windows-NCSI,Information,4049,0,Microsoft-Windows-NCSI/Analytic,,,LwtDiagnostic,Preferred address change on {InterfaceGuid} ({IfLuid} Family: {Family} HasPreferredAddress: {HasPreferredAddress} AddressSuffixOrigins: {AddressSuffixOrigins})
Microsoft-Windows-NCSI,Information,4050,0,Microsoft-Windows-NCSI/Analytic,,,LwtDiagnostic,Preferred global address change on {InterfaceGuid} ({IfLuid} Family: {Family} HasPreferredGlobalAddress: {HasPreferredGlobalAddress} AddressSuffixOrigins: {AddressSuffixOrigins})
Microsoft-Windows-NCSI,Warning,4051,0,Microsoft-Windows-NCSI/Analytic,,,LwtDiagnostic,Active probe result code on interface {InterfaceGuid} ({IfLuid} Family: {Family}) = {ActiveProbeResultCode}
Microsoft-Windows-NCSI,Information,4052,0,Microsoft-Windows-NCSI/Analytic,,,LwtDiagnostic,Interface diagnostic for {InterfaceGuid} ({IfLuid}): IPv4 address: {HasPreferredGlobalAddressIPv4}; IPv6 address: {HasPreferredGlobalAddressIPv6}; IPv4 capability: {InternetCapabilityIPv4}; IPv6 capability: {InternetCapabilityIPv6}; IPv4 test used: {InternetTestIPv4}; IPv6 test used: {InternetTestIPv6}
Microsoft-Windows-NCSI,Information,4053,0,Microsoft-Windows-NCSI/Analytic,,,LwtDiagnostic,
Microsoft-Windows-NCSI,Information,4054,0,Microsoft-Windows-NCSI/Analytic,,,LwtDiagnostic,
