Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-ReFsDedupSvc,Information,1,0,Microsoft-Windows-ReFsDedupSvc/Operational,Status,Start,ReFs Dedup Service,
Microsoft-Windows-ReFsDedupSvc,Information,2,0,Microsoft-Windows-ReFsDedupSvc/Operational,Status,Stop,ReFs Dedup Service,
Microsoft-Windows-ReFsDedupSvc,Information,3,0,Microsoft-Windows-ReFsDedupSvc/Operational,Status,Start,ReFs Dedup Job ReFs Dedup Volume,
Microsoft-Windows-ReFsDedupSvc,Information,4,1,Microsoft-Windows-ReFsDedupSvc/Operational,Status,Stop,ReFs Dedup Job ReFs Dedup Volume,
Microsoft-Windows-ReFsDedupSvc,Information,5,0,Microsoft-Windows-ReFsDedupSvc/Operational,Status,,ReFs Dedup Volume,
Microsoft-Windows-ReFsDedupSvc,Information,6,0,Microsoft-Windows-ReFsDedupSvc/Operational,Status,Start,ReFs Dedup Volume,
Microsoft-Windows-ReFsDedupSvc,Information,7,0,Microsoft-Windows-ReFsDedupSvc/Operational,Status,Stop,ReFs Dedup Volume,
Microsoft-Windows-ReFsDedupSvc,Warning,8,0,Microsoft-Windows-ReFsDedupSvc/Operational,Status,,ReFs Dedup Job ReFs Dedup Volume,
Microsoft-Windows-ReFsDedupSvc,Warning,9,0,Microsoft-Windows-ReFsDedupSvc/Operational,Status,,ReFs Dedup Volume,
Microsoft-Windows-ReFsDedupSvc,Warning,10,0,Microsoft-Windows-ReFsDedupSvc/Operational,Status,,ReFs Dedup Volume,
Microsoft-Windows-ReFsDedupSvc,Error,11,0,Microsoft-Windows-ReFsDedupSvc/Operational,Status,,ReFs Dedup Volume,
Microsoft-Windows-ReFsDedupSvc,Information,12,0,Microsoft-Windows-ReFsDedupSvc/Operational,Status,,ReFs Dedup Volume,
Microsoft-Windows-ReFsDedupSvc,Error,13,0,Microsoft-Windows-ReFsDedupSvc/Operational,Status,Stop,ReFs Dedup Job ReFs Dedup Volume,
Microsoft-Windows-ReFsDedupSvc,Information,14,0,Microsoft-Windows-ReFsDedupSvc/Operational,Status,,ReFs Dedup Volume,
Microsoft-Windows-ReFsDedupSvc,Warning,15,0,Microsoft-Windows-ReFsDedupSvc/Operational,Status,,ReFs Dedup Volume,
