Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-Kernel-Boot,Information,1,0,Microsoft-Windows-Kernel-Boot/Analytic,,,,System was booted in {Width}x{Height}@{BitsPerPixel}bpp.
Microsoft-Windows-Kernel-Boot,Information,2,0,Microsoft-Windows-Kernel-Boot/Analytic,,,,BootUX screen was displayed in {Width}x{Height}@{BitsPerPixel}bpp.
Microsoft-Windows-Kernel-Boot,Information,3,0,Microsoft-Windows-Kernel-Boot/Analytic,,,,Video bit transfer rate is {BytesPerMs} bytes per ms.
Microsoft-Windows-Kernel-Boot,Information,4,0,Microsoft-Windows-Kernel-Boot/Analytic,,,,Boot library accessed file {FileName} on Device {DeviceID}. Read {BytesRead} bytes and wrote {BytesWritten} bytes.
Microsoft-Windows-Kernel-Boot,Information,5,0,Microsoft-Windows-Kernel-Boot/Analytic,,,,File IO for boot application {ApplicationGuid}: Total Bytes Read = {BytesRead}; Total Bytes Written = {BytesWritten}.
Microsoft-Windows-Kernel-Boot,Information,6,0,Microsoft-Windows-Kernel-Boot/Analytic,,,,Image {ImageName} failed IntegrityCheck reason is {Reason}. Image flags are {ImageFlags}. Error ignored due to debugger {ErrorIgnored}.
Microsoft-Windows-Kernel-Boot,Information,7,0,Microsoft-Windows-Kernel-Boot/Analytic,,,,Bootmgr duration is {BootmgrTime} milliseconds.
Microsoft-Windows-Kernel-Boot,Warning,8,0,Microsoft-Windows-Kernel-Boot/Analytic,,,,Image {ImageName} is not self-signed.
Microsoft-Windows-Kernel-Boot,Warning,9,0,Microsoft-Windows-Kernel-Boot/Analytic,,,,A device ({DriveNumber}) that was enumerated by the BIOS was inaccessible to the boot environment.
Microsoft-Windows-Kernel-Boot,Error,10,0,System,,,,The system firmware has allocated a memory region previously determined to be unreliable. This has the potential to cause system instability and/or data corruption.
