Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-SMBWitnessClient,Error,1,0,WitnessClientAdmin,,,,Witness Client initialization failed with error ({ErrorCode})
Microsoft-Windows-SMBWitnessClient,Information,2,0,WitnessClientAdmin,,,,Witness Client received registration request for NetName \\{NetName} with IP address {WitnessServerIP}
Microsoft-Windows-SMBWitnessClient,Error,3,0,WitnessClientAdmin,,,,Witness Client failed to obtain the list of Witness Servers from IP address {WitnessServerIP} with error ({Error})
Microsoft-Windows-SMBWitnessClient,Information,4,0,WitnessClientAdmin,,,,Witness Client is waiting to receive list of Witness Servers from IP address {WitnessServerIP}
Microsoft-Windows-SMBWitnessClient,Information,5,0,WitnessClientAdmin,,,,Witness Client selected {WitnessServerIP} as the Witness Server for NetName \\{NetName}
Microsoft-Windows-SMBWitnessClient,Critical,6,0,WitnessClientAdmin,,,,Witness Client failed to find a Witness Server for NetName \\{NetName} with error ({ErrorCode}). Retrying in ({Sleep}) seconds.
Microsoft-Windows-SMBWitnessClient,Information,7,0,WitnessClientAdmin,,,,Witness Client successfully registered with Witness Server {WitnessServerIP} for notification on NetName \\{NetName} with IP address {FileServerIP}
Microsoft-Windows-SMBWitnessClient,Error,8,0,WitnessClientAdmin,,,,Witness Client failed to register with Witness Server {WitnessServerIP} for notification on NetName \\{NetName} with error ({Error})
Microsoft-Windows-SMBWitnessClient,Error,9,0,WitnessClientAdmin,,,,Witness Client received error ({ErrorCode}) from Witness Server {WitnessServerIP} for NetName \\{NetName}
Microsoft-Windows-SMBWitnessClient,Information,10,0,WitnessClientAdmin,,,,Witness Client received resource notification {NotificationType} for NetName \\{NetName} from Witness Server {WitnessServerIP}
Microsoft-Windows-SMBWitnessClient,Error,11,0,WitnessClientAdmin,,,,Witness Client failed resource notification for NetName \\{NetName} with error ({Error})
Microsoft-Windows-SMBWitnessClient,Information,12,0,WitnessClientAdmin,,,,Witness Client received a request to move to a different file server node for NetName \\{NetName} from Witness Server {WitnessServerIP}
Microsoft-Windows-SMBWitnessClient,Error,13,0,WitnessClientAdmin,,,,Witness Client failed the move request for NetName \\{NetName} with error ({Error})
Microsoft-Windows-SMBWitnessClient,Information,14,0,WitnessClientAdmin,,,,Witness Client received unregister request for NetName \\{NetName}
Microsoft-Windows-SMBWitnessClient,Information,15,0,WitnessClientAdmin,,,,Witness Client successfully unregistered from Witness Server {WitnessServerIP} for NetName \\{NetName}
Microsoft-Windows-SMBWitnessClient,Error,16,0,WitnessClientAdmin,,,,Witness Client failed to unregister from Witness Server {WitnessServerIP} for NetName {NetName} with error ({Error})
