Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-SPB-ClassExtension,Information,1000,1,Analytic,Startup of the SPB class extension,,,The Simple Peripheral Bus WDF class extension has started.  The control object name is {ControlDeviceName}.
Microsoft-Windows-SPB-ClassExtension,Error,1001,1,Analytic,Startup of the SPB class extension,,,The Simple Peripheral Bus WDF class extension failed to start (error {Status}).  The control object name is {ControlDeviceName}.
Microsoft-Windows-SPB-ClassExtension,Information,1002,1,Analytic,Unload of the SPB class extension,,,
Microsoft-Windows-SPB-ClassExtension,Information,1010,1,Analytic,I/O operation flow through SPBCx,Start,,
Microsoft-Windows-SPB-ClassExtension,Information,1011,1,Analytic,I/O operation flow through SPBCx,IoDispatchToTarget,,
Microsoft-Windows-SPB-ClassExtension,Information,1012,1,Analytic,I/O operation flow through SPBCx,IoForwardToControllerQueue,,
Microsoft-Windows-SPB-ClassExtension,Information,1013,1,Analytic,I/O operation flow through SPBCx,IoDispatchToController,,
Microsoft-Windows-SPB-ClassExtension,Information,1014,1,Analytic,I/O operation flow through SPBCx,IoPresentToDriver,,
Microsoft-Windows-SPB-ClassExtension,Information,1015,1,Analytic,I/O operation flow through SPBCx,IoComplete,,
Microsoft-Windows-SPB-ClassExtension,Information,1016,1,Analytic,I/O operation flow through SPBCx,Stop,,
Microsoft-Windows-SPB-ClassExtension,Verbose,1017,1,Analytic,I/O operation flow through SPBCx,IoSpbData,,Data: {Data}
Microsoft-Windows-SPB-ClassExtension,Verbose,1018,1,Analytic,I/O operation flow through SPBCx,IoSpbDirection,,Direction: {Data}
Microsoft-Windows-SPB-ClassExtension,Warning,1019,1,Analytic,I/O operation flow through SPBCx,IoLockWatchdogTimeout,,Target {TargetName} has exceeded the locked IO watchdog period.
Microsoft-Windows-SPB-ClassExtension,Information,1020,1,Analytic,D-state transition for SPB controller driver,DIrpPreprocess,,Preprocessing {DeviceState} IRP in SPBCx for controller {Controller}.
