Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-WWAN-CFE,Information,1,0,Microsoft-Windows-WWAN-CFE/Diagnostic,Subscription_Page,,Wwan-Performance,
Microsoft-Windows-WWAN-CFE,Information,2,0,Microsoft-Windows-WWAN-CFE/Diagnostic,Roaming_Settings_Page,,Wwan-Performance,
Microsoft-Windows-WWAN-CFE,Information,3,0,Microsoft-Windows-WWAN-CFE/Diagnostic,Connecting_Page,,Wwan-Performance,
Microsoft-Windows-WWAN-CFE,Information,4,0,Microsoft-Windows-WWAN-CFE/Diagnostic,Launch_Browser,,Wwan-Performance,
Microsoft-Windows-WWAN-CFE,Information,5,0,Microsoft-Windows-WWAN-CFE/Diagnostic,Launch_MBAE,,Wwan-Performance,
Microsoft-Windows-WWAN-CFE,Information,6,0,Microsoft-Windows-WWAN-CFE/Diagnostic,L2_Connect_Duration,Start,,
Microsoft-Windows-WWAN-CFE,Information,7,0,Microsoft-Windows-WWAN-CFE/Diagnostic,L2_Connect_Duration,Stop,,
Microsoft-Windows-WWAN-CFE,Information,8,0,Microsoft-Windows-WWAN-CFE/Diagnostic,CreateProfile_UserInput_Duration,Start,Wwan-Performance,
Microsoft-Windows-WWAN-CFE,Information,9,0,Microsoft-Windows-WWAN-CFE/Diagnostic,CreateProfile_UserInput_Duration,Stop,Wwan-Performance,
Microsoft-Windows-WWAN-CFE,Information,10,0,Microsoft-Windows-WWAN-CFE/Diagnostic,Task_SetHomeProvider,Start,,
Microsoft-Windows-WWAN-CFE,Information,11,0,Microsoft-Windows-WWAN-CFE/Diagnostic,Task_SetHomeProvider,Stop,,
Microsoft-Windows-WWAN-CFE,Error,12,0,Microsoft-Windows-WWAN-CFE/Diagnostic,Task_SetHomeProvider,Stop,,
Microsoft-Windows-WWAN-CFE,Error,13,0,Microsoft-Windows-WWAN-CFE/Diagnostic,Task_SetHomeProvider,Stop,,
Microsoft-Windows-WWAN-CFE,Information,14,0,Microsoft-Windows-WWAN-CFE/Diagnostic,Task_WwanApnDatabaseParsingDuration,Start,,
Microsoft-Windows-WWAN-CFE,Information,15,0,Microsoft-Windows-WWAN-CFE/Diagnostic,Task_WwanApnDatabaseParsingDuration,Stop,,
Microsoft-Windows-WWAN-CFE,Information,16,0,Microsoft-Windows-WWAN-CFE/Diagnostic,L2_Connect_Duration,Stop,,
Microsoft-Windows-WWAN-CFE,Information,17,0,Microsoft-Windows-WWAN-CFE/Diagnostic,L2_Connect_Duration,Stop,,
