Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-Diagnostics-Networking,win:Informational,1000,0,Microsoft-Windows-Diagnostics-Networking/Operational,NDF.Start,win:Start,ndf:NDFCoreEvents,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes}
Microsoft-Windows-Diagnostics-Networking,win:Informational,2000,0,Microsoft-Windows-Diagnostics-Networking/Operational,NDF.Stop,win:Stop,ndf:NDFCoreEvents,Network Diagnostics Framework stopped because it completed the user initiated diagnostics session. Result: Success; no problems found. [{ResultHR}]
Microsoft-Windows-Diagnostics-Networking,win:Informational,2100,0,Microsoft-Windows-Diagnostics-Networking/Operational,NDF.Stop,win:Stop,ndf:NDFCoreEvents,Network Diagnostics Framework stopped because it completed the user initiated diagnostics session. Result: Success; problems repaired. [{ResultHR}]
Microsoft-Windows-Diagnostics-Networking,win:Informational,2200,0,Microsoft-Windows-Diagnostics-Networking/Operational,NDF.Stop,win:Stop,ndf:NDFCoreEvents,Network Diagnostics Framework stopped because it completed the user initiated diagnostics session. Result: Failed during diagnosis. [{ResultHR}]
Microsoft-Windows-Diagnostics-Networking,win:Informational,2300,0,Microsoft-Windows-Diagnostics-Networking/Operational,NDF.Stop,win:Stop,ndf:NDFCoreEvents,Network Diagnostics Framework stopped because it completed the user initiated diagnostics session. Result: Failed during repair. [{ResultHR}]
Microsoft-Windows-Diagnostics-Networking,win:Informational,2400,0,Microsoft-Windows-Diagnostics-Networking/Operational,NDF.Stop,win:Stop,ndf:NDFCoreEvents,Network Diagnostics Framework stopped because it completed the user initiated diagnostics session. Result: Cancelled during diagnosis. [{ResultHR}]
Microsoft-Windows-Diagnostics-Networking,win:Informational,2500,0,Microsoft-Windows-Diagnostics-Networking/Operational,NDF.Stop,win:Stop,ndf:NDFCoreEvents,Network Diagnostics Framework stopped because it completed the user initiated diagnostics session. Result: Cancelled during repair. [{ResultHR}]
Microsoft-Windows-Diagnostics-Networking,win:Error,3000,0,Microsoft-Windows-Diagnostics-Networking/Operational,NDF.Fail,The failure occurred in the Framework code.,ndf:NDFCoreEvents,An error occurred. The Network Diagnostics Framework failed to complete operation. A Windows Error Report was generated. [{ResultHR}].
Microsoft-Windows-Diagnostics-Networking,win:Error,3100,0,Microsoft-Windows-Diagnostics-Networking/Operational,NDF.Fail,The failure occurred in the Helper class code.,ndf:NDFCoreEvents,An error occurred. The Network Diagnostics Framework failed to complete operation. A Windows Error Report was generated. [{ResultHR}].
Microsoft-Windows-Diagnostics-Networking,win:Informational,4000,0,System,NDF.DiagSuccess,,ndf:NDFCoreEvents,The Network Diagnostics Framework has completed the diagnosis phase of operation. The following repair option was offered:. Repair option: {RepairOption} RepairGuid: {RepairGUID} Seconds required for repair: {SecondsRequired} Security context required for repair: {SIDTypeRequired}
