Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-Kernel-Registry,win:Informational,1,0,Microsoft-Windows-Kernel-Registry/Analytic,,CreateKey,CreateKey,
Microsoft-Windows-Kernel-Registry,win:Informational,2,0,Microsoft-Windows-Kernel-Registry/Analytic,,OpenKey,OpenKey,
Microsoft-Windows-Kernel-Registry,win:Informational,3,0,Microsoft-Windows-Kernel-Registry/Analytic,,DeleteKey,DeleteKey,
Microsoft-Windows-Kernel-Registry,win:Informational,4,0,Microsoft-Windows-Kernel-Registry/Analytic,,QueryKey,QueryKey,
Microsoft-Windows-Kernel-Registry,win:Informational,5,0,Microsoft-Windows-Kernel-Registry/Analytic,,SetValueKey,SetValueKey,
Microsoft-Windows-Kernel-Registry,win:Informational,6,0,Microsoft-Windows-Kernel-Registry/Analytic,,DeleteValueKey,DeleteValueKey,
Microsoft-Windows-Kernel-Registry,win:Informational,7,0,Microsoft-Windows-Kernel-Registry/Analytic,,QueryValueKey,QueryValueKey,
Microsoft-Windows-Kernel-Registry,win:Informational,8,0,Microsoft-Windows-Kernel-Registry/Analytic,,EnumerateKey,EnumerateKey,
Microsoft-Windows-Kernel-Registry,win:Informational,9,0,Microsoft-Windows-Kernel-Registry/Analytic,,EnumerateValueKey,EnumerateValueKey,
Microsoft-Windows-Kernel-Registry,win:Informational,10,0,Microsoft-Windows-Kernel-Registry/Analytic,,QueryMultipleValueKey,QueryMultipleValueKey,
Microsoft-Windows-Kernel-Registry,win:Informational,11,0,Microsoft-Windows-Kernel-Registry/Analytic,,SetInformationKey,SetInformationKey,
Microsoft-Windows-Kernel-Registry,win:Informational,12,0,Microsoft-Windows-Kernel-Registry/Analytic,,FlushKey,FlushKey,
Microsoft-Windows-Kernel-Registry,win:Informational,13,0,Microsoft-Windows-Kernel-Registry/Analytic,,CloseKey,CloseKey,
